"id","category","file","max_seconds","en","is","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Þú hefur náð í neyðarleiðbeiningalínu háskólasvæðisins. Enginn viðbragðsaðili er laus í augnablikinu, og hjálp hefur verið látin vita svo hún hringi til baka í þig. Vertu róleg. Andaðu hægt. Ég mun leiðbeina þér um hvað skal gera. Ef þú getur, hringdu þá líka núna í neyðarnúmerið þitt.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Þetta er neyðarleiðbeiningalína háskólasvæðisins, í prófunarham. Ekkert raunverulegt atvik er skráð. Ég mun leiðbeina þér um hvað skal gera í neyðartilviki.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Veldu aðstæðurnar. Ýttu á einn ef einhver andar ekki eða er án púls. Ýttu á tvo fyrir alvarlega blæðingu. Ýttu á þrjá fyrir köfnun. Ýttu á fjóra fyrir eld eða reyk. Ýttu á fimm fyrir ógn, árásarmann eða útgöngubann. Ýttu á sex ef einhver er meðvitundarlaus en andar. Ýttu á sjö ef þú ert föst. Ýttu á níu til að reyna aftur að ná í viðbragðsaðila. Ýttu á átta til að skilja eftir skilaboð. Ýttu á núll til að heyra þessa valkosti aftur.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Leggðu manneskjuna á bakið á hörðu undirlagi og krjúptu við hlið hennar. Settu hælinn á annarri hendi í miðju brjóstkassans, og hina höndina ofan á. Þrýstu niður fast og hratt, um tvisvar á hverri sekúndu, og leyfðu brjóstkassanum að rísa alveg upp í hvert sinn. Haltu áfram án þess að hætta. Ef einhver er nálægt, sendu hann eftir næsta hjartastuðtæki, og kveiktu á því til að fylgja töluðum leiðbeiningum þess. Ekki hætta fyrr en hjálp berst eða manneskjan vaknar.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Þrýstu fast og beint á sárið með klút eða hendinni. Ekki fjarlægja klútinn. Ef blóð gegnvætir hann, bættu þá meira ofan á og haltu áfram að þrýsta fast. Ef þetta er handleggur eða fótleggur og blæðingin stöðvast ekki, bindu þá sterka bindi þétt nokkrum sentimetrum fyrir ofan sárið, á milli sársins og hjartans, og skráðu tímann. Haltu manneskjunni heitri og kyrri.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Spyrðu hvort hún geti talað eða hóstað. Ef hún getur ekki andað, stattu þá fyrir aftan hana og sláðu fimm föst högg á milli herðablaðanna með hælnum á hendinni. Ef það virkar ekki, vefðu þá handleggjunum um mitti hennar og gefðu fimm hröð inn- og uppávið átök rétt fyrir ofan naflann. Haltu áfram að endurtaka bakhöggin og átökin þar til hluturinn kemur út eða hjálp berst.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Komdu öllum út strax, og ekki stoppa fyrir eigur. Haltu þig lágt undir reyknum, þar sem loftið er hreinna. Áður en þú opnar nokkrar dyr, þreifaðu á þeim með handarbakinu. Ef þær eru heitar, finndu þá aðra leið út. Ekki nota lyfturnar. Þegar þú ert komin út, vertu úti, og farðu á söfnunarstaðinn. Ekki fara aftur inn.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Ef þú getur yfirgefið svæðið á öruggan hátt, farðu þá hljóðlega og hratt frá hættunni. Ef þú getur það ekki, farðu þá inn í herbergi, læstu eða stífluðu dyrnar, og haltu þig lágt, fjarri gluggum og dyrum. Slökktu ljósin og settu símann á hljóðlausa stillingu. Vertu hljóð og úr augsýn. Ekki opna dyrnar fyrr en öryggisverðir eða lögregla segja þér að það sé óhætt.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Ef manneskjan andar en er ekki vakandi, veltu henni þá varlega yfir á hliðina. Hallaðu höfði hennar örlítið aftur til að halda öndunarveginum opnum, og lyftu hökunni. Vertu hjá henni og haltu áfram að fylgjast með því að hún andi ennþá. Ef hún hættir að anda, byrjaðu þá brjóstþjöppun í miðju brjóstkassans.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Vertu eins róleg og kyrr og þú getur, til að spara loft og orku. Hyldu nef og munn með klút gegn ryki. Bankaðu jafnt og þétt á pípu, vegg eða annað hart undirlag, svo björgunarmenn heyri í þér. Kallaðu aðeins sem síðasta úrræði, til að forðast að anda að þér ryki. Ekki kveikja á neinum loga. Hreyfðu þig eins lítið og hægt er og bíddu eftir að vera fundin.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
