"id","category","file","max_seconds","en","bg","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Свързахте се с линията за спешни указания в кампуса. В момента няма свободен служител, а екипът е предупреден да ви се обади обратно. Запазете спокойствие. Поемете си бавно дъх. Аз ще ви насоча какво да направите. Ако можете, обадете се сега и на националния спешен номер.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Това е линията за спешни указания в кампуса, в тестов режим. Не се регистрира реален инцидент. Аз ще ви насоча какво да направите при спешен случай.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Изберете ситуацията. Натиснете едно, ако някой не диша или няма пулс. Натиснете две при силно кървене. Натиснете три при задавяне. Натиснете четири при пожар или дим. Натиснете пет при заплаха, нападател или блокиране. Натиснете шест, ако някой е в безсъзнание, но диша. Натиснете седем, ако сте затрупани. Натиснете девет, за да опитате отново да се свържете със служител. Натиснете осем, за да оставите съобщение. Натиснете нула, за да чуете тези възможности отново.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Поставете човека по гръб върху твърда повърхност и коленичете до него. Поставете основата на едната си длан в средата на гръдния кош, а другата ръка отгоре. Натискайте силно и бързо, около два пъти в секунда, като оставяте гръдния кош да се повдига напълно всеки път. Продължавайте без прекъсване. Ако наблизо има някой, изпратете го за най-близкия дефибрилатор, включете го и следвайте гласовите му указания. Не спирайте, докато не дойде помощ или човекът не се свести.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Натиснете силно и директно върху раната с плат или с ръката си. Не махайте плата. Ако кръвта премине през него, добавете още отгоре и продължавайте да натискате силно. Ако е ръка или крак и кървенето не спира, завържете здрава лента стегнато няколко сантиметра над раната, между раната и сърцето, и запишете часа. Дръжте човека на топло и неподвижен.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Попитайте дали може да говори или да кашля. Ако не може да диша, застанете зад него и нанесете пет силни удара между лопатките с основата на дланта си. Ако това не помогне, обхванете кръста му с ръце и нанесете пет бързи тласъка навътре и нагоре точно над пъпа. Продължавайте да редувате ударите по гърба и тласъците, докато предметът излезе или дойде помощ.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Изведете всички навън веднага и не спирайте за вещи. Стойте ниско под дима, където въздухът е по-чист. Преди да отворите каквато и да е врата, я пипнете с опакото на ръката си. Ако е гореща, намерете друг изход. Не използвайте асансьорите. Щом сте навън, останете навън и се придвижете до сборния пункт. Не се връщайте обратно вътре.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Ако можете да напуснете района безопасно, отдалечете се от опасността тихо и бързо. Ако не можете, влезте в стая, заключете или блокирайте вратата и стойте ниско, далеч от прозорци и врати. Изгасете осветлението и поставете телефона си на беззвучен режим. Стойте тихо и скрити. Не отваряйте вратата, докато охраната или полицията не ви кажат, че е безопасно.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Ако човекът диша, но не е в съзнание, внимателно го обърнете настрани. Наклонете леко главата му назад, за да поддържате дихателните пътища отворени, и повдигнете брадичката. Останете с него и продължавайте да следите дали още диша. Ако спре да диша, започнете притискания в средата на гръдния кош.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Стойте възможно най-спокойни и неподвижни, за да пестите въздух и енергия. Покрийте носа и устата си с плат срещу праха. Почуквайте равномерно по тръба, стена или някаква твърда повърхност, за да могат спасителите да ви чуят. Викайте само в краен случай, за да не вдишвате прах. Не палете никакъв огън. Движете се възможно най-малко и чакайте да ви открият.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
