"id","category","file","max_seconds","en","ca","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Ha contactat amb la linia de guia d'emergencies del campus. En aquest moment no hi ha cap responsable disponible, i ja s'ha avisat que li tornin la trucada. Mantingui la calma. Respiri lentament. L'anire guiant sobre que ha de fer. Si li es possible, truqui tambe ara al numero d'emergencies nacional.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Aquesta es la linia de guia d'emergencies del campus, en mode de prova. No s'esta registrant cap incident real. L'anire guiant sobre que cal fer en una emergencia.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Trii la situacio. Premeu l'u si algu no respira o no te pols. Premeu el dos per a una hemorragia greu. Premeu el tres per a un ofegament. Premeu el quatre per a foc o fum. Premeu el cinc per a una amenaca, un agressor o un confinament. Premeu el sis si algu esta inconscient pero respira. Premeu el set si esteu atrapat. Premeu el nou per tornar a provar amb un responsable. Premeu el vuit per deixar un missatge. Premeu el zero per tornar a sentir aquestes opcions.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Poseu la persona d'esquena sobre una superficie ferma i agenolleu-vos al seu costat. Col-loqueu el tal d'una ma al centre del pit, i l'altra ma a sobre. Empenyeu cap avall fort i rapid, unes dues vegades cada segon, deixant que el pit torni a pujar del tot cada cop. Continueu sense parar. Si hi ha algu a prop, envieu-lo a buscar el desfibril-lador mes proper, engegueu-lo i seguiu les seves instruccions parlades. No pareu fins que arribi l'ajuda o la persona es desperti.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Premeu amb fermesa i directament sobre la ferida amb un drap o amb la ma. No traieu el drap. Si la sang traspassa, poseu-ne mes a sobre i continueu prement fort. Si es un brac o una cama i l'hemorragia no s'atura, lligueu una banda forta ben cenyida uns centimetres per sobre de la ferida, entre la ferida i el cor, i anoteu l'hora. Mantingueu la persona calenta i quieta.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Pregunteu-li si pot parlar o tossir. Si no pot respirar, poseu-vos darrere seu i doneu-li cinc cops secs entre els omoplats amb el tal de la ma. Si aixo no funciona, envolteu-li la cintura amb els bracos i feu-li cinc compressions rapides cap endins i cap amunt just per sobre del melic. Continueu repetint els cops a l'esquena i les compressions fins que surti l'objecte o arribi l'ajuda.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Feu sortir tothom ara mateix, i no us atureu per les pertinences. Manteniu-vos ajupits sota el fum, on l'aire es mes net. Abans d'obrir cap porta, palpeu-la amb el dors de la ma. Si crema, busqueu una altra sortida. No feu servir els ascensors. Un cop a fora, quedeu-vos a fora i dirigiu-vos al punt de reunio. No torneu a entrar.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Si podeu deixar la zona amb seguretat, allunyeu-vos del perill de manera silenciosa i rapida. Si no podeu, entreu en una habitacio, tanqueu amb clau o bloquegeu la porta, i quedeu-vos ajupits, lluny de finestres i portes. Apagueu els llums i poseu el telefon en silenci. Estigueu callats i fora de la vista. No obriu la porta fins que la seguretat o la policia us diguin que es segur.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Si la persona respira pero no esta desperta, gireu-la suaument de costat. Inclineu-li una mica el cap enrere per mantenir la via respiratoria oberta, i aixequeu-li el mento. Quedeu-vos amb ella i continueu vigilant que segueixi respirant. Si deixa de respirar, comenceu les compressions al centre del pit.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Mantingueu-vos tan tranquil i quiet com pugueu, per estalviar aire i energia. Cobriu-vos el nas i la boca amb un drap contra la pols. Piqueu de manera constant en una canonada, una paret o qualsevol superficie dura, perque els rescatadors us puguin sentir. Crideu nomes com a ultim recurs, per evitar respirar pols. No enceneu cap flama. Moveu-vos el minim possible i espereu que us trobin.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","Ara estic intentant contactar amb un responsable. Si us plau, quedeu-vos a la linia i espereu.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","Encara no hi ha cap responsable disponible. Em quedare amb vos. Tornem a la guia.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","Ho sento, no ho he entes.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","No he sentit cap opcio.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","Ara us deixare deixar un missatge per a l'equip de resposta. Despres del to, digueu on sou i que esta passant.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","Guia de primers auxilis. Encara s'esta avisant un responsable i s'incorporara si pot. Quedeu-vos amb mi.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","Ha contactat amb la linia d'emergencies del campus. La seva trucada s'esta enregistrant, i ara mateix s'esta buscant ajuda. Quedeu-vos a la linia. Si algu necessita primers auxilis ara mateix, premeu l'u en qualsevol moment i us guiare.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","Encara us estem connectant amb un responsable. Si necessiteu primers auxilis ara, premeu l'u per rebre una guia pas a pas.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","Alerta d'emergencia. Hi ha una trucada activa a la linia d'emergencies del campus i cap responsable ha contestat. Si us plau, poseu-vos disponible ara. Premeu l'u per unir-vos a la cua d'emergencies.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","Ara esteu de torn. Rebreu trucades d'emergencia del campus fins que sortiu de torn marcant estrella dos tres.","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","Ara esteu fora de torn. Ja no rebreu trucades d'emergencia del campus.","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Atencio. Aixo es el Servei d'Alerta d'Emergencies d'UPES. Evacueu l'edifici ara mateix. Sortiu immediatament per la sortida segura mes propera. No feu servir els ascensors. Dirigiu-vos al vostre punt de reunio i espereu mes instruccions.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","Atencio. Aixo es el Servei d'Alerta d'Emergencies d'UPES. Refugieu-vos al lloc ara mateix. Entreu, tanqueu amb clau o bloquegeu la porta, allunyeu-vos de les finestres i quedeu-vos en silenci fins que us diguin que es segur. Espereu mes instruccions.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Atencio. Aixo es el Servei d'Alerta d'Emergencies d'UPES. L'emergencia ja ha acabat. Es segur reprendre l'activitat normal. Gracies per la vostra col-laboracio.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Atencio. Aixo es el Servei d'Alerta d'Emergencies d'UPES. Dirigiu-vos ara mateix al vostre punt de reunio designat. Camineu amb calma, ajudeu els altres quan pugueu, i espereu a ser comptats. Espereu mes instruccions.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","Atencio. Aixo es el Servei d'Alerta d'Emergencies d'UPES. Aixo es un recompte de seguretat. Si esteu fora de perill i podeu respondre, premeu l'u ara.","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","Aixo es una prova del Servei d'Alerta d'Emergencies d'UPES. Nomes es una prova. No cal fer res, i no s'enviara cap resposta d'emergencia.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","Premeu l'u si esteu fora de perill.","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","Gracies. Heu quedat marcat com a fora de perill. Ja podeu penjar.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","No s'ha registrat cap resposta. Si us plau, contacteu amb el vostre responsable tan aviat com pugueu.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Atencio. Aixo es el Servei d'Alerta d'Emergencies d'UPES. Evacueu l'edifici ara mateix. Sortiu immediatament per la sortida segura mes propera. No feu servir els ascensors. Dirigiu-vos al vostre punt de reunio i espereu mes instruccions.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","Atencio. Aixo es el Servei d'Alerta d'Emergencies d'UPES. Hi ha un incident al campus. Allunyeu-vos de la zona afectada, no us hi acosteu, i seguiu les instruccions del personal de seguretat. Espereu mes instruccions.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Atencio. Aixo es el Servei d'Alerta d'Emergencies d'UPES. L'emergencia ja ha acabat. Es segur reprendre l'activitat normal. Gracies per la vostra col-laboracio.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Atencio. Aixo es el Servei d'Alerta d'Emergencies d'UPES. Dirigiu-vos ara mateix al vostre punt de reunio designat. Camineu amb calma, ajudeu els altres quan pugueu, i espereu a ser comptats. Espereu mes instruccions.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","Atencio. Aixo es una notificacio del Servei d'Alerta d'Emergencies d'UPES. Si us plau, escolteu amb atencio i seguiu les instruccions que venen a continuacio.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
"upes-ecs/drill-prompt","system","upes-ecs/drill-prompt.wav","11","This is a UPES emergency system drill. This is only a test. No real emergency is in progress, and no response will be dispatched. Thank you.","Aixo es un simulacre del sistema d'emergencies d'UPES. Nomes es una prova. No hi ha cap emergencia real en curs, i no s'enviara cap resposta. Gracies.","System status prompt: neutral, clear, brief."
