"id","category","file","max_seconds","en","vi","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Bạn đã kết nối tới đường dây hướng dẫn khẩn cấp của khuôn viên trường. Hiện tại chưa có nhân viên ứng cứu nào rảnh, và bộ phận hỗ trợ đã được thông báo để gọi lại cho bạn. Hãy bình tĩnh. Hãy hít một hơi thật chậm. Tôi sẽ hướng dẫn bạn từng bước phải làm gì. Nếu có thể, bây giờ bạn cũng hãy gọi số khẩn cấp quốc gia.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Đây là đường dây hướng dẫn khẩn cấp của khuôn viên trường, đang ở chế độ thử nghiệm. Không có sự cố thực nào được ghi nhận. Tôi sẽ hướng dẫn bạn phải làm gì trong trường hợp khẩn cấp.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Hãy chọn tình huống. Nhấn phím một nếu có người không thở hoặc không có mạch. Nhấn phím hai nếu chảy máu nghiêm trọng. Nhấn phím ba nếu bị hóc nghẹn. Nhấn phím bốn nếu có lửa hoặc khói. Nhấn phím năm nếu có mối đe dọa, kẻ tấn công, hoặc cần phong tỏa. Nhấn phím sáu nếu có người bất tỉnh nhưng vẫn thở. Nhấn phím bảy nếu bạn bị mắc kẹt. Nhấn phím chín để thử gọi lại nhân viên ứng cứu. Nhấn phím tám để để lại lời nhắn. Nhấn phím không để nghe lại các lựa chọn này.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Đặt nạn nhân nằm ngửa trên một mặt phẳng cứng và quỳ xuống bên cạnh họ. Đặt gót một bàn tay vào giữa ngực, và bàn tay kia đặt lên trên. Ấn xuống mạnh và nhanh, khoảng hai lần mỗi giây, mỗi lần để lồng ngực nâng lên hoàn toàn. Tiếp tục không ngừng nghỉ. Nếu có người ở gần, hãy nhờ họ đi lấy máy khử rung tim gần nhất, bật máy lên và làm theo hướng dẫn bằng lời của máy. Đừng dừng lại cho đến khi có người tới giúp hoặc nạn nhân tỉnh lại.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Dùng một miếng vải hoặc bàn tay ấn mạnh và trực tiếp lên vết thương. Đừng lấy miếng vải ra. Nếu máu thấm qua, hãy đắp thêm vải lên trên và tiếp tục ấn mạnh. Nếu đó là cánh tay hoặc chân và máu không ngừng chảy, hãy buộc một dải băng chắc thật chặt cách vết thương vài xăng-ti-mét về phía trên, giữa vết thương và tim, rồi ghi lại thời gian. Giữ cho nạn nhân ấm và nằm yên.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Hãy hỏi xem họ có nói hoặc ho được không. Nếu họ không thở được, hãy đứng phía sau và dùng gót bàn tay vỗ mạnh năm cái vào giữa hai bả vai. Nếu cách đó không hiệu quả, hãy vòng hai tay quanh eo họ và đẩy nhanh năm lần vào trong và lên trên, ngay phía trên rốn. Tiếp tục lặp lại các cú vỗ lưng và các cú đẩy cho đến khi dị vật bật ra hoặc có người tới giúp.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Hãy đưa mọi người ra ngoài ngay, đừng dừng lại để lấy đồ đạc. Cúi thấp người bên dưới lớp khói, nơi không khí trong lành hơn. Trước khi mở bất kỳ cánh cửa nào, hãy dùng mu bàn tay chạm thử. Nếu cửa nóng, hãy tìm lối thoát khác. Không sử dụng thang máy. Khi đã ra ngoài, hãy ở yên bên ngoài và di chuyển tới điểm tập kết. Đừng quay trở vào trong.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Nếu bạn có thể rời khỏi khu vực một cách an toàn, hãy lặng lẽ và nhanh chóng tránh xa mối nguy hiểm. Nếu không thể, hãy vào một căn phòng, khóa hoặc chặn cửa lại, và cúi thấp, tránh xa cửa sổ và cửa ra vào. Tắt đèn và để điện thoại ở chế độ im lặng. Hãy giữ yên lặng và không để bị nhìn thấy. Đừng mở cửa cho đến khi nhân viên an ninh hoặc cảnh sát báo rằng đã an toàn.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Nếu nạn nhân vẫn thở nhưng chưa tỉnh, hãy nhẹ nhàng lăn họ nằm nghiêng sang một bên. Ngửa nhẹ đầu họ ra sau để giữ đường thở thông thoáng, và nâng cằm lên. Hãy ở bên cạnh họ và tiếp tục theo dõi xem họ còn thở không. Nếu họ ngừng thở, hãy bắt đầu ấn tim ở giữa ngực.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Hãy giữ bình tĩnh và nằm yên hết mức có thể, để tiết kiệm không khí và sức lực. Dùng vải che mũi và miệng để tránh bụi. Gõ đều đặn vào ống nước, bức tường, hoặc bất kỳ bề mặt cứng nào, để đội cứu hộ có thể nghe thấy bạn. Chỉ hét lên khi không còn cách nào khác, để tránh hít phải bụi. Đừng đốt bất kỳ ngọn lửa nào. Hãy cử động càng ít càng tốt và chờ được tìm thấy.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","Tôi đang cố gắng liên lạc với một nhân viên ứng cứu. Vui lòng giữ máy và chờ trong giây lát.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
