"id","category","file","max_seconds","en","pl","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Dodzwoniłeś się na kampusową linię wsparcia w nagłych wypadkach. W tej chwili żaden ratownik nie jest dostępny, a pomoc została powiadomiona, aby oddzwonić. Zachowaj spokój. Weź powolny oddech. Poprowadzę cię przez to, co należy zrobić. Jeśli możesz, zadzwoń teraz również na krajowy numer alarmowy.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","To jest kampusowa linia wsparcia w nagłych wypadkach, w trybie testowym. Żadne prawdziwe zdarzenie nie jest rejestrowane. Poprowadzę cię przez to, co należy zrobić w nagłym wypadku.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Wybierz sytuację. Naciśnij jeden, jeśli ktoś nie oddycha lub nie ma tętna. Naciśnij dwa w przypadku silnego krwawienia. Naciśnij trzy w przypadku zadławienia. Naciśnij cztery w przypadku pożaru lub dymu. Naciśnij pięć w przypadku zagrożenia, napastnika lub blokady. Naciśnij sześć, jeśli ktoś jest nieprzytomny, ale oddycha. Naciśnij siedem, jeśli jesteś uwięziony. Naciśnij dziewięć, aby ponownie spróbować połączyć się z ratownikiem. Naciśnij osiem, aby zostawić wiadomość. Naciśnij zero, aby ponownie usłyszeć te opcje.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Połóż osobę na plecach na twardej powierzchni i uklęknij obok niej. Umieść nasadę jednej dłoni na środku klatki piersiowej, a drugą dłoń na wierzchu. Uciskaj mocno i szybko, około dwa razy na sekundę, za każdym razem pozwalając klatce piersiowej całkowicie się unieść. Kontynuuj bez przerywania. Jeśli ktoś jest w pobliżu, wyślij go po najbliższy defibrylator, włącz go i postępuj zgodnie z jego głosowymi instrukcjami. Nie przerywaj, dopóki nie nadejdzie pomoc lub osoba się nie obudzi.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Uciskaj mocno i bezpośrednio ranę za pomocą materiału lub dłoni. Nie zdejmuj materiału. Jeśli krew przesiąknie, dołóż więcej na wierzch i mocno uciskaj dalej. Jeśli to ręka lub noga, a krwawienie nie ustaje, zawiąż mocną opaskę ciasno kilka centymetrów powyżej rany, między raną a sercem, i zanotuj czas. Utrzymuj osobę w cieple i w bezruchu.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Zapytaj, czy może mówić lub kaszleć. Jeśli nie może oddychać, stań za nią i wykonaj pięć mocnych uderzeń między łopatkami nasadą dłoni. Jeśli to nie pomoże, obejmij ją ramionami w talii i wykonaj pięć szybkich pchnięć do wewnątrz i do góry tuż powyżej pępka. Powtarzaj uderzenia w plecy i pchnięcia, aż przedmiot wypadnie lub nadejdzie pomoc.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Wyprowadź teraz wszystkich na zewnątrz i nie zatrzymuj się po rzeczy. Trzymaj się nisko pod dymem, gdzie powietrze jest czystsze. Przed otwarciem jakichkolwiek drzwi sprawdź je wierzchem dłoni. Jeśli są gorące, znajdź inną drogę wyjścia. Nie korzystaj z wind. Gdy już jesteś na zewnątrz, pozostań na zewnątrz i przejdź do punktu zbiórki. Nie wracaj do środka.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Jeśli możesz bezpiecznie opuścić ten obszar, oddal się od niebezpieczeństwa cicho i szybko. Jeśli nie możesz, wejdź do pomieszczenia, zamknij lub zablokuj drzwi i pozostań nisko, z dala od okien i drzwi. Wyłącz światła i ustaw telefon na tryb cichy. Zachowaj ciszę i pozostań poza zasięgiem wzroku. Nie otwieraj drzwi, dopóki ochrona lub policja nie powiedzą, że jest bezpiecznie.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Jeśli osoba oddycha, ale jest nieprzytomna, delikatnie obróć ją na bok. Odchyl jej głowę lekko do tyłu, aby udrożnić drogi oddechowe, i unieś podbródek. Pozostań przy niej i obserwuj, czy nadal oddycha. Jeśli przestanie oddychać, rozpocznij uciskanie klatki piersiowej na jej środku.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Zachowaj jak największy spokój i bezruch, aby oszczędzać powietrze i energię. Zasłoń nos i usta materiałem, chroniąc się przed kurzem. Stukaj miarowo w rurę, ścianę lub jakąkolwiek twardą powierzchnię, aby ratownicy mogli cię usłyszeć. Krzycz tylko w ostateczności, aby nie wdychać kurzu. Nie zapalaj żadnego ognia. Poruszaj się jak najmniej i czekaj, aż zostaniesz odnaleziony.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
