"id","category","file","max_seconds","en","ml","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","നിങ്ങൾ ക്യാമ്പസ് അടിയന്തര മാർഗനിർദേശ ലൈനിൽ എത്തിയിരിക്കുന്നു. ഈ നിമിഷം ഒരു റെസ്പോണ്ടറും ഒഴിവില്ല, നിങ്ങളെ തിരികെ വിളിക്കാൻ സഹായത്തെ അറിയിച്ചിട്ടുണ്ട്. ശാന്തരായിരിക്കുക. പതുക്കെ ഒരു ശ്വാസം എടുക്കുക. എന്തു ചെയ്യണമെന്ന് ഞാൻ നിങ്ങളെ നയിക്കാം. കഴിയുമെങ്കിൽ, ഇപ്പോൾ നിങ്ങളുടെ ദേശീയ അടിയന്തര നമ്പറിലേക്കും വിളിക്കുക.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","ഇത് ക്യാമ്പസ് അടിയന്തര മാർഗനിർദേശ ലൈനാണ്, പരീക്ഷണ മോഡിൽ. യഥാർത്ഥ സംഭവമൊന്നും രേഖപ്പെടുത്തുന്നില്ല. അടിയന്തര ഘട്ടത്തിൽ എന്തു ചെയ്യണമെന്ന് ഞാൻ നിങ്ങളെ നയിക്കാം.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","സാഹചര്യം തിരഞ്ഞെടുക്കുക. ആരെങ്കിലും ശ്വസിക്കുന്നില്ലെങ്കിൽ അല്ലെങ്കിൽ നാഡിമിടിപ്പ് ഇല്ലെങ്കിൽ, ഒന്ന് അമർത്തുക. കടുത്ത രക്തസ്രാവത്തിന് രണ്ട് അമർത്തുക. തൊണ്ടയിൽ എന്തെങ്കിലും കുടുങ്ങിയാൽ മൂന്ന് അമർത്തുക. തീ അല്ലെങ്കിൽ പുകയ്ക്ക് നാല് അമർത്തുക. ഭീഷണി, ആക്രമണകാരി, അല്ലെങ്കിൽ ലോക്ക്ഡൗണിന് അഞ്ച് അമർത്തുക. ആരെങ്കിലും ബോധരഹിതരാണെങ്കിലും ശ്വസിക്കുന്നുണ്ടെങ്കിൽ ആറ് അമർത്തുക. നിങ്ങൾ കുടുങ്ങിയാൽ ഏഴ് അമർത്തുക. ഒരു റെസ്പോണ്ടറെ വീണ്ടും ശ്രമിക്കാൻ ഒമ്പത് അമർത്തുക. സന്ദേശം നൽകാൻ എട്ട് അമർത്തുക. ഈ തിരഞ്ഞെടുപ്പുകൾ വീണ്ടും കേൾക്കാൻ പൂജ്യം അമർത്തുക.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","വ്യക്തിയെ ഉറപ്പുള്ള പ്രതലത്തിൽ മലർത്തിക്കിടത്തി, അവരുടെ അരികിൽ മുട്ടുകുത്തി ഇരിക്കുക. ഒരു കൈയുടെ അടിഭാഗം നെഞ്ചിന്റെ മധ്യത്തിൽ വയ്ക്കുക, മറ്റേ കൈ അതിനു മുകളിൽ വയ്ക്കുക. ശക്തിയായും വേഗത്തിലും അമർത്തുക, ഓരോ സെക്കൻഡിലും ഏകദേശം രണ്ടു തവണ, ഓരോ തവണയും നെഞ്ച് പൂർണമായി ഉയരാൻ അനുവദിക്കുക. നിർത്താതെ തുടരുക. അടുത്ത് ആരെങ്കിലും ഉണ്ടെങ്കിൽ, അടുത്തുള്ള ഡിഫിബ്രിലേറ്റർ കൊണ്ടുവരാൻ അവരെ അയയ്ക്കുക, അത് ഓണാക്കി അതു പറയുന്ന നിർദേശങ്ങൾ പിന്തുടരുക. സഹായം എത്തുന്നതുവരെ അല്ലെങ്കിൽ വ്യക്തി ഉണരുന്നതുവരെ നിർത്തരുത്.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","മുറിവിൽ ഒരു തുണികൊണ്ടോ നിങ്ങളുടെ കൈകൊണ്ടോ നേരിട്ട് ഉറപ്പായി അമർത്തുക. തുണി മാറ്റരുത്. രക്തം ഊറി വന്നാൽ, മുകളിൽ കൂടുതൽ തുണി വച്ച് ശക്തിയായി അമർത്തിക്കൊണ്ടിരിക്കുക. അത് കൈയോ കാലോ ആണെങ്കിൽ രക്തസ്രാവം നിലയ്ക്കുന്നില്ലെങ്കിൽ, മുറിവിന് ഏതാനും സെന്റിമീറ്റർ മുകളിൽ, മുറിവിനും ഹൃദയത്തിനും ഇടയിൽ, ഒരു ഉറപ്പുള്ള ബാൻഡ് മുറുക്കി കെട്ടുക, സമയം കുറിച്ചുവയ്ക്കുക. വ്യക്തിയെ ചൂടോടെയും അനക്കാതെയും സൂക്ഷിക്കുക.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","അവർക്ക് സംസാരിക്കാനോ ചുമയ്ക്കാനോ കഴിയുമോ എന്ന് ചോദിക്കുക. അവർക്ക് ശ്വസിക്കാൻ കഴിയുന്നില്ലെങ്കിൽ, അവരുടെ പിന്നിൽ നിന്ന് നിങ്ങളുടെ കൈയുടെ അടിഭാഗം കൊണ്ട് ചുമലിന്റെ എല്ലുകൾക്കിടയിൽ പുറത്ത് അഞ്ച് ശക്തമായ അടികൾ നൽകുക. അത് ഫലിക്കുന്നില്ലെങ്കിൽ, നിങ്ങളുടെ കൈകൾ അവരുടെ അരയ്ക്ക് ചുറ്റും ചുറ്റി, പൊക്കിളിന് തൊട്ടു മുകളിൽ അഞ്ചു തവണ വേഗത്തിൽ അകത്തേക്കും മുകളിലേക്കും തള്ളുക. വസ്തു പുറത്തുവരുന്നതുവരെ അല്ലെങ്കിൽ സഹായം എത്തുന്നതുവരെ പുറത്തെ അടികളും തള്ളലുകളും ആവർത്തിക്കുക.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","ഇപ്പോൾ എല്ലാവരെയും പുറത്തിറക്കുക, സാധനങ്ങൾക്കായി നിൽക്കരുത്. പുകയ്ക്ക് താഴെ കുനിഞ്ഞിരിക്കുക, അവിടെ വായു കൂടുതൽ ശുദ്ധമാണ്. ഏതെങ്കിലും വാതിൽ തുറക്കുന്നതിനുമുമ്പ്, നിങ്ങളുടെ കൈയുടെ പിൻഭാഗം കൊണ്ട് അത് സ്പർശിച്ചു നോക്കുക. അത് ചൂടാണെങ്കിൽ, പുറത്തുകടക്കാൻ മറ്റൊരു വഴി കണ്ടെത്തുക. ലിഫ്റ്റുകൾ ഉപയോഗിക്കരുത്. പുറത്തിറങ്ങിയാൽ, പുറത്തുതന്നെ നിൽക്കുക, സമ്മേളന സ്ഥലത്തേക്ക് നീങ്ങുക. തിരികെ അകത്തേക്ക് പോകരുത്.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","നിങ്ങൾക്ക് ആ പ്രദേശം സുരക്ഷിതമായി വിട്ടുപോകാൻ കഴിയുമെങ്കിൽ, നിശ്ശബ്ദമായും വേഗത്തിലും അപകടത്തിൽ നിന്ന് അകന്നു നീങ്ങുക. കഴിയുന്നില്ലെങ്കിൽ, ഒരു മുറിയിലേക്ക് കയറി, വാതിൽ പൂട്ടുകയോ തടയുകയോ ചെയ്യുക, ജനലുകളിൽ നിന്നും വാതിലുകളിൽ നിന്നും അകന്ന് കുനിഞ്ഞിരിക്കുക. ലൈറ്റുകൾ ഓഫ് ചെയ്ത് നിങ്ങളുടെ ഫോൺ സൈലന്റാക്കുക. നിശ്ശബ്ദമായും കാഴ്ചയിൽ പെടാതെയും ഇരിക്കുക. സുരക്ഷിതമാണെന്ന് സുരക്ഷാ ജീവനക്കാരോ പോലീസോ പറയുന്നതുവരെ വാതിൽ തുറക്കരുത്.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","വ്യക്തി ശ്വസിക്കുന്നുണ്ടെങ്കിലും ബോധമില്ലെങ്കിൽ, അവരെ പതുക്കെ ഒരു വശത്തേക്ക് ചരിക്കുക. ശ്വാസനാളം തുറന്നിരിക്കാൻ അവരുടെ തല അല്പം പിന്നിലേക്ക് ചരിച്ച്, താടി ഉയർത്തുക. അവരോടൊപ്പം നിന്ന്, അവർ ഇപ്പോഴും ശ്വസിക്കുന്നുണ്ടോ എന്ന് നിരീക്ഷിച്ചുകൊണ്ടിരിക്കുക. അവർ ശ്വസിക്കുന്നത് നിർത്തിയാൽ, നെഞ്ചിന്റെ മധ്യത്തിൽ അമർത്തൽ ആരംഭിക്കുക.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","വായുവും ഊർജവും ലാഭിക്കാൻ കഴിയുന്നത്ര ശാന്തരായും അനങ്ങാതെയും ഇരിക്കുക. പൊടിയിൽ നിന്ന് നിങ്ങളുടെ മൂക്കും വായും തുണികൊണ്ട് മൂടുക. രക്ഷാപ്രവർത്തകർക്ക് നിങ്ങളെ കേൾക്കാൻ കഴിയുംവിധം, ഒരു പൈപ്പിലോ ചുമരിലോ ഏതെങ്കിലും ഉറപ്പുള്ള പ്രതലത്തിലോ സ്ഥിരമായി തട്ടുക. പൊടി ശ്വസിക്കാതിരിക്കാൻ, അവസാന ആശ്രയമായി മാത്രം വിളിച്ചുകൂവുക. ഒരു തീയും കത്തിക്കരുത്. കഴിയുന്നത്ര കുറച്ചു അനങ്ങുക, കണ്ടെത്തുന്നതുവരെ കാത്തിരിക്കുക.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
