"id","category","file","max_seconds","en","fi","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Olet soittanut kampuksen hatatilan opastuslinjalle. Talla hetkella yksikaan auttaja ei ole vapaana, ja apu on halytetty soittamaan sinulle takaisin. Pysy rauhallisena. Hengita hitaasti sisaan. Opastan sinut lapi siita, mita tehda. Jos pystyt, soita nyt myos maasi hatanumeroon.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Tama on kampuksen hatatilan opastuslinja, testitilassa. Yhtaan todellista tapahtumaa ei kirjata. Opastan sinut lapi siita, mita tehda hatatilanteessa.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Valitse tilanne. Paina ykkosta, jos joku ei hengita tai jolla ei ole pulssia. Paina kakkosta, jos on vakava verenvuoto. Paina kolmosta tukehtumisen vuoksi. Paina nelosta tulipalon tai savun vuoksi. Paina vitosta uhan, hyokkaajan tai poikkeustilan vuoksi. Paina kutosta, jos joku on tajuton mutta hengittaa. Paina seiskaa, jos olet loukussa. Paina ysia yrittaaksesi tavoittaa auttajan uudelleen. Paina kasia jattaaksesi viestin. Paina nollaa kuullaksesi nama vaihtoehdot uudelleen.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Aseta henkilo selalleen kovalle alustalle ja polvistu hanen viereensa. Aseta toisen katesi kantapaa keskelle rintakehaa, ja toinen kasi sen paalle. Paina alas voimakkaasti ja nopeasti, noin kaksi kertaa sekunnissa, antaen rintakehan nousta joka kerta taysin ylos. Jatka pysahtymatta. Jos joku on lahella, laheta hanet hakemaan lahin defibrillaattori, ja kaynnista se seurataksesi sen puhuttuja ohjeita. Ala lopeta ennen kuin apu saapuu tai henkilo heraa.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Paina lujasti ja suoraan haavaan kankaalla tai kadellasi. Ala poista kangasta. Jos veri lapaisee sen, lisaa lisaa paalle ja jatka lujaa painamista. Jos kyseessa on kasi tai jalka ja verenvuoto ei lakkaa, sido vahva side tiukasti muutama senttimetri haavan ylapuolelle, haavan ja sydamen valiin, ja merkitse aika muistiin. Pida henkilo lampimana ja liikkumatta.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Kysy, pystyyko han puhumaan tai yskimaan. Jos han ei pysty hengittamaan, seiso hanen takanaan ja anna viisi lujaa lyontia lapaluiden valiin kaden kantapaalla. Jos se ei auta, kierra kasivartesi hanen vyotaronsa ymparille ja anna viisi nopeaa sisaan- ja ylospain suuntautuvaa nykaisya juuri navan ylapuolelta. Toista selkaan lyonteja ja nykaisyja, kunnes esine tulee ulos tai apu saapuu.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Vie kaikki ulos nyt, alaka pysahdy tavaroiden vuoksi. Pysy matalana savun alapuolella, missa ilma on puhtaampaa. Ennen kuin avaat minkaan oven, kokeile sita kadenselalla. Jos se on kuuma, etsi toinen ulospaasy. Ala kayta hisseja. Kun olet ulkona, pysy ulkona ja siirry kokoontumispaikalle. Ala mene takaisin sisaan.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Jos voit poistua alueelta turvallisesti, siirry pois vaarasta hiljaa ja nopeasti. Jos et voi, mene huoneeseen, lukitse tai tuki ovi, ja pysy matalana, poissa ikkunoiden ja ovien laheisyydesta. Sammuta valot ja aseta puhelimesi aanettomalle. Pysy hiljaa ja piilossa. Ala avaa ovea ennen kuin turvallisuus tai poliisi kertoo sen olevan turvallista.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Jos henkilo hengittaa mutta ei ole hereilla, kaanna hanet varovasti kyljelleen. Kallista hanen paataan hieman taaksepain pitaaksesi hengitystien avoimena, ja nosta leukaa. Pysy hanen luonaan ja tarkkaile jatkuvasti, etta han yha hengittaa. Jos han lakkaa hengittamasta, aloita paineluelvytys keskella rintakehaa.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Pysy niin rauhallisena ja liikkumatta kuin voit saastaaksesi ilmaa ja energiaa. Peita nenasi ja suusi kankaalla polya vastaan. Koputa tasaisesti putkeen, seinaan tai mihin tahansa kovaan pintaan, jotta pelastajat voivat kuulla sinut. Huuda vain viimeisena keinona, valttaaksesi polyn hengittamista. Ala sytyta mitaan liekkia. Liiku mahdollisimman vahan ja odota loytymista.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
