"id","category","file","max_seconds","en","lv","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Jūs esat sazvanījis kampusa ārkārtas palīdzības konsultāciju līniju. Šobrīd neviens operators nav brīvs, un palīdzība ir brīdināta, lai jums atzvanītu. Saglabājiet mieru. Lēni ieelpojiet. Es jūs vadīšu, ko darīt. Ja varat, tagad zvaniet arī uz savu valsts ārkārtas numuru.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Šī ir kampusa ārkārtas palīdzības konsultāciju līnija testa režīmā. Neviens reāls incidents netiek reģistrēts. Es jūs vadīšu, ko darīt ārkārtas situācijā.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Izvēlieties situāciju. Nospiediet vienu, ja kāds neelpo vai tam nav pulsa. Nospiediet divi spēcīgas asiņošanas gadījumā. Nospiediet trīs, ja kāds ir aizrijies. Nospiediet četri ugunsgrēka vai dūmu gadījumā. Nospiediet pieci draudu, uzbrucēja vai bloķēšanas gadījumā. Nospiediet seši, ja kāds ir bezsamaņā, bet elpo. Nospiediet septiņi, ja esat iesprostots. Nospiediet deviņi, lai vēlreiz mēģinātu sazināties ar operatoru. Nospiediet astoņi, lai atstātu ziņojumu. Nospiediet nulle, lai vēlreiz dzirdētu šīs izvēles.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Novietojiet cilvēku uz muguras uz cietas virsmas un nometieties ceļos viņam blakus. Novietojiet vienas rokas plaukstas pamatni krūškurvja centrā, un otru roku virsū. Spiediet spēcīgi un ātri, apmēram divas reizes sekundē, katru reizi ļaujot krūškurvim pilnībā pacelties. Turpiniet bez apstāšanās. Ja kāds ir tuvumā, nosūtiet viņu pēc tuvākā defibrilatora un ieslēdziet to, lai sekotu tā balss norādēm. Neapstājieties, kamēr nav ieradusies palīdzība vai cilvēks pamostas.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Stingri un tieši spiediet uz brūces ar audumu vai savu roku. Nenoņemiet audumu. Ja asinis izsūcas cauri, pievienojiet vēl virsū un turpiniet stipri spiest. Ja tā ir roka vai kāja un asiņošana neapstājas, cieši apsieniet stipru saiti dažus centimetrus virs brūces, starp brūci un sirdi, un pierakstiet laiku. Turiet cilvēku siltu un nekustīgu.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Pajautājiet, vai viņi var runāt vai klepot. Ja viņi nevar elpot, nostājieties aiz viņiem un ar plaukstas pamatni iesitiet piecas stingras reizes starp lāpstiņām. Ja tas nepalīdz, aplieciet rokas ap viņu vidukli un veiciet piecus ātrus grūdienus uz iekšu un augšu tieši virs nabas. Turpiniet atkārtot sitienus pa muguru un grūdienus, kamēr priekšmets iznāk ārā vai ierodas palīdzība.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Izvediet visus ārā tagad un neapstājieties mantu dēļ. Turieties zemu zem dūmiem, kur gaiss ir tīrāks. Pirms atverat jebkuras durvis, aptaustiet tās ar plaukstas virspusi. Ja tās ir karstas, atrodiet citu izeju. Neizmantojiet liftus. Kad esat ārā, palieciet ārā un dodieties uz pulcēšanās vietu. Neejiet atpakaļ iekšā.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Ja varat droši pamest šo vietu, klusi un ātri attālinieties no briesmām. Ja nevarat, ieejiet telpā, aizslēdziet vai nobloķējiet durvis un turieties zemu, prom no logiem un durvīm. Izslēdziet gaismas un ieslēdziet klusuma režīmu tālrunī. Palieciet klusi un neredzami. Neatveriet durvis, kamēr apsardze vai policija nav pateikusi, ka ir droši.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Ja cilvēks elpo, bet nav pie samaņas, uzmanīgi pagrieziet viņu uz sāniem. Nedaudz atlieciet viņa galvu atpakaļ, lai elpceļi būtu atvērti, un paceliet zodu. Palieciet pie viņa un turpiniet vērot, vai viņš joprojām elpo. Ja viņš pārstāj elpot, sāciet krūškurvja saspiešanu krūškurvja centrā.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Saglabājiet mieru un nekustieties, cik vien iespējams, lai taupītu gaisu un enerģiju. Aizsedziet degunu un muti ar audumu, lai pasargātos no putekļiem. Vienmērīgi klauvējiet pa cauruli, sienu vai jebkuru cietu virsmu, lai glābēji jūs dzirdētu. Kliedziet tikai kā pēdējo līdzekli, lai neieelpotu putekļus. Neaizdedziniet nekādu liesmu. Kustieties pēc iespējas mazāk un gaidiet, kad jūs atradīs.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
