"id","category","file","max_seconds","en","pt","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Você ligou para a linha de orientação de emergência do campus. Nenhum atendente está disponível neste momento, e a ajuda foi avisada para ligar de volta para você. Mantenha a calma. Respire devagar. Eu vou orientar você sobre o que fazer. Se você puder, ligue também agora para o número nacional de emergência.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Esta é a linha de orientação de emergência do campus, em modo de teste. Nenhuma ocorrência real está sendo registrada. Eu vou orientar você sobre o que fazer em uma emergência.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Escolha a situação. Aperte um se alguém não estiver respirando ou não tiver pulso. Aperte dois para sangramento grave. Aperte três para engasgo. Aperte quatro para fogo ou fumaça. Aperte cinco para uma ameaça, agressor ou confinamento. Aperte seis se alguém estiver inconsciente mas respirando. Aperte sete se você estiver preso. Aperte nove para tentar um atendente novamente. Aperte oito para deixar uma mensagem. Aperte zero para ouvir estas opções novamente.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Deite a pessoa de costas sobre uma superfície firme e ajoelhe-se ao lado dela. Coloque a base de uma das mãos no centro do peito e a outra mão por cima. Comprima com força e rapidez, cerca de duas vezes por segundo, deixando o peito subir totalmente a cada vez. Continue sem parar. Se houver alguém por perto, mande buscar o desfibrilador mais próximo e ligue-o para seguir as instruções faladas. Não pare até a ajuda chegar ou a pessoa acordar.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Pressione com firmeza e diretamente sobre o ferimento com um pano ou com a sua mão. Não retire o pano. Se o sangue atravessar, coloque mais pano por cima e continue pressionando com força. Se for um braço ou uma perna e o sangramento não parar, amarre uma faixa forte com firmeza alguns centímetros acima do ferimento, entre o ferimento e o coração, e anote a hora. Mantenha a pessoa aquecida e imóvel.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Pergunte se a pessoa consegue falar ou tossir. Se ela não conseguir respirar, fique atrás dela e dê cinco batidas firmes entre as omoplatas com a base da mão. Se isso não funcionar, envolva os braços em volta da cintura dela e dê cinco compressões rápidas para dentro e para cima, logo acima do umbigo. Continue repetindo as batidas nas costas e as compressões até o objeto sair ou a ajuda chegar.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Tire todos para fora agora e não pare por causa de pertences. Fique abaixado sob a fumaça, onde o ar está mais limpo. Antes de abrir qualquer porta, toque nela com o dorso da mão. Se estiver quente, procure outra saída. Não use os elevadores. Assim que estiver do lado de fora, permaneça do lado de fora e vá até o ponto de encontro. Não volte para dentro.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Se você puder sair da área com segurança, afaste-se do perigo com calma e rapidez. Se não puder, entre em uma sala, tranque ou bloqueie a porta e fique abaixado, longe de janelas e portas. Apague as luzes e coloque o seu telefone no silencioso. Fique em silêncio e fora de vista. Não abra a porta até a segurança ou a polícia dizerem que é seguro.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Se a pessoa estiver respirando mas não acordada, vire-a com cuidado de lado. Incline a cabeça dela um pouco para trás para manter as vias aéreas abertas e levante o queixo. Fique com ela e continue observando se ela ainda está respirando. Se ela parar de respirar, comece as compressões no centro do peito.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Fique o mais calmo e imóvel possível, para economizar ar e energia. Cubra o nariz e a boca com um pano contra a poeira. Bata de forma constante em um cano, uma parede ou qualquer superfície dura, para que os socorristas possam ouvir você. Grite apenas como último recurso, para evitar respirar a poeira. Não acenda nenhuma chama. Mova-se o mínimo possível e espere ser encontrado.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","Estou tentando contatar um atendente agora. Por favor, permaneça na linha e aguarde.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
