"id","category","file","max_seconds","en","sq","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Keni arritur në linjën e udhëzimit për emergjenca të kampusit. Në këtë moment nuk ka asnjë përgjegjës të lirë, dhe ndihma është njoftuar që t'ju telefonojë përsëri. Qëndroni të qetë. Merrni një frymë ngadalë. Unë do t'ju udhëzoj se çfarë të bëni. Nëse mundeni, telefononi tani edhe numrin tuaj kombëtar të emergjencës.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Kjo është linja e udhëzimit për emergjenca të kampusit, në modalitetin e provës. Nuk po regjistrohet asnjë incident real. Unë do t'ju udhëzoj se çfarë të bëni në një emergjencë.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Zgjidhni situatën. Shtypni një nëse dikush nuk po merr frymë ose nuk ka puls. Shtypni dy për gjakderdhje të rëndë. Shtypni tre për mbytje nga një objekt. Shtypni katër për zjarr ose tym. Shtypni pesë për një kërcënim, sulmues, ose bllokim. Shtypni gjashtë nëse dikush është pa ndjenja por po merr frymë. Shtypni shtatë nëse jeni bllokuar. Shtypni nëntë për të provuar përsëri një përgjegjës. Shtypni tetë për të lënë një mesazh. Shtypni zero për t'i dëgjuar përsëri këto zgjedhje.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Vendoseni personin në shpinë mbi një sipërfaqe të fortë dhe gjunjëzohuni pranë tij. Vendosni pjesën e poshtme të njërës dorë në qendër të gjoksit, dhe dorën tjetër sipër saj. Shtypni fort dhe shpejt, rreth dy herë në sekondë, duke e lënë gjoksin të ngrihet plotësisht çdo herë. Vazhdoni pa u ndalur. Nëse dikush është afër, dërgojeni për defibrilatorin më të afërt, dhe ndizeni për të ndjekur udhëzimet e tij zanore. Mos u ndalni derisa të vijë ndihma ose personi të zgjohet.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Shtypni fort dhe drejtpërdrejt mbi plagë me një copë leckë ose me dorën tuaj. Mos e hiqni leckën. Nëse gjaku e lag atë, shtoni më shumë sipër dhe vazhdoni të shtypni fort. Nëse është një krah ose një këmbë dhe gjakderdhja nuk ndalet, lidhni fort një rrip të fortë disa centimetra sipër plagës, midis plagës dhe zemrës, dhe shënoni kohën. Mbajeni personin të ngrohtë dhe të palëvizshëm.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Pyesni nëse mund të flasin ose të kollen. Nëse nuk mund të marrin frymë, qëndroni pas tyre dhe jepni pesë goditje të forta midis shpatullave me pjesën e poshtme të dorës tuaj. Nëse kjo nuk funksionon, mbështillni krahët tuaj rreth belit të tyre dhe jepni pesë shtytje të shpejta nga brenda dhe lart, pak sipër kërthizës. Vazhdoni të përsërisni goditjet në shpinë dhe shtytjet derisa objekti të dalë ose të vijë ndihma.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Nxirrni të gjithë jashtë tani, dhe mos u ndalni për sende. Qëndroni ulët nën tym, ku ajri është më i pastër. Para se të hapni ndonjë derë, prekeni atë me pjesën e pasme të dorës. Nëse është e nxehtë, gjeni një rrugë tjetër daluese. Mos përdorni ashensorët. Sapo të jeni jashtë, qëndroni jashtë, dhe shkoni në pikën e grumbullimit. Mos u ktheni brenda.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Nëse mund të largoheni nga zona në mënyrë të sigurt, largohuni nga rreziku në heshtje dhe shpejt. Nëse nuk mundeni, futuni në një dhomë, kyçni ose bllokoni derën, dhe qëndroni ulët, larg dritareve dhe dyerve. Fikni dritat dhe vendosni telefonin tuaj në heshtje. Qëndroni në heshtje dhe jashtë shikimit. Mos e hapni derën derisa siguria ose policia t'ju thonë se është e sigurt.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Nëse personi po merr frymë por nuk është i zgjuar, rrotullojeni butësisht mbi njërën anë. Përkulni pak kokën e tij prapa për të mbajtur rrugën e ajrit të hapur, dhe ngrini mjekrën. Qëndroni me të dhe vazhdoni të vëzhgoni që ai ende po merr frymë. Nëse ndalon së marri frymë, filloni shtypjet e gjoksit në qendër të gjoksit.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Qëndroni sa më të qetë dhe të palëvizshëm që mundeni, për të kursyer ajër dhe energji. Mbuloni hundën dhe gojën me leckë kundër pluhurit. Trokitni në mënyrë të vazhdueshme mbi një tub, një mur, ose çdo sipërfaqe të fortë, që shpëtimtarët të mund t'ju dëgjojnë. Bërtitni vetëm si mundësia e fundit, për të shmangur thithjen e pluhurit. Mos ndizni asnjë flakë. Lëvizni sa më pak që të jetë e mundur dhe prisni të gjendeni.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","Po përpiqem të kontaktoj një përgjegjës tani. Ju lutem qëndroni në linjë dhe prisni.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","Ende nuk ka asnjë përgjegjës të lirë. Unë do të qëndroj me ju. Po kthehemi te udhëzimi.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","Më vjen keq, nuk e kuptova këtë.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","Nuk dëgjova asnjë zgjedhje.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","Tani do t'ju lejoj të lini një mesazh për ekipin e reagimit. Pas sinjalit, thoni ku jeni dhe çfarë po ndodh.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","Udhëzime për ndihmën e parë. Një përgjegjës ende po njoftohet dhe do të bashkohet nëse mundet. Qëndroni me mua.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","Keni arritur në linjën e emergjencës të kampusit. Telefonata juaj po regjistrohet, dhe ndihma po kontaktohet tani. Qëndroni në linjë. Nëse dikush ka nevojë për ndihmë të parë tani, shtypni një në çdo moment, dhe unë do t'ju udhëzoj.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
