"id","category","file","max_seconds","en","it","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Ha raggiunto la linea di guida per le emergenze del campus. In questo momento nessun soccorritore è disponibile, e i soccorsi sono stati avvisati di richiamarla. Resti calmo. Faccia un respiro lento. La guiderò su cosa fare. Se ne è in grado, chiami subito anche il suo numero di emergenza nazionale.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Questa è la linea di guida per le emergenze del campus, in modalità di prova. Nessun evento reale viene registrato. La guiderò su cosa fare in caso di emergenza.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Scelga la situazione. Prema uno se qualcuno non respira o non ha polso. Prema due per un'emorragia grave. Prema tre per soffocamento. Prema quattro per incendio o fumo. Prema cinque per una minaccia, un aggressore o un isolamento. Prema sei se qualcuno è privo di sensi ma respira. Prema sette se è intrappolato. Prema nove per riprovare a contattare un soccorritore. Prema otto per lasciare un messaggio. Prema zero per riascoltare queste opzioni.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Metta la persona supina su una superficie rigida e si inginocchi accanto a lei. Appoggi il palmo di una mano al centro del torace, e l'altra mano sopra. Spinga verso il basso con forza e rapidità, circa due volte al secondo, lasciando che il torace risalga completamente ogni volta. Continui senza fermarsi. Se c'è qualcuno vicino, lo mandi a prendere il defibrillatore più vicino, e lo accenda per seguire le sue istruzioni vocali. Non si fermi finché non arrivano i soccorsi o la persona non si risveglia.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Prema con forza e direttamente sulla ferita con un panno o con la mano. Non rimuova il panno. Se il sangue lo attraversa, ne aggiunga altro sopra e continui a premere con forza. Se si tratta di un braccio o di una gamba e l'emorragia non si ferma, leghi strettamente una fascia robusta qualche centimetro sopra la ferita, tra la ferita e il cuore, e annoti l'ora. Tenga la persona al caldo e immobile.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Chieda se riesce a parlare o a tossire. Se non riesce a respirare, si metta dietro di lei e dia cinque colpi decisi tra le scapole con il palmo della mano. Se non funziona, avvolga le braccia attorno alla sua vita e dia cinque spinte rapide verso l'interno e verso l'alto appena sopra l'ombelico. Continui a ripetere i colpi sulla schiena e le spinte finché l'oggetto non esce o arrivano i soccorsi.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Faccia uscire tutti subito, e non si fermi per gli oggetti personali. Resti in basso sotto il fumo, dove l'aria è più pulita. Prima di aprire qualsiasi porta, la tocchi con il dorso della mano. Se è calda, trovi un'altra via d'uscita. Non usi gli ascensori. Una volta all'esterno, resti all'esterno, e si diriga al punto di raccolta. Non rientri.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Se può lasciare la zona in sicurezza, si allontani dal pericolo in silenzio e rapidamente. Se non può, entri in una stanza, chiuda a chiave o blocchi la porta, e resti in basso, lontano da finestre e porte. Spenga le luci e metta il telefono in modalità silenziosa. Resti in silenzio e fuori dalla vista. Non apra la porta finché la sicurezza o la polizia non le dicono che è sicuro.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Se la persona respira ma non è cosciente, la giri delicatamente su un fianco. Le inclini un po' la testa all'indietro per mantenere aperte le vie respiratorie, e le sollevi il mento. Resti con lei e continui a controllare che stia ancora respirando. Se smette di respirare, inizi le compressioni al centro del torace.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Resti il più calmo e immobile possibile, per risparmiare aria ed energia. Si copra il naso e la bocca con un panno contro la polvere. Batta con regolarità su un tubo, un muro, o qualsiasi superficie dura, così i soccorritori possono sentirla. Gridi solo come ultima risorsa, per evitare di respirare la polvere. Non accenda alcuna fiamma. Si muova il meno possibile e aspetti di essere trovato.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
