"id","category","file","max_seconds","en","tr","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Kampüs acil durum rehberlik hattına ulaştınız. Şu anda müsait bir görevli yok ve sizi geri araması için yardım uyarıldı. Sakin olun. Yavaşça bir nefes alın. Ne yapmanız gerektiği konusunda size rehberlik edeceğim. Mümkünse şimdi ulusal acil durum numaranızı da arayın.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Bu, test modundaki kampüs acil durum rehberlik hattıdır. Gerçek bir olay kaydedilmiyor. Bir acil durumda ne yapmanız gerektiği konusunda size rehberlik edeceğim.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Durumu seçin. Biri nefes almıyorsa veya nabzı yoksa bir tuşuna basın. Şiddetli kanama için iki tuşuna basın. Boğulma için üç tuşuna basın. Yangın veya duman için dört tuşuna basın. Bir tehdit, saldırgan veya karantina için beş tuşuna basın. Biri baygın ama nefes alıyorsa altı tuşuna basın. Sıkışıp kaldıysanız yedi tuşuna basın. Bir görevliyi tekrar denemek için dokuz tuşuna basın. Mesaj bırakmak için sekiz tuşuna basın. Bu seçenekleri tekrar dinlemek için sıfır tuşuna basın.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Kişiyi sert bir zemin üzerinde sırtüstü yatırın ve yanına diz çökün. Bir elinizin topuğunu göğsün ortasına, diğer elinizi de üstüne koyun. Sert ve hızlı bir şekilde, saniyede yaklaşık iki kez bastırın ve her seferinde göğsün tamamen yükselmesine izin verin. Durmadan devam edin. Yakında biri varsa, onu en yakın defibrilatörü getirmesi için gönderin ve cihazı açıp sesli talimatlarını izleyin. Yardım gelene veya kişi uyanana kadar durmayın.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Yaranın üzerine bir bez veya elinizle doğrudan ve sıkıca bastırın. Bezi çıkarmayın. Kan bezi ıslatırsa, üstüne daha fazla bez ekleyin ve sıkıca bastırmaya devam edin. Bir kol veya bacaksa ve kanama durmuyorsa, yaranın birkaç santimetre yukarısına, yara ile kalp arasına güçlü bir bandı sıkıca bağlayın ve zamanı not edin. Kişiyi sıcak ve hareketsiz tutun.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Konuşabiliyor veya öksürebiliyor mu diye sorun. Nefes alamıyorsa, arkasında durun ve elinizin topuğuyla kürek kemiklerinin arasına beş sert vuruş yapın. Bu işe yaramazsa, kollarınızı belinin etrafına sarın ve göbeğin hemen üzerinden beş kez hızla içeri ve yukarı doğru bastırın. Nesne çıkana veya yardım gelene kadar sırt vuruşlarını ve bastırmaları tekrarlamaya devam edin.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Şimdi herkesi dışarı çıkarın ve eşyalar için durmayın. Havanın daha temiz olduğu dumanın altında alçakta kalın. Herhangi bir kapıyı açmadan önce, elinizin tersiyle yoklayın. Sıcaksa, başka bir çıkış yolu bulun. Asansörleri kullanmayın. Dışarı çıktığınızda dışarıda kalın ve toplanma noktasına gidin. İçeri geri dönmeyin.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Bölgeden güvenli bir şekilde ayrılabiliyorsanız, tehlikeden sessizce ve hızla uzaklaşın. Yapamıyorsanız, bir odaya girin, kapıyı kilitleyin veya engelleyin ve pencerelerden ve kapılardan uzakta, alçakta kalın. Işıkları kapatın ve telefonunuzu sessize alın. Sessiz ve gözden uzak kalın. Güvenlik veya polis güvenli olduğunu söyleyene kadar kapıyı açmayın.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Kişi nefes alıyor ama uyanık değilse, onu nazikçe yan tarafına çevirin. Hava yolunu açık tutmak için başını biraz geriye eğin ve çenesini kaldırın. Yanında kalın ve hâlâ nefes alıp almadığını izlemeye devam edin. Nefes almayı bırakırsa, göğsün ortasında göğüs baskılarına başlayın.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Havayı ve enerjiyi korumak için olabildiğince sakin ve hareketsiz kalın. Toza karşı burnunuzu ve ağzınızı bezle örtün. Kurtarma ekiplerinin sizi duyabilmesi için bir boruya, duvara veya herhangi bir sert yüzeye düzenli olarak vurun. Toz solumamak için yalnızca son çare olarak bağırın. Hiçbir alev yakmayın. Olabildiğince az hareket edin ve bulunmayı bekleyin.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
