"id","category","file","max_seconds","en","sv","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Du har kommit till campus vägledningslinje för nödsituationer. Ingen räddare är ledig just nu, och hjälpen har larmats för att ringa upp dig igen. Var lugn. Ta ett långsamt andetag. Jag vägleder dig genom vad du ska göra. Om du kan, ring även ditt nationella nödnummer nu.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Detta är campus vägledningslinje för nödsituationer, i testläge. Ingen verklig händelse registreras. Jag vägleder dig genom vad du ska göra i en nödsituation.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Välj situationen. Tryck 1 om någon inte andas eller saknar puls. Tryck 2 för kraftig blödning. Tryck 3 för kvävning. Tryck 4 för brand eller rök. Tryck 5 för ett hot, en angripare eller lockdown. Tryck 6 om någon är medvetslös men andas. Tryck 7 om du är instängd. Tryck 9 för att försöka nå en räddare igen. Tryck 8 för att lämna ett meddelande. Tryck 0 för att höra dessa val igen.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Lägg personen på rygg på ett fast underlag och knäböj bredvid den. Placera handloven av en hand mitt på bröstet, och din andra hand ovanpå. Tryck ner hårt och snabbt, ungefär två gånger i sekunden, och låt bröstkorgen resa sig helt varje gång. Fortsätt utan att stanna. Om någon är i närheten, skicka den efter närmaste hjärtstartare, och sätt på den för att följa dess talade instruktioner. Sluta inte förrän hjälpen kommer eller personen vaknar.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Tryck bestämt och direkt på såret med en trasa eller din hand. Ta inte bort trasan. Om blodet tränger igenom, lägg mer ovanpå och fortsätt trycka hårt. Om det är en arm eller ett ben och blödningen inte stannar, knyt ett starkt band hårt några centimeter ovanför såret, mellan såret och hjärtat, och notera tiden. Håll personen varm och stilla.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Fråga om de kan tala eller hosta. Om de inte kan andas, ställ dig bakom dem och ge fem bestämda slag mellan skulderbladen med handloven. Om det inte fungerar, lägg armarna runt deras midja och ge fem snabba stötar inåt och uppåt precis ovanför naveln. Fortsätt upprepa ryggslagen och stötarna tills föremålet kommer ut eller hjälpen kommer.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Få ut alla nu, och stanna inte för tillhörigheter. Håll dig lågt under röken, där luften är renare. Innan du öppnar en dörr, känn på den med baksidan av handen. Om den är varm, hitta en annan väg ut. Använd inte hissarna. När du väl är ute, stanna ute, och gå till uppsamlingsplatsen. Gå inte tillbaka in.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Om du kan lämna området säkert, gå bort från faran tyst och snabbt. Om du inte kan, ta dig in i ett rum, lås eller blockera dörren, och håll dig lågt, borta från fönster och dörrar. Släck lamporna och ställ telefonen på ljudlöst. Var tyst och utom synhåll. Öppna inte dörren förrän säkerhetspersonalen eller polisen säger att det är säkert.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Om personen andas men inte är vaken, rulla den försiktigt över på sidan. Böj huvudet lite bakåt för att hålla luftvägen öppen, och lyft hakan. Stanna hos personen och fortsätt kontrollera att den fortfarande andas. Om den slutar andas, börja med bröstkompressioner mitt på bröstet.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Håll dig så lugn och stilla du kan, för att spara luft och energi. Täck näsa och mun med tyg mot damm. Knacka jämnt på ett rör, en vägg eller någon hård yta, så att räddarna kan höra dig. Ropa endast som en sista utväg, för att undvika att andas in damm. Tänd ingen låga. Rör dig så lite som möjligt och vänta på att bli hittad.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
