"id","category","file","max_seconds","en","hi","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","आप कैंपस आपातकालीन मार्गदर्शन लाइन पर पहुँच गए हैं। इस समय कोई रिस्पॉन्डर उपलब्ध नहीं है, और आपको वापस कॉल करने के लिए मदद को सूचित कर दिया गया है। शांत रहें। धीरे से एक साँस लें। मैं आपको बताऊँगा कि क्या करना है। यदि संभव हो, तो अभी अपने राष्ट्रीय आपातकालीन नंबर पर भी कॉल करें।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","यह कैंपस आपातकालीन मार्गदर्शन लाइन है, परीक्षण मोड में। कोई वास्तविक घटना दर्ज नहीं की जा रही है। मैं आपको बताऊँगा कि आपात स्थिति में क्या करना है।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","स्थिति चुनें। यदि कोई साँस नहीं ले रहा या नाड़ी नहीं है, तो एक दबाएँ। गंभीर रक्तस्राव के लिए दो दबाएँ। किसी चीज़ के गले में फँसने पर तीन दबाएँ। आग या धुएँ के लिए चार दबाएँ। किसी खतरे, हमलावर, या लॉकडाउन के लिए पाँच दबाएँ। यदि कोई बेहोश है पर साँस ले रहा है, तो छह दबाएँ। यदि आप फँसे हुए हैं, तो सात दबाएँ। रिस्पॉन्डर को फिर से आज़माने के लिए नौ दबाएँ। संदेश छोड़ने के लिए आठ दबाएँ। ये विकल्प दोबारा सुनने के लिए शून्य दबाएँ।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","व्यक्ति को किसी सख़्त सतह पर पीठ के बल लिटाएँ और उनके पास घुटनों के बल बैठ जाएँ। एक हाथ की एड़ी छाती के बीच में रखें, और दूसरा हाथ उसके ऊपर। ज़ोर से और तेज़ी से दबाएँ, लगभग हर सेकंड में दो बार, और हर बार छाती को पूरी तरह ऊपर उठने दें। बिना रुके जारी रखें। यदि कोई पास हो, तो उसे नज़दीकी डिफ़िब्रिलेटर लाने भेजें, और उसे चालू करके उसके बोले गए निर्देशों का पालन करें। जब तक मदद न आ जाए या व्यक्ति होश में न आ जाए, तब तक न रुकें।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","घाव पर किसी कपड़े या अपने हाथ से सीधे और मज़बूती से दबाव डालें। कपड़ा न हटाएँ। यदि खून रिसकर बाहर आ जाए, तो ऊपर और कपड़ा रखें और ज़ोर से दबाते रहें। यदि यह हाथ या पैर है और खून नहीं रुक रहा, तो घाव से कुछ सेंटीमीटर ऊपर, घाव और हृदय के बीच, एक मज़बूत पट्टी कसकर बाँधें, और समय नोट करें। व्यक्ति को गर्म और स्थिर रखें।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","पूछें कि क्या वे बोल या खाँस सकते हैं। यदि वे साँस नहीं ले पा रहे, तो उनके पीछे खड़े होकर अपने हाथ की एड़ी से कंधों के बीच पीठ पर पाँच मज़बूत प्रहार करें। यदि इससे काम न बने, तो अपनी बाँहें उनकी कमर के चारों ओर लपेटें और नाभि के ठीक ऊपर पाँच बार तेज़ी से अंदर और ऊपर की ओर झटका दें। जब तक वस्तु बाहर न आ जाए या मदद न आ जाए, तब तक पीठ पर प्रहार और झटके दोहराते रहें।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","अभी सभी को बाहर निकालें, और सामान के लिए न रुकें। धुएँ के नीचे झुककर रहें, जहाँ हवा साफ़ है। कोई भी दरवाज़ा खोलने से पहले उसे अपने हाथ के पिछले हिस्से से छूकर देखें। यदि वह गर्म है, तो बाहर निकलने का दूसरा रास्ता खोजें। लिफ़्ट का उपयोग न करें। बाहर निकलने के बाद बाहर ही रहें, और एकत्रीकरण स्थल की ओर जाएँ। वापस अंदर न जाएँ।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","यदि आप सुरक्षित रूप से क्षेत्र छोड़ सकते हैं, तो चुपचाप और जल्दी से ख़तरे से दूर चले जाएँ। यदि नहीं, तो किसी कमरे में जाएँ, दरवाज़ा बंद करें या रोकें, और खिड़कियों तथा दरवाज़ों से दूर, झुककर रहें। रोशनी बंद कर दें और अपना फ़ोन साइलेंट पर रखें। शांत और नज़रों से ओझल रहें। जब तक सुरक्षा या पुलिस यह न बताए कि सुरक्षित है, तब तक दरवाज़ा न खोलें।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","यदि व्यक्ति साँस ले रहा है पर होश में नहीं है, तो उसे धीरे से करवट पर लिटाएँ। हवा का रास्ता खुला रखने के लिए उनका सिर थोड़ा पीछे झुकाएँ, और ठोड़ी ऊपर उठाएँ। उनके साथ रहें और देखते रहें कि वे साँस ले रहे हैं। यदि वे साँस लेना बंद कर दें, तो छाती के बीच में दबाव देना शुरू करें।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","हवा और ऊर्जा बचाने के लिए जितना हो सके शांत और स्थिर रहें। धूल से बचने के लिए अपनी नाक और मुँह को कपड़े से ढकें। किसी पाइप, दीवार, या किसी सख़्त सतह पर लगातार थपथपाएँ, ताकि बचावकर्मी आपकी आवाज़ सुन सकें। धूल अंदर जाने से बचने के लिए चिल्लाना अंतिम उपाय रखें। कोई भी लौ न जलाएँ। जितना हो सके कम हिलें और मिलने का इंतज़ार करें।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","मैं अभी किसी रिस्पॉन्डर से संपर्क करने की कोशिश कर रहा हूँ। कृपया लाइन पर बने रहें और प्रतीक्षा करें।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","अभी तक कोई रिस्पॉन्डर उपलब्ध नहीं है। मैं आपके साथ रहूँगा। मार्गदर्शन पर लौट रहे हैं।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","क्षमा करें, मैं यह समझ नहीं पाया।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","मुझे कोई चयन सुनाई नहीं दिया।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","अब मैं आपको प्रतिक्रिया टीम के लिए एक संदेश छोड़ने दूँगा। टोन के बाद, बताएँ कि आप कहाँ हैं और क्या हो रहा है।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","प्राथमिक चिकित्सा मार्गदर्शन। एक रिस्पॉन्डर को अब भी सूचित किया जा रहा है और यदि संभव हुआ तो वे जुड़ेंगे। मेरे साथ बने रहें।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","आप कैंपस आपातकालीन लाइन पर पहुँच गए हैं। आपकी कॉल रिकॉर्ड की जा रही है, और अभी मदद तक पहुँचा जा रहा है। लाइन पर बने रहें। यदि किसी को अभी प्राथमिक चिकित्सा की ज़रूरत है, तो कभी भी एक दबाएँ, और मैं आपका मार्गदर्शन करूँगा।","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","आपको रिस्पॉन्डर से जोड़ा जा रहा है। यदि आपको अभी प्राथमिक चिकित्सा चाहिए, तो चरण-दर-चरण मार्गदर्शन के लिए एक दबाएँ।","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","आपातकालीन चेतावनी। कैंपस आपातकालीन लाइन पर एक सक्रिय कॉल है और किसी रिस्पॉन्डर ने उत्तर नहीं दिया है। कृपया अभी उपलब्ध हों। आपातकालीन कतार में शामिल होने के लिए एक दबाएँ।","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","अब आप ड्यूटी पर हैं। जब तक आप स्टार दो तीन डायल करके ड्यूटी से नहीं हटते, तब तक आपको कैंपस आपातकालीन कॉलें मिलती रहेंगी।","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","अब आप ड्यूटी से हट गए हैं। अब आपको कैंपस आपातकालीन कॉलें नहीं मिलेंगी।","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","ध्यान दें। यह यूपीईएस आपातकालीन चेतावनी सेवा है। अभी इमारत ख़ाली करें। नज़दीकी सुरक्षित निकास से तुरंत बाहर निकलें। लिफ़्ट का उपयोग न करें। अपने एकत्रीकरण स्थल पर जाएँ और आगे के निर्देशों की प्रतीक्षा करें।","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","ध्यान दें। यह यूपीईएस आपातकालीन चेतावनी सेवा है। अभी जहाँ हैं वहीं सुरक्षित रहें। अंदर चले जाएँ, अपना दरवाज़ा बंद करें या रोकें, खिड़कियों से दूर रहें, और जब तक सुरक्षित होने की सूचना न मिले तब तक शांत रहें। आगे के निर्देशों की प्रतीक्षा करें।","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","ध्यान दें। यह यूपीईएस आपातकालीन चेतावनी सेवा है। आपात स्थिति अब समाप्त हो गई है। सामान्य गतिविधि फिर से शुरू करना सुरक्षित है। आपके सहयोग के लिए धन्यवाद।","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","ध्यान दें। यह यूपीईएस आपातकालीन चेतावनी सेवा है। अभी अपने निर्धारित एकत्रीकरण स्थल पर जाएँ। शांति से चलें, जहाँ संभव हो दूसरों की मदद करें, और गिनती के लिए प्रतीक्षा करें। आगे के निर्देशों की प्रतीक्षा करें।","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","ध्यान दें। यह यूपीईएस आपातकालीन चेतावनी सेवा है। यह एक सुरक्षा गणना है। यदि आप सुरक्षित हैं और उत्तर देने में सक्षम हैं, तो अभी एक दबाएँ।","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","यह यूपीईएस आपातकालीन चेतावनी सेवा का एक परीक्षण है। यह केवल एक परीक्षण है। किसी कार्रवाई की आवश्यकता नहीं है, और कोई आपातकालीन प्रतिक्रिया नहीं भेजी जाएगी।","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","यदि आप सुरक्षित हैं, तो एक दबाएँ।","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","धन्यवाद। आपको सुरक्षित दर्ज कर लिया गया है। अब आप कॉल समाप्त कर सकते हैं।","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","कोई उत्तर दर्ज नहीं हुआ। कृपया जितनी जल्दी संभव हो अपने वार्डन से संपर्क करें।","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","ध्यान दें। यह यूपीईएस आपातकालीन चेतावनी सेवा है। अभी इमारत ख़ाली करें। नज़दीकी सुरक्षित निकास से तुरंत बाहर निकलें। लिफ़्ट का उपयोग न करें। अपने एकत्रीकरण स्थल पर जाएँ और आगे के निर्देशों की प्रतीक्षा करें।","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","ध्यान दें। यह यूपीईएस आपातकालीन चेतावनी सेवा है। कैंपस में एक घटना हुई है। प्रभावित क्षेत्र से दूर रहें, पास न जाएँ, और सुरक्षा कर्मियों के निर्देशों का पालन करें। आगे के निर्देशों की प्रतीक्षा करें।","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","ध्यान दें। यह यूपीईएस आपातकालीन चेतावनी सेवा है। आपात स्थिति अब समाप्त हो गई है। सामान्य गतिविधि फिर से शुरू करना सुरक्षित है। आपके सहयोग के लिए धन्यवाद।","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","ध्यान दें। यह यूपीईएस आपातकालीन चेतावनी सेवा है। अभी अपने निर्धारित एकत्रीकरण स्थल पर जाएँ। शांति से चलें, जहाँ संभव हो दूसरों की मदद करें, और गिनती के लिए प्रतीक्षा करें। आगे के निर्देशों की प्रतीक्षा करें।","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","ध्यान दें। यह यूपीईएस आपातकालीन चेतावनी सेवा की ओर से एक सूचना है। कृपया ध्यान से सुनें और आगे दिए गए निर्देशों का पालन करें।","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
"upes-ecs/drill-prompt","system","upes-ecs/drill-prompt.wav","11","This is a UPES emergency system drill. This is only a test. No real emergency is in progress, and no response will be dispatched. Thank you.","यह यूपीईएस आपातकालीन प्रणाली का एक अभ्यास है। यह केवल एक परीक्षण है। कोई वास्तविक आपात स्थिति नहीं है, और कोई प्रतिक्रिया नहीं भेजी जाएगी। धन्यवाद।","System status prompt: neutral, clear, brief."
"upes-ecs/emergency-voicemail-prompt","system","upes-ecs/emergency-voicemail-prompt.wav","14","No responder is available to take your call right now. After the tone, please say your name, where you are, and what is happening. Stay safe. Help will call you back as soon as possible.","अभी आपकी कॉल लेने के लिए कोई रिस्पॉन्डर उपलब्ध नहीं है। टोन के बाद, कृपया अपना नाम, आप कहाँ हैं, और क्या हो रहा है यह बताएँ। सुरक्षित रहें। मदद जल्द से जल्द आपको वापस कॉल करेगी।","System status prompt: neutral, clear, brief."
"upes-ecs/not-authorized","system","upes-ecs/not-authorized.wav","4","Sorry. You are not authorised to use this feature.","क्षमा करें। आप इस सुविधा का उपयोग करने के लिए अधिकृत नहीं हैं।","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/queue-hold","system","upes-ecs/queue-hold.wav","6","Please stay on the line. We are connecting you to a responder now.","कृपया लाइन पर बने रहें। हम आपको अभी एक रिस्पॉन्डर से जोड़ रहे हैं।","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 6s."
"upes-ecs/queue-paused","system","upes-ecs/queue-paused.wav","7","You are now paused, and will not receive emergency calls. Dial star four six to resume.","अब आप रोक दिए गए हैं, और आपको आपातकालीन कॉलें नहीं मिलेंगी। फिर से शुरू करने के लिए स्टार चार छह डायल करें।","System status prompt: neutral, clear, brief. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide. Very short prompt: keep spoken length under about 7s."
"upes-ecs/queue-resumed","system","upes-ecs/queue-resumed.wav","4","You are now available, and will receive emergency calls again.","अब आप उपलब्ध हैं, और आपको फिर से आपातकालीन कॉलें मिलेंगी।","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/pick-language","coach","upes-ecs/coach/pick-language.wav","8","To change the language, press 1 for English, or 2 for Hindi.","भाषा बदलने के लिए, अंग्रेज़ी के लिए एक दबाएँ, या हिंदी के लिए दो दबाएँ।","PRESS-A-KEY prompt. Keep the phone keys EXACTLY: 1, 2. Translate the word press and the language names, but never the key digit itself. Tone: calm, clear."
