"id","category","file","max_seconds","en","ka","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","თქვენ დაუკავშირდით კამპუსის საგანგებო დახმარების ხაზს. ამ წუთას თავისუფალი მორიგე არ არის, და დახმარებას უკვე ეცნობა, რომ დაგირეკოთ. დარჩით მშვიდად. ნელა ჩაისუნთქეთ. მე გაგიძღვებით, თუ რა უნდა გააკეთოთ. თუ შეგიძლიათ, ახლავე დარეკეთ თქვენს ეროვნულ საგანგებო ნომერზეც.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","ეს არის კამპუსის საგანგებო დახმარების ხაზი, სატესტო რეჟიმში. რეალური შემთხვევა არ ფიქსირდება. მე გაგიძღვებით, თუ რა უნდა გააკეთოთ საგანგებო სიტუაციაში.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","აირჩიეთ სიტუაცია. დააჭირეთ ერთს, თუ ვინმე არ სუნთქავს ან პულსი არ აქვს. დააჭირეთ ორს ძლიერი სისხლდენისთვის. დააჭირეთ სამს, თუ ვინმეს რამე გაეჩხირა. დააჭირეთ ოთხს ხანძრის ან კვამლის შემთხვევაში. დააჭირეთ ხუთს საფრთხის, თავდამსხმელის ან ლოქდაუნის შემთხვევაში. დააჭირეთ ექვსს, თუ ვინმე უგონოდაა, მაგრამ სუნთქავს. დააჭირეთ შვიდს, თუ თქვენ ხაფანგში ხართ. დააჭირეთ ცხრას, რომ ხელახლა სცადოთ მორიგესთან დაკავშირება. დააჭირეთ რვას, რომ დატოვოთ შეტყობინება. დააჭირეთ ნულს, რომ ეს არჩევანი ხელახლა მოისმინოთ.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","დააწვინეთ ადამიანი ზურგზე მაგარ ზედაპირზე და დაიჩოქეთ მის გვერდით. მოათავსეთ ერთი ხელის გული გულმკერდის ცენტრში, ხოლო მეორე ხელი ზემოდან. დააჭირეთ ძლიერად და სწრაფად, დაახლოებით ორჯერ წამში, ისე, რომ ყოველ ჯერზე გულმკერდი სრულად აიწიოს. გააგრძელეთ გაუჩერებლად. თუ ვინმე ახლოსაა, გააგზავნეთ უახლოესი დეფიბრილატორისთვის, ჩართეთ ის და მიჰყევით მის ხმოვან ინსტრუქციებს. ნუ შეჩერდებით, სანამ დახმარება არ მოვა ან ადამიანი არ გამოფხიზლდება.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","დააჭირეთ ძლიერად და პირდაპირ ჭრილობას ქსოვილით ან ხელით. ნუ მოხსნით ქსოვილს. თუ სისხლი გაჟონავს, დაამატეთ კიდევ ზემოდან და განაგრძეთ ძლიერად დაჭერა. თუ ეს ხელი ან ფეხია და სისხლდენა არ ჩერდება, მჭიდროდ შეახვიეთ მაგარი სახვევი ჭრილობის რამდენიმე სანტიმეტრით ზემოთ, ჭრილობასა და გულს შორის, და დაიმახსოვრეთ დრო. შეინარჩუნეთ ადამიანი თბილად და უძრავად.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","ჰკითხეთ, შეუძლიათ თუ არა ლაპარაკი ან ხველა. თუ ვერ სუნთქავენ, დადექით მათ უკან და ხელის გულით ხუთი ძლიერი დარტყმა მიაყენეთ ბეჭებს შორის. თუ ეს არ გამოდგება, შემოხვიეთ ხელები მათ წელს გარშემო და მიაყენეთ ხუთი სწრაფი შიგნით და ზემოთ მიმართული ბიძგი ჭიპის ზემოთ. გაიმეორეთ ზურგზე დარტყმები და ბიძგები, სანამ საგანი არ ამოვა ან დახმარება არ მოვა.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","ახლავე გამოიყვანეთ ყველა და ნუ შეჩერდებით ნივთებისთვის. დარჩით დაბლა, კვამლის ქვეშ, სადაც ჰაერი უფრო სუფთაა. ნებისმიერი კარის გაღებამდე შეეხეთ მას ხელის ზურგით. თუ ის ცხელია, იპოვეთ სხვა გამოსავალი. ნუ ისარგებლებთ ლიფტით. როგორც კი გარეთ იქნებით, დარჩით გარეთ და გადადით შეკრების ადგილზე. ნუ დაბრუნდებით შიგნით.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","თუ შეგიძლიათ უსაფრთხოდ დატოვოთ ტერიტორია, ჩუმად და სწრაფად დაშორდით საფრთხეს. თუ ვერ შეძლებთ, შედით ოთახში, ჩაკეტეთ ან გადაკეტეთ კარი და დარჩით დაბლა, ფანჯრებისა და კარებისგან მოშორებით. გამორთეთ განათება და ჩართეთ ტელეფონზე უხმო რეჟიმი. იყავით ჩუმად და თვალსაწიერიდან მოშორებით. ნუ გააღებთ კარს, სანამ დაცვა ან პოლიცია არ გეტყვით, რომ უსაფრთხოა.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","თუ ადამიანი სუნთქავს, მაგრამ გონზე არ არის, ფრთხილად გადააბრუნეთ გვერდზე. ოდნავ გადახარეთ მისი თავი უკან, რომ სასუნთქი გზა ღია დარჩეს, და ასწიეთ ნიკაპი. დარჩით მასთან და აკვირდით, რომ ისევ სუნთქავს. თუ სუნთქვა შეწყვიტა, დაიწყეთ გულმკერდის მასაჟი გულმკერდის ცენტრში.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","დარჩით რაც შეიძლება მშვიდად და უძრავად, რომ დაზოგოთ ჰაერი და ენერგია. დაიფარეთ ცხვირი და პირი ქსოვილით მტვრისგან. თანაბრად აკაკუნეთ მილზე, კედელზე ან ნებისმიერ მაგარ ზედაპირზე, რომ მაშველებმა გაგიგონონ. იყვირეთ მხოლოდ უკიდურეს შემთხვევაში, რომ არ ჩაისუნთქოთ მტვერი. ნუ აანთებთ ცეცხლს. იმოძრავეთ რაც შეიძლება ნაკლებად და დაელოდეთ, სანამ გიპოვიან.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
