"id","category","file","max_seconds","en","cy","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Rydych wedi cyrraedd llinell arweiniad argyfwng y campws. Nid oes ymatebydd ar gael ar hyn o bryd, ac mae cymorth wedi cael ei rybuddio i'ch ffonio yn ol. Arhoswch yn dawel. Cymerwch anadl araf. Byddaf yn eich arwain drwy beth i'w wneud. Os gallwch chi, ffoniwch eich rhif argyfwng cenedlaethol nawr hefyd.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Dyma linell arweiniad argyfwng y campws, mewn modd prawf. Nid oes unrhyw ddigwyddiad go iawn yn cael ei gofnodi. Byddaf yn eich arwain drwy beth i'w wneud mewn argyfwng.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Dewiswch y sefyllfa. Pwyswch un os nad yw rhywun yn anadlu neu heb byls. Pwyswch dau am waedu difrifol. Pwyswch tri am dagu. Pwyswch pedwar am dan neu fwg. Pwyswch pump am fygythiad, ymosodwr, neu gloi lawr. Pwyswch chwech os yw rhywun yn anymwybodol ond yn anadlu. Pwyswch saith os ydych wedi eich dal yn gaeth. Pwyswch naw i geisio ymatebydd eto. Pwyswch wyth i adael neges. Pwyswch sero i glywed y dewisiadau hyn eto.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Rhowch y person ar ei gefn ar arwyneb cadarn a phenliniwch wrth ei ymyl. Rhowch sawdl un llaw yng nghanol y frest, a'ch llaw arall ar ei phen. Gwthiwch i lawr yn galed ac yn gyflym, tua dwywaith bob eiliad, gan adael i'r frest godi'n llawn bob tro. Daliwch ati heb stopio. Os oes rhywun gerllaw, anfonwch nhw i nol y diffibriliwr agosaf, a'i droi ymlaen i ddilyn ei gyfarwyddiadau llafar. Peidiwch a stopio nes bod cymorth yn cyrraedd neu'r person yn deffro.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Gwasgwch yn gadarn ac yn uniongyrchol ar y clwyf gyda darn o frethyn neu'ch llaw. Peidiwch a thynnu'r brethyn i ffwrdd. Os yw'r gwaed yn socian drwyddo, ychwanegwch fwy ar ei ben a daliwch ati i wasgu'n galed. Os yw'n fraich neu'n goes ac nad yw'r gwaedu'n stopio, clymwch fand cryf yn dynn ychydig o gentimetrau uwchben y clwyf, rhwng y clwyf a'r galon, a nodwch yr amser. Cadwch y person yn gynnes ac yn llonydd.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Gofynnwch a ydyn nhw'n gallu siarad neu beswch. Os na allan nhw anadlu, safwch y tu ol iddyn nhw a rhowch bum trawiad cadarn rhwng padellau'r ysgwyddau gyda sawdl eich llaw. Os nad yw hynny'n gweithio, lapiwch eich breichiau o amgylch eu canol a rhowch bum gwthiad cyflym i mewn ac i fyny ychydig uwchben y bogail. Daliwch ati i ailadrodd y trawiadau ar y cefn a'r gwthiadau nes bod y gwrthrych yn dod allan neu gymorth yn cyrraedd.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Ewch a phawb allan nawr, a pheidiwch a stopio i nol eiddo. Arhoswch yn isel o dan y mwg, lle mae'r aer yn gliriach. Cyn agor unrhyw ddrws, teimlwch ef a chefn eich llaw. Os yw'n boeth, dewch o hyd i ffordd arall allan. Peidiwch a defnyddio'r lifftiau. Ar ol i chi fynd allan, arhoswch y tu allan, a symudwch i'r man ymgynnull. Peidiwch a mynd yn ol i mewn.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Os gallwch adael yr ardal yn ddiogel, symudwch i ffwrdd o'r perygl yn dawel ac yn gyflym. Os na allwch, ewch i mewn i ystafell, cloiwch neu rwystrwch y drws, ac arhoswch yn isel, i ffwrdd o ffenestri a drysau. Diffoddwch y goleuadau a rhowch eich ffon ar dawel. Byddwch yn dawel ac o'r golwg. Peidiwch ag agor y drws nes bod diogelwch neu'r heddlu yn dweud wrthych ei bod yn ddiogel.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Os yw'r person yn anadlu ond heb fod yn effro, rholiwch nhw'n dyner ar eu hochr. Gogwyddwch eu pen yn ol ychydig i gadw'r llwybr anadlu ar agor, a chodwch eu gen. Arhoswch gyda nhw a daliwch ati i wylio eu bod yn dal i anadlu. Os ydyn nhw'n stopio anadlu, dechreuwch gywasgu'r frest yng nghanol y frest.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Arhoswch mor dawel ac mor llonydd ag y gallwch, i arbed aer ac egni. Gorchuddiwch eich trwyn a'ch ceg a brethyn rhag llwch. Tapiwch yn gyson ar bibell, wal, neu unrhyw arwyneb caled, fel y gall achubwyr eich clywed. Gwaeddwch ond fel dewis olaf, er mwyn osgoi anadlu llwch. Peidiwch a chynnau unrhyw fflam. Symudwch cyn lleied a phosibl ac arhoswch i gael eich darganfod.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
