"id","category","file","max_seconds","en","sl","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Poklicali ste kampusno linijo za nujno pomoč in navodila. Ta trenutek ni na voljo nobenega reševalca, pomoč pa je bila obveščena, da vas pokliče nazaj. Ostanite mirni. Počasi vdihnite. Vodil vas bom skozi to, kaj morate storiti. Če zmorete, zdaj pokličite tudi svojo nacionalno številko za nujne primere.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","To je kampusna linija za nujno pomoč in navodila, v testnem načinu. Noben resnični dogodek se ne beleži. Vodil vas bom skozi to, kaj storiti v nujnem primeru.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Izberite situacijo. Pritisnite ena, če nekdo ne diha ali nima pulza. Pritisnite dve za hudo krvavitev. Pritisnite tri za zadušitev. Pritisnite štiri za ogenj ali dim. Pritisnite pet za grožnjo, napadalca ali zaklep. Pritisnite šest, če je nekdo nezavesten, a diha. Pritisnite sedem, če ste ujeti. Pritisnite devet za ponovni poskus klica reševalca. Pritisnite osem, da pustite sporočilo. Pritisnite nič, da znova slišite te možnosti.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Položite osebo na hrbet na trdno podlago in pokleknite ob njej. Peto ene dlani položite na sredino prsnega koša, drugo dlan pa na vrh. Pritiskajte močno in hitro, približno dvakrat na sekundo, in vsakič pustite, da se prsni koš popolnoma dvigne. Nadaljujte brez ustavljanja. Če je kdo v bližini, ga pošljite po najbližji defibrilator in ga vklopite ter sledite njegovim govornim navodilom. Ne prenehajte, dokler ne pride pomoč ali se oseba ne zbudi.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Trdno in neposredno pritiskajte na rano s krpo ali z roko. Krpe ne odstranjujte. Če kri premoči skoznjo, dodajte še eno na vrh in močno pritiskajte naprej. Če gre za roko ali nogo in krvavitev ne preneha, nekaj centimetrov nad rano, med rano in srcem, tesno privežite močan trak in si zapišite čas. Osebo ohranjajte toplo in pri miru.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Vprašajte, ali lahko govorijo ali kašljajo. Če ne morejo dihati, stopite za njih in jim s peto dlani zadajte pet trdnih udarcev med lopatici. Če to ne pomaga, jih objemite okoli pasu in petkrat hitro potisnite navznoter in navzgor, tik nad popkom. Ponavljajte udarce po hrbtu in potiske, dokler predmet ne pride ven ali ne pride pomoč.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Vse takoj spravite ven in se ne ustavljajte zaradi stvari. Ostanite nizko pod dimom, kjer je zrak čistejši. Preden odprete katera koli vrata, jih potipajte s hrbtno stranjo dlani. Če so vroča, poiščite drugo pot ven. Ne uporabljajte dvigal. Ko ste zunaj, ostanite zunaj in pojdite na zbirno mesto. Ne vračajte se noter.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Če lahko območje varno zapustite, se tiho in hitro umaknite od nevarnosti. Če ne morete, pojdite v sobo, zaklenite ali zabarikadirajte vrata in ostanite nizko, stran od oken in vrat. Ugasnite luči in telefon nastavite na tiho. Bodite tiho in izven pogleda. Vrat ne odpirajte, dokler vam varnostna služba ali policija ne sporoči, da je varno.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Če oseba diha, a ni pri zavesti, jo nežno obrnite na bok. Glavo ji rahlo nagnite nazaj, da ostane dihalna pot odprta, in ji dvignite brado. Ostanite pri njej in nadzorujte, ali še diha. Če preneha dihati, začnite s stiskanjem na sredini prsnega koša.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Ostanite čim bolj mirni in pri miru, da varčujete z zrakom in energijo. Nos in usta si pokrijte s krpo pred prahom. Enakomerno trkajte po cevi, steni ali kateri koli trdi površini, da vas reševalci lahko slišijo. Kričite le v skrajni sili, da ne vdihavate prahu. Ne prižigajte nobenega plamena. Premikajte se čim manj in počakajte, da vas najdejo.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","Zdaj poskušam priklicati reševalca. Prosim, ostanite na liniji in počakajte.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","Noben reševalec še ni na voljo. Ostal bom z vami. Vračam se k navodilom.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","Oprostite, tega nisem razumel.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","Nisem slišal izbire.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","Zdaj vam bom omogočil, da pustite sporočilo za odzivno ekipo. Po pisku povejte, kje ste in kaj se dogaja.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","Navodila za prvo pomoč. Reševalec je še vedno obveščen in se bo pridružil, če bo mogel. Ostanite z mano.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","Poklicali ste kampusno linijo za nujne primere. Vaš klic se snema, pomoč pa se že obvešča. Ostanite na liniji. Če kdo zdaj potrebuje prvo pomoč, kadar koli pritisnite ena in vodil vas bom.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","Še vedno vas povezujem z reševalcem. Če zdaj potrebujete prvo pomoč, pritisnite ena za navodila po korakih.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","Nujno opozorilo. Na kampusni liniji za nujne primere je aktiven klic in noben reševalec se ni javil. Prosim, da ste zdaj na voljo. Pritisnite ena, da se pridružite čakalni vrsti za nujne primere.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","Zdaj ste v izmeni. Prejemali boste kampusne klice za nujne primere, dokler izmene ne zaključite z vrtenjem zvezdica dve tri.","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","Zdaj ste zunaj izmene. Kampusnih klicev za nujne primere ne boste več prejemali.","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Pozor. To je storitev za nujna opozorila UPES. Takoj evakuirajte zgradbo. Nemudoma odidite skozi najbližji varni izhod. Ne uporabljajte dvigal. Pojdite na svoje zbirno mesto in počakajte na nadaljnja navodila.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","Pozor. To je storitev za nujna opozorila UPES. Takoj se zatecite na varno tam, kjer ste. Pojdite v zaprt prostor, zaklenite ali zabarikadirajte vrata, ostanite stran od oken in bodite tiho, dokler vam ne sporočijo, da je varno. Počakajte na nadaljnja navodila.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Pozor. To je storitev za nujna opozorila UPES. Nujni primer je zdaj končan. Varno je nadaljevati z običajnimi dejavnostmi. Hvala za sodelovanje.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Pozor. To je storitev za nujna opozorila UPES. Zdaj pojdite na svoje določeno zbirno mesto. Mirno se premikajte, pomagajte drugim, kjer lahko, in počakajte, da vas preštejejo. Počakajte na nadaljnja navodila.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","Pozor. To je storitev za nujna opozorila UPES. To je varnostno preštevanje. Če ste na varnem in se lahko odzovete, zdaj pritisnite ena.","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","To je preizkus storitve za nujna opozorila UPES. To je samo preizkus. Nobeno ukrepanje ni potrebno in nobena nujna pomoč ne bo poslana.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","Pritisnite ena, če ste na varnem.","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","Hvala. Označeni ste kot varni. Zdaj lahko odložite.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","Noben odziv ni bil zabeležen. Prosim, čim prej se obrnite na svojega nadzornika.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Pozor. To je storitev za nujna opozorila UPES. Takoj evakuirajte zgradbo. Nemudoma odidite skozi najbližji varni izhod. Ne uporabljajte dvigal. Pojdite na svoje zbirno mesto in počakajte na nadaljnja navodila.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","Pozor. To je storitev za nujna opozorila UPES. Na kampusu je prišlo do incidenta. Ostanite stran od prizadetega območja, ne približujte se in upoštevajte navodila varnostnega osebja. Počakajte na nadaljnja navodila.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Pozor. To je storitev za nujna opozorila UPES. Nujni primer je zdaj končan. Varno je nadaljevati z običajnimi dejavnostmi. Hvala za sodelovanje.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
