"id","category","file","max_seconds","en","cs","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Dovolali jste se na linku nouzového vedení kampusu. V tuto chvíli není žádný záchranář volný a pomoc byla upozorněna, aby vám zavolala zpět. Zůstaňte klidní. Pomalu se nadechněte. Provedu vás tím, co máte dělat. Pokud můžete, zavolejte nyní také na své národní číslo tísňového volání.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Toto je linka nouzového vedení kampusu v testovacím režimu. Není zaznamenávána žádná skutečná událost. Provedu vás tím, co dělat v nouzové situaci.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Vyberte situaci. Stiskněte jedna, pokud někdo nedýchá nebo nemá puls. Stiskněte dvě při silném krvácení. Stiskněte tři při dušení. Stiskněte čtyři při požáru nebo kouři. Stiskněte pět při hrozbě, útočníkovi nebo uzamčení. Stiskněte šest, pokud je někdo v bezvědomí, ale dýchá. Stiskněte sedm, pokud jste uvězněni. Stiskněte devět pro nový pokus o spojení se záchranářem. Stiskněte osm, chcete-li zanechat zprávu. Stiskněte nula pro opětovné vyslechnutí těchto možností.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Položte osobu na záda na pevnou podložku a klekněte si vedle ní. Položte hranu dlaně jedné ruky do středu hrudníku a druhou ruku navrch. Tlačte silně a rychle, přibližně dvakrát za sekundu, a pokaždé nechte hrudník úplně povolit. Pokračujte bez přestání. Pokud je někdo poblíž, pošlete ho pro nejbližší defibrilátor, zapněte jej a řiďte se jeho hlasovými pokyny. Nepřestávejte, dokud nedorazí pomoc nebo se osoba neprobere.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Přitlačte pevně a přímo na ránu látkou nebo rukou. Látku neodstraňujte. Pokud krev prosákne, přidejte další navrch a dál silně tlačte. Pokud jde o paži nebo nohu a krvácení se nezastaví, pevně utáhněte silný pruh látky několik centimetrů nad ranou, mezi ranou a srdcem, a zapište si čas. Udržujte osobu v teple a v klidu.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Zeptejte se, zda mohou mluvit nebo kašlat. Pokud nemohou dýchat, postavte se za ně a udeřte je pětkrát pevně mezi lopatky hranou dlaně. Pokud to nepomůže, obejměte je pažemi kolem pasu a proveďte pět rychlých stlačení směrem dovnitř a nahoru těsně nad pupkem. Opakujte údery do zad a stlačení, dokud předmět nevyjde ven nebo nedorazí pomoc.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Dostaňte všechny okamžitě ven a nezdržujte se kvůli věcem. Zůstaňte nízko pod kouřem, kde je vzduch čistší. Než otevřete jakékoli dveře, ohmatejte je hřbetem ruky. Pokud jsou horké, najděte jinou cestu ven. Nepoužívejte výtahy. Jakmile jste venku, zůstaňte venku a přesuňte se na shromaždiště. Nevracejte se dovnitř.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Pokud můžete oblast bezpečně opustit, vzdalte se od nebezpečí tiše a rychle. Pokud nemůžete, přejděte do místnosti, zamkněte nebo zabarikádujte dveře a zůstaňte nízko, dál od oken a dveří. Zhasněte světla a přepněte telefon do tichého režimu. Buďte potichu a mimo dohled. Neotvírejte dveře, dokud vám ostraha nebo policie neřekne, že je bezpečno.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Pokud osoba dýchá, ale není při vědomí, jemně ji přetočte na bok. Mírně jí zakloňte hlavu, aby zůstaly dýchací cesty volné, a zvedněte bradu. Zůstaňte u ní a dál sledujte, zda stále dýchá. Pokud přestane dýchat, začněte stlačovat hrudník v jeho středu.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Zůstaňte co nejklidnější a co nejvíce v klidu, abyste šetřili vzduch a energii. Zakryjte si nos a ústa látkou proti prachu. Pravidelně klepejte na potrubí, stěnu nebo jakýkoli tvrdý povrch, aby vás záchranáři slyšeli. Křičte jen jako poslední možnost, abyste nevdechovali prach. Nezapalujte žádný oheň. Hýbejte se co nejméně a čekejte, až vás najdou.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","Nyní se snažím spojit se záchranářem. Zůstaňte prosím na lince a vyčkejte.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","Zatím není žádný záchranář volný. Zůstanu s vámi. Vracíme se k vedení.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","Omlouvám se, tomu jsem nerozuměl.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","Neslyšel jsem žádnou volbu.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","Nyní vám umožním zanechat zprávu pro zásahový tým. Po zaznění tónu řekněte, kde jste a co se děje.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","Pokyny pro první pomoc. Záchranář je stále upozorňován a připojí se, pokud bude moci. Zůstaňte se mnou.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","Dovolali jste se na nouzovou linku kampusu. Váš hovor je nahráván a pomoc je nyní přivolávána. Zůstaňte na lince. Pokud někdo právě teď potřebuje první pomoc, kdykoli stiskněte jedna a já vás povedu.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","Stále vás spojujeme se záchranářem. Pokud nyní potřebujete první pomoc, stiskněte jedna pro podrobné pokyny krok za krokem.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","Nouzové upozornění. Na nouzové lince kampusu je aktivní hovor a žádný záchranář neodpověděl. Buďte prosím nyní k dispozici. Stiskněte jedna pro připojení do nouzové fronty.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","Nyní jste ve službě. Budete přijímat nouzové hovory z kampusu, dokud službu neukončíte vytočením hvězdička dva tři.","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","Nyní jste mimo službu. Nouzové hovory z kampusu již nebudete přijímat.","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Pozor. Toto je Nouzová výstražná služba UPES. Okamžitě opusťte budovu. Odejděte ihned nejbližším bezpečným východem. Nepoužívejte výtahy. Přesuňte se na své shromaždiště a vyčkejte dalších pokynů.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","Pozor. Toto je Nouzová výstražná služba UPES. Ihned se ukryjte na místě. Přejděte dovnitř, zamkněte nebo zabarikádujte dveře, zůstaňte dál od oken a buďte potichu, dokud vám nebude řečeno, že je bezpečno. Vyčkejte dalších pokynů.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Pozor. Toto je Nouzová výstražná služba UPES. Nouzová situace nyní skončila. Je bezpečné obnovit běžnou činnost. Děkujeme za spolupráci.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Pozor. Toto je Nouzová výstražná služba UPES. Ihned se přesuňte na určené shromaždiště. Jděte klidně, pomozte ostatním, kde můžete, a vyčkejte na sečtení. Vyčkejte dalších pokynů.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","Pozor. Toto je Nouzová výstražná služba UPES. Toto je bezpečnostní sčítání osob. Pokud jste v bezpečí a schopni odpovědět, stiskněte nyní jedna.","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","Toto je test Nouzové výstražné služby UPES. Toto je pouze test. Není vyžadována žádná akce a nebude vyslána žádná nouzová reakce.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
