"id","category","file","max_seconds","en","ar","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","لقد وصلت إلى خط الإرشاد للطوارئ في الحرم الجامعي. لا يوجد مستجيب متاح في هذه اللحظة، وقد تم تنبيه فريق المساعدة ليعاود الاتصال بك. ابقَ هادئًا. خذ نفسًا بطيئًا. سأرشدك إلى ما يجب فعله. إن كنت قادرًا، فاتصل الآن أيضًا برقم الطوارئ الوطني.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","هذا هو خط الإرشاد للطوارئ في الحرم الجامعي، في وضع الاختبار. لا يتم تسجيل أي حادثة حقيقية. سأرشدك إلى ما يجب فعله في حالة الطوارئ.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","اختر الحالة. اضغط واحد إذا كان شخص لا يتنفس أو ليس له نبض. اضغط اثنان لنزيف شديد. اضغط ثلاثة للاختناق. اضغط أربعة لحريق أو دخان. اضغط خمسة لتهديد أو مهاجم أو إغلاق أمني. اضغط ستة إذا كان شخص فاقدًا للوعي لكنه يتنفس. اضغط سبعة إذا كنت محاصرًا. اضغط تسعة لمحاولة الوصول إلى مستجيب مرة أخرى. اضغط ثمانية لترك رسالة. اضغط صفر لسماع هذه الخيارات مرة أخرى.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","ضع الشخص على ظهره على سطح صلب واركع بجانبه. ضع كعب إحدى يديك في منتصف الصدر، ويدك الأخرى فوقها. اضغط للأسفل بقوة وسرعة، نحو مرتين في كل ثانية، واترك الصدر يرتفع بالكامل في كل مرة. استمر دون توقف. إن كان أحد قريبًا، فأرسله لإحضار أقرب جهاز إزالة رجفان، وشغّله لتتبع تعليماته المنطوقة. لا تتوقف حتى تصل المساعدة أو يستيقظ الشخص.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","اضغط بقوة ومباشرة على الجرح بقطعة قماش أو بيدك. لا تُزل القماش. إذا تشرّب الدم من خلاله، فأضف المزيد فوقه واستمر في الضغط بقوة. إن كان في ذراع أو ساق ولم يتوقف النزيف، فاربط رباطًا قويًا بإحكام على بُعد بضعة سنتيمترات فوق الجرح، بين الجرح والقلب، وسجّل الوقت. أبقِ الشخص دافئًا وساكنًا.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","اسأل إن كان بإمكانه الكلام أو السعال. إذا كان لا يستطيع التنفس، فقف خلفه واضربه خمس ضربات قوية بين لوحي الكتف بكعب يدك. إن لم ينفع ذلك، فلُف ذراعيك حول خصره وادفع خمس دفعات سريعة إلى الداخل والأعلى فوق السرّة مباشرة. كرّر الضربات على الظهر والدفعات حتى يخرج الجسم أو تصل المساعدة.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","أخرِج الجميع الآن، ولا تتوقف من أجل المتعلقات. ابقَ منخفضًا تحت الدخان، حيث يكون الهواء أنقى. قبل فتح أي باب، تحسّسه بظهر يدك. إن كان ساخنًا، فابحث عن مخرج آخر. لا تستخدم المصاعد. بمجرد أن تصبح في الخارج، ابقَ في الخارج، وتوجّه إلى نقطة التجمع. لا تعُد إلى الداخل.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","إذا كان بإمكانك مغادرة المنطقة بأمان، فابتعد عن الخطر بهدوء وسرعة. إن لم تستطع، فادخل غرفة، واقفل الباب أو سُدّه، وابقَ منخفضًا بعيدًا عن النوافذ والأبواب. أطفئ الأضواء واجعل هاتفك صامتًا. ابقَ هادئًا وبعيدًا عن الأنظار. لا تفتح الباب حتى يخبرك الأمن أو الشرطة أن الوضع آمن.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","إذا كان الشخص يتنفس لكنه غير مستيقظ، فأدره برفق على جانبه. أمِل رأسه إلى الخلف قليلًا لإبقاء مجرى الهواء مفتوحًا، وارفع ذقنه. ابقَ معه واستمر في مراقبة أنه ما زال يتنفس. إذا توقف عن التنفس، فابدأ بالضغط على منتصف الصدر.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","ابقَ هادئًا وساكنًا قدر استطاعتك، لتوفير الهواء والطاقة. غطِّ أنفك وفمك بقطعة قماش لاتقاء الغبار. اطرق بثبات على أنبوب أو جدار أو أي سطح صلب، ليتمكن المنقذون من سماعك. لا تصرخ إلا كملاذ أخير، لتجنب استنشاق الغبار. لا تُشعل أي لهب. تحرّك بأقل قدر ممكن وانتظر أن يُعثر عليك.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","أحاول الوصول إلى مستجيب الآن. من فضلك ابقَ على الخط وانتظر.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","لا يوجد مستجيب متاح بعد. سأبقى معك. نعود إلى الإرشاد.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","عذرًا، لم أفهم ذلك.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
