"id","category","file","max_seconds","en","nl","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","U hebt de noodhulplijn van de campus bereikt. Op dit moment is er geen hulpverlener vrij, en er is alarm geslagen zodat men u terugbelt. Blijf kalm. Haal langzaam adem. Ik begeleid u bij wat u moet doen. Als u kunt, bel dan nu ook uw nationale noodnummer.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Dit is de noodhulplijn van de campus, in testmodus. Er wordt geen echt incident geregistreerd. Ik begeleid u bij wat u in een noodgeval moet doen.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Kies de situatie. Druk op een als iemand niet ademt of geen hartslag heeft. Druk op twee bij hevige bloeding. Druk op drie bij verstikking. Druk op vier bij brand of rook. Druk op vijf bij een dreiging, een aanvaller of een lockdown. Druk op zes als iemand bewusteloos is maar wel ademt. Druk op zeven als u vastzit. Druk op negen om opnieuw een hulpverlener te proberen. Druk op acht om een bericht achter te laten. Druk op nul om deze keuzes opnieuw te horen.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Leg de persoon op de rug op een stevige ondergrond en kniel ernaast. Plaats de hiel van een hand op het midden van de borstkas, en uw andere hand daarbovenop. Duw hard en snel naar beneden, ongeveer twee keer per seconde, en laat de borstkas elke keer volledig omhoogkomen. Ga door zonder te stoppen. Als er iemand in de buurt is, stuur die dan om de dichtstbijzijnde defibrillator te halen, zet die aan en volg de gesproken instructies. Stop niet totdat er hulp aankomt of de persoon wakker wordt.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Druk stevig en rechtstreeks op de wond met een doek of uw hand. Verwijder de doek niet. Als er bloed doorheen komt, leg er dan meer bovenop en blijf hard drukken. Als het een arm of een been is en de bloeding stopt niet, bind dan een stevige band strak vast een paar centimeter boven de wond, tussen de wond en het hart, en noteer de tijd. Houd de persoon warm en stil.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Vraag of ze kunnen spreken of hoesten. Als ze niet kunnen ademen, ga dan achter hen staan en geef vijf stevige slagen tussen de schouderbladen met de hiel van uw hand. Als dat niet werkt, sla dan uw armen om hun middel en geef vijf snelle stoten naar binnen en naar boven, net boven de navel. Blijf de rugslagen en de stoten herhalen totdat het voorwerp eruit komt of er hulp aankomt.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Breng nu iedereen naar buiten, en stop niet voor spullen. Blijf laag onder de rook, waar de lucht schoner is. Voel voordat u een deur opent aan de deur met de rug van uw hand. Als die warm is, zoek dan een andere uitweg. Gebruik de liften niet. Als u eenmaal buiten bent, blijf dan buiten en ga naar het verzamelpunt. Ga niet terug naar binnen.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Als u het gebied veilig kunt verlaten, ga dan stil en snel weg van het gevaar. Als dat niet lukt, ga dan een ruimte in, vergrendel of blokkeer de deur, en blijf laag, weg van ramen en deuren. Doe de lichten uit en zet uw telefoon op stil. Blijf stil en uit het zicht. Open de deur niet totdat de beveiliging of de politie zegt dat het veilig is.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Als de persoon ademt maar niet wakker is, draai hem dan voorzichtig op zijn zij. Kantel het hoofd iets naar achteren om de luchtweg open te houden, en til de kin op. Blijf bij hem en blijf controleren of hij nog ademt. Als hij stopt met ademen, begin dan met borstcompressies op het midden van de borstkas.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Blijf zo kalm en stil mogelijk, om lucht en energie te sparen. Bedek uw neus en mond met een doek tegen het stof. Tik gestaag op een leiding, een muur of een hard oppervlak, zodat redders u kunnen horen. Roep alleen als laatste redmiddel, om te voorkomen dat u stof inademt. Steek geen vlam aan. Beweeg zo weinig mogelijk en wacht tot u gevonden wordt.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
