"id","category","file","max_seconds","en","da","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Du har ringet til campus' nødhjælpslinje for vejledning. Ingen indsatsperson er ledig i dette øjeblik, og hjælpen er blevet varslet om at ringe dig op igen. Bevar roen. Tag en langsom vejrtrækning. Jeg vil vejlede dig gennem, hvad du skal gøre. Hvis du kan, så ring også til dit nationale alarmnummer nu.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Dette er campus' nødhjælpslinje for vejledning, i testtilstand. Ingen reel hændelse bliver registreret. Jeg vil vejlede dig gennem, hvad du skal gøre i en nødsituation.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Vælg situationen. Tryk 1, hvis nogen ikke trækker vejret eller ikke har nogen puls. Tryk 2 for kraftig blødning. Tryk 3 for kvælning. Tryk 4 for brand eller røg. Tryk 5 for en trussel, en angriber eller nedlukning. Tryk 6, hvis nogen er bevidstløs, men trækker vejret. Tryk 7, hvis du er fanget. Tryk 9 for at forsøge at nå en indsatsperson igen. Tryk 8 for at lægge en besked. Tryk 0 for at høre disse valg igen.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Læg personen om på ryggen på et fast underlag, og knæl ved siden af dem. Placer håndroden af den ene hånd midt på brystet, og din anden hånd ovenpå. Tryk hårdt og hurtigt ned, cirka to gange i sekundet, og lad brystet hæve sig helt hver gang. Fortsæt uden at stoppe. Hvis nogen er i nærheden, så send dem efter den nærmeste hjertestarter, og tænd den for at følge dens talte instruktioner. Stop ikke, før hjælpen ankommer, eller personen vågner.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Tryk fast og direkte på såret med et stykke stof eller din hånd. Fjern ikke stoffet. Hvis blodet trænger igennem, så læg mere ovenpå og bliv ved med at trykke hårdt. Hvis det er en arm eller et ben, og blødningen ikke vil stoppe, så bind et stærkt bånd stramt et par centimeter over såret, mellem såret og hjertet, og notér tidspunktet. Hold personen varm og i ro.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Spørg, om de kan tale eller hoste. Hvis de ikke kan trække vejret, så stil dig bag dem og giv fem faste slag mellem skulderbladene med håndroden. Hvis det ikke virker, så læg dine arme om deres talje og giv fem hurtige stød indad og opad lige over navlen. Bliv ved med at gentage rygslagene og stødene, indtil genstanden kommer ud, eller hjælpen ankommer.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Få alle ud nu, og stands ikke for at hente ejendele. Hold dig lavt under røgen, hvor luften er renere. Før du åbner en dør, så føl på den med bagsiden af din hånd. Hvis den er varm, så find en anden vej ud. Brug ikke elevatorerne. Når du er udenfor, så bliv udenfor, og gå til opsamlingsstedet. Gå ikke ind igen.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Hvis du kan forlade området sikkert, så bevæg dig væk fra faren stille og hurtigt. Hvis du ikke kan, så gå ind i et rum, lås eller bloker døren, og hold dig lavt, væk fra vinduer og døre. Sluk lyset og sæt din telefon på lydløs. Vær stille og ude af syne. Åbn ikke døren, før sikkerhedsvagten eller politiet fortæller dig, at der er sikkert.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Hvis personen trækker vejret, men ikke er ved bevidsthed, så rul dem forsigtigt om på siden. Bøj deres hoved lidt bagud for at holde luftvejen åben, og løft deres hage. Bliv hos dem og hold øje med, at de stadig trækker vejret. Hvis de holder op med at trække vejret, så begynd hjertemassage midt på brystet.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Hold dig så rolig og stille som du kan for at spare på luft og energi. Dæk næse og mund med stof mod støv. Bank jævnt på et rør, en væg eller en anden hård overflade, så redningsfolk kan høre dig. Råb kun som en sidste udvej for at undgå at indånde støv. Tænd ingen flamme. Bevæg dig så lidt som muligt og vent på at blive fundet.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
