"id","category","file","max_seconds","en","te","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","మీరు క్యాంపస్ అత్యవసర మార్గదర్శక లైన్‌కు చేరుకున్నారు. ప్రస్తుతం ఏ రెస్పాండర్ ఖాళీగా లేరు, మిమ్మల్ని తిరిగి పిలవడానికి సహాయానికి సమాచారం అందించబడింది. ప్రశాంతంగా ఉండండి. నెమ్మదిగా ఊపిరి తీసుకోండి. ఏమి చేయాలో నేను మీకు మార్గనిర్దేశం చేస్తాను. వీలైతే, ఇప్పుడే మీ జాతీయ అత్యవసర నంబర్‌కు కూడా కాల్ చేయండి.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","ఇది క్యాంపస్ అత్యవసర మార్గదర్శక లైన్, పరీక్ష మోడ్‌లో ఉంది. ఏ నిజమైన సంఘటన నమోదు చేయబడటం లేదు. అత్యవసర పరిస్థితిలో ఏమి చేయాలో నేను మీకు మార్గనిర్దేశం చేస్తాను.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","పరిస్థితిని ఎంచుకోండి. ఎవరైనా ఊపిరి తీసుకోకపోతే లేదా నాడి లేకపోతే, ఒకటి నొక్కండి. తీవ్రమైన రక్తస్రావం కోసం రెండు నొక్కండి. గొంతులో ఏదైనా అడ్డుపడితే మూడు నొక్కండి. మంట లేదా పొగ కోసం నాలుగు నొక్కండి. ముప్పు, దాడి చేసేవారు, లేదా లాక్‌డౌన్ కోసం ఐదు నొక్కండి. ఎవరైనా అపస్మారక స్థితిలో ఉన్నా ఊపిరి తీసుకుంటుంటే ఆరు నొక్కండి. మీరు చిక్కుకుపోతే ఏడు నొక్కండి. రెస్పాండర్‌ను మళ్లీ ప్రయత్నించడానికి తొమ్మిది నొక్కండి. సందేశం ఇవ్వడానికి ఎనిమిది నొక్కండి. ఈ ఎంపికలను మళ్లీ వినడానికి సున్నా నొక్కండి.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","వ్యక్తిని గట్టి ఉపరితలంపై వెల్లకిలా పడుకోబెట్టి, వారి పక్కన మోకాళ్లపై కూర్చోండి. ఒక చేతి మడమను ఛాతీ మధ్యలో ఉంచి, మరో చేతిని దానిపై ఉంచండి. గట్టిగా, వేగంగా నొక్కండి, ప్రతి సెకనుకు దాదాపు రెండుసార్లు, ప్రతిసారి ఛాతీ పూర్తిగా పైకి లేచేలా చూడండి. ఆగకుండా కొనసాగించండి. దగ్గర ఎవరైనా ఉంటే, దగ్గరలోని డిఫిబ్రిలేటర్ కోసం వారిని పంపండి, దాన్ని ఆన్ చేసి అది చెప్పే సూచనలను పాటించండి. సహాయం వచ్చే వరకు లేదా వ్యక్తి మేల్కొనే వరకు ఆగకండి.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","గాయంపై ఒక గుడ్డతో లేదా మీ చేతితో నేరుగా, గట్టిగా నొక్కండి. గుడ్డను తీయకండి. రక్తం ఇంకిపోతే, పైన మరింత గుడ్డ వేసి గట్టిగా నొక్కుతూ ఉండండి. అది చేయి లేదా కాలు అయితే రక్తస్రావం ఆగకపోతే, గాయానికి కొన్ని సెంటీమీటర్ల పైన, గాయానికి, గుండెకు మధ్య, ఒక గట్టి పట్టీని బిగుతుగా కట్టి, సమయాన్ని గుర్తుంచుకోండి. వ్యక్తిని వెచ్చగా, కదలకుండా ఉంచండి.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","వారు మాట్లాడగలరా లేదా దగ్గగలరా అని అడగండి. వారు ఊపిరి తీసుకోలేకపోతే, వారి వెనుక నిలబడి మీ చేతి మడమతో భుజాల మధ్య వీపుపై ఐదు గట్టి దెబ్బలు కొట్టండి. అది పని చేయకపోతే, మీ చేతులను వారి నడుము చుట్టూ చుట్టి, బొడ్డుకు కొంచెం పైన ఐదుసార్లు వేగంగా లోపలికి, పైకి తోయండి. వస్తువు బయటకు వచ్చే వరకు లేదా సహాయం వచ్చే వరకు వీపు దెబ్బలు, తోపులు పునరావృతం చేస్తూ ఉండండి.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","ఇప్పుడే అందరినీ బయటకు తీసుకురండి, వస్తువుల కోసం ఆగకండి. పొగ కింద వంగి ఉండండి, అక్కడ గాలి స్వచ్ఛంగా ఉంటుంది. ఏ తలుపునైనా తెరవడానికి ముందు, మీ చేతి వెనుక భాగంతో దాన్ని తాకి చూడండి. అది వేడిగా ఉంటే, బయటకు వెళ్లడానికి మరో దారి వెతకండి. లిఫ్ట్‌లను ఉపయోగించకండి. బయటకు వచ్చిన తర్వాత బయటే ఉండండి, సమావేశ స్థలానికి వెళ్లండి. తిరిగి లోపలికి వెళ్లకండి.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","మీరు ఆ ప్రాంతాన్ని సురక్షితంగా వదిలి వెళ్లగలిగితే, నిశ్శబ్దంగా, వేగంగా ప్రమాదం నుండి దూరంగా వెళ్లండి. వెళ్లలేకపోతే, ఒక గదిలోకి వెళ్లి, తలుపు లాక్ చేయండి లేదా అడ్డుకోండి, కిటికీలు, తలుపులకు దూరంగా వంగి ఉండండి. లైట్లు ఆర్పండి, మీ ఫోన్‌ను సైలెంట్‌లో ఉంచండి. నిశ్శబ్దంగా, కనిపించకుండా ఉండండి. సురక్షితమని భద్రతా సిబ్బంది లేదా పోలీసులు చెప్పే వరకు తలుపు తెరవకండి.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","వ్యక్తి ఊపిరి తీసుకుంటున్నా మెలకువగా లేకపోతే, వారిని మెల్లగా వారి పక్కకు తిప్పండి. శ్వాస మార్గం తెరిచి ఉంచడానికి వారి తలను కొంచెం వెనక్కి వంచి, గడ్డాన్ని పైకి ఎత్తండి. వారితో ఉండి, వారు ఇంకా ఊపిరి తీసుకుంటున్నారని గమనిస్తూ ఉండండి. వారు ఊపిరి ఆపేస్తే, ఛాతీ మధ్యలో నొక్కడం ప్రారంభించండి.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","గాలి, శక్తిని ఆదా చేయడానికి వీలైనంత ప్రశాంతంగా, కదలకుండా ఉండండి. దుమ్ము నుండి మీ ముక్కు, నోటిని గుడ్డతో కప్పండి. రక్షకులు మీ శబ్దం వినేలా, ఒక పైపు, గోడ, లేదా ఏదైనా గట్టి ఉపరితలంపై స్థిరంగా తట్టండి. దుమ్ము పీల్చకుండా ఉండటానికి, చివరి ప్రయత్నంగా మాత్రమే అరవండి. ఏ మంటనూ వెలిగించకండి. వీలైనంత తక్కువగా కదిలి, మిమ్మల్ని కనుగొనే వరకు వేచి ఉండండి.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
