"id","category","file","max_seconds","en","uk","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Ви зателефонували на кампусну лінію екстреного супроводу. Наразі жоден рятувальник не вільний, і допомогу вже сповіщено, щоб вам передзвонили. Зберігайте спокій. Повільно вдихніть. Я підкажу вам, що робити. Якщо можете, зателефонуйте також зараз на національний номер екстреної допомоги.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Це кампусна лінія екстреного супроводу в тестовому режимі. Жодна реальна подія не реєструється. Я підкажу вам, що робити в надзвичайній ситуації.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Оберіть ситуацію. Натисніть один, якщо хтось не дихає або не має пульсу. Натисніть два при сильній кровотечі. Натисніть три при задусі. Натисніть чотири при пожежі або димі. Натисніть п'ять при загрозі, нападнику або блокуванні. Натисніть шість, якщо хтось непритомний, але дихає. Натисніть сім, якщо ви в пастці. Натисніть дев'ять, щоб знову спробувати зв'язатися з рятувальником. Натисніть вісім, щоб залишити повідомлення. Натисніть нуль, щоб знову почути ці варіанти.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Покладіть людину на спину на тверду поверхню і станьте на коліна поруч. Покладіть основу однієї долоні на центр грудної клітки, а другу руку зверху. Натискайте сильно і швидко, приблизно двічі на секунду, щоразу даючи грудній клітці повністю піднятися. Продовжуйте без зупинки. Якщо хтось поруч, відправте його по найближчий дефібрилятор, увімкніть його і виконуйте голосові інструкції. Не зупиняйтеся, доки не прибуде допомога або людина не отямиться.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Притисніть тканину або руку міцно і прямо до рани. Не знімайте тканину. Якщо кров просочується, додайте зверху ще і продовжуйте сильно притискати. Якщо це рука або нога і кровотеча не зупиняється, туго перев'яжіть міцною смугою на кілька сантиметрів вище рани, між раною і серцем, і запишіть час. Тримайте людину в теплі й нерухомо.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Запитайте, чи може вона говорити або кашляти. Якщо вона не може дихати, стійте позаду і завдайте п'ять сильних ударів основою долоні між лопатками. Якщо це не допомагає, обхопіть руками її талію і зробіть п'ять швидких поштовхів усередину і вгору трохи вище пупка. Продовжуйте чергувати удари по спині й поштовхи, доки предмет не вийде або не прибуде допомога.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Виведіть усіх назовні зараз і не зупиняйтеся заради речей. Тримайтеся низько під димом, де повітря чистіше. Перш ніж відчинити будь-які двері, торкніться їх тильним боком долоні. Якщо вони гарячі, знайдіть інший вихід. Не користуйтеся ліфтами. Опинившись назовні, залишайтеся назовні і йдіть до місця збору. Не повертайтеся всередину.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Якщо ви можете безпечно покинути зону, тихо і швидко відійдіть від небезпеки. Якщо ні, зайдіть до кімнати, замкніть або заблокуйте двері й тримайтеся низько, подалі від вікон і дверей. Вимкніть світло і переведіть телефон у беззвучний режим. Будьте тихими й непомітними. Не відчиняйте двері, доки охорона або поліція не скаже, що безпечно.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Якщо людина дихає, але непритомна, обережно поверніть її на бік. Трохи відхиліть її голову назад, щоб дихальні шляхи залишалися відкритими, і підніміть підборіддя. Залишайтеся з нею і стежте, що вона й далі дихає. Якщо вона перестане дихати, почніть натискання на центр грудної клітки.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Залишайтеся якомога спокійнішими й нерухомими, щоб зберегти повітря та сили. Прикрийте ніс і рот тканиною від пилу. Рівномірно стукайте по трубі, стіні чи будь-якій твердій поверхні, щоб рятувальники вас почули. Кричіть лише в крайньому разі, щоб не вдихати пил. Не запалюйте жодного вогню. Рухайтеся якомога менше і чекайте, доки вас знайдуть.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
