"id","category","file","max_seconds","en","eu","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Campuseko larrialdi-orientazio linera iritsi zara. Momentu honetan ez dago erantzulerik libre, eta laguntzari abisua eman zaio zuri deitzeko. Lasai egon. Hartu arnasa poliki. Zer egin behar duzun gidatuko zaitut. Ahal baduzu, deitu orain zure nazio-mailako larrialdi-zenbakira ere.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Hau campuseko larrialdi-orientazio linea da, proba moduan. Ez da benetako gertaerarik erregistratzen ari. Larrialdi batean zer egin behar duzun gidatuko zaitut.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Aukeratu egoera. Sakatu bat norbait arnasarik gabe edo pultsurik gabe badago. Sakatu bi odoljario larria bada. Sakatu hiru ito-arriskua bada. Sakatu lau sua edo kea bada. Sakatu bost mehatxu, erasotzaile edo blokeoa bada. Sakatu sei norbait konorterik gabe baina arnasa hartzen ari bada. Sakatu zazpi harrapatuta bazaude. Sakatu bederatzi erantzule bat berriro saiatzeko. Sakatu zortzi mezu bat uzteko. Sakatu zero aukera hauek berriro entzuteko.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Jarri pertsona ahoz gora gainazal gogor batean eta belaunikatu haren ondoan. Jarri esku baten orpoa bularraren erdian, eta beste eskua gainean. Bultza gogor eta azkar, segundoko bi aldiz gutxi gorabehera, aldi bakoitzean bularra guztiz igotzen utziz. Jarraitu gelditu gabe. Norbait gertu badago, bidali defibriladore hurbilenaren bila, eta piztu haren ahozko argibideak jarraitzeko. Ez gelditu laguntza iritsi arte edo pertsona esnatu arte.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Sakatu sendo eta zuzenean zaurian oihal batekin edo zure eskuarekin. Ez kendu oihala. Odolak zeharkatzen badu, gehitu gehiago gainean eta jarraitu gogor sakatzen. Beso bat edo hanka bat bada eta odoljarioa gelditzen ez bada, lotu banda sendo bat estu zauritik zentimetro batzuk gorago, zauriaren eta bihotzaren artean, eta idatzi ordua. Mantendu pertsona bero eta geldi.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Galdetu hitz egin edo eztul egin dezakeen. Arnasa hartu ezin badu, jarri haren atzean eta eman bost kolpe sendo sorbalda-hezurren artean zure eskuaren orpoarekin. Horrek funtzionatzen ez badu, inguratu zure besoekin haren gerria eta eman bost bultzada azkar barrurantz eta gorantz zilborraren gainetik. Errepikatu bizkarreko kolpeak eta bultzadak objektua atera arte edo laguntza iritsi arte.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Atera denak orain, eta ez gelditu gauzengatik. Egon behean, kearen azpian, non airea garbiagoa den. Edozein ate ireki aurretik, ukitu eskuaren atzealdearekin. Beroa badago, bilatu beste irteera bat. Ez erabili igogailuak. Kanpoan zaudenean, egon kanpoan, eta joan biltze-punturaino. Ez itzuli barrura.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Eremua modu seguruan utz badezakezu, urrundu arriskutik isilik eta azkar. Ezin baduzu, sartu gela batean, giltzatu edo blokeatu atea, eta egon behean, leiho eta ateetatik urrun. Itzali argiak eta jarri zure telefonoa isilik. Egon isilik eta ezkutuan. Ez ireki atea segurtasunak edo poliziak segurua dela esan arte.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Pertsona arnasa hartzen ari bada baina esna ez badago, jiratu poliki alboz. Okertu burua pixka bat atzerantz arnasbidea zabalik mantentzeko, eta jaso kokotsa. Egon harekin eta jarraitu begiratzen arnasa hartzen jarraitzen duela. Arnasa hartzeari uzten badio, hasi bular-konpresioak bularraren erdian.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Egon ahalik eta lasaien eta geldien, airea eta energia aurrezteko. Estali sudurra eta ahoa oihalarekin hautsaren aurka. Jo etengabe hodi, horma edo edozein gainazal gogorren kontra, erreskatatzaileek entzun zaitzaten. Egin oihu azken baliabide gisa soilik, hautsa ez arnasteko. Ez piztu sugarrik. Mugitu ahalik eta gutxien eta itxaron aurkitua izan arte.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
