"id","category","file","max_seconds","en","es","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Ha llamado a la línea de orientación de emergencias del campus. En este momento no hay ningún operador libre, y ya se ha avisado para que le devuelvan la llamada. Mantenga la calma. Respire despacio. Yo le guiaré sobre qué hacer. Si puede, llame también ahora a su número nacional de emergencias.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Esta es la línea de orientación de emergencias del campus, en modo de prueba. No se está registrando ningún incidente real. Yo le guiaré sobre qué hacer en una emergencia.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Elija la situación. Pulse uno si alguien no respira o no tiene pulso. Pulse dos para una hemorragia grave. Pulse tres para atragantamiento. Pulse cuatro para fuego o humo. Pulse cinco para una amenaza, un agresor o un confinamiento. Pulse seis si alguien está inconsciente pero respira. Pulse siete si está atrapado. Pulse nueve para volver a intentar con un operador. Pulse ocho para dejar un mensaje. Pulse cero para escuchar estas opciones de nuevo.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Coloque a la persona boca arriba sobre una superficie firme y arrodíllese a su lado. Ponga el talón de una mano en el centro del pecho, y la otra mano encima. Empuje hacia abajo con fuerza y rapidez, unas dos veces por segundo, dejando que el pecho suba por completo cada vez. Continúe sin parar. Si hay alguien cerca, envíelo a por el desfibrilador más cercano, enciéndalo y siga sus instrucciones habladas. No pare hasta que llegue la ayuda o la persona despierte.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Presione con firmeza y directamente sobre la herida con un paño o con la mano. No retire el paño. Si la sangre lo traspasa, añada más encima y siga presionando con fuerza. Si es un brazo o una pierna y la hemorragia no se detiene, ate una banda resistente con fuerza unos centímetros por encima de la herida, entre la herida y el corazón, y anote la hora. Mantenga a la persona abrigada y quieta.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Pregúntele si puede hablar o toser. Si no puede respirar, colóquese detrás de ella y dele cinco golpes firmes entre los omóplatos con el talón de la mano. Si eso no funciona, rodee su cintura con los brazos y dele cinco compresiones rápidas hacia dentro y hacia arriba, justo por encima del ombligo. Siga repitiendo los golpes en la espalda y las compresiones hasta que salga el objeto o llegue la ayuda.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Saque a todos ahora, y no se detenga por sus pertenencias. Manténgase agachado por debajo del humo, donde el aire es más limpio. Antes de abrir cualquier puerta, tóquela con el dorso de la mano. Si está caliente, busque otra salida. No use los ascensores. Una vez que esté fuera, quédese fuera, y diríjase al punto de encuentro. No vuelva a entrar.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Si puede salir de la zona de forma segura, aléjese del peligro en silencio y con rapidez. Si no puede, métase en una habitación, cierre o bloquee la puerta, y quédese agachado, lejos de ventanas y puertas. Apague las luces y ponga su teléfono en silencio. Permanezca callado y fuera de la vista. No abra la puerta hasta que seguridad o la policía le digan que es seguro.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Si la persona respira pero no está consciente, gírela con cuidado de lado. Incline su cabeza un poco hacia atrás para mantener abierta la vía respiratoria, y levántele el mentón. Quédese con ella y siga vigilando que sigue respirando. Si deja de respirar, comience las compresiones en el centro del pecho.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Manténgase lo más calmado y quieto posible, para ahorrar aire y energía. Cúbrase la nariz y la boca con un paño para protegerse del polvo. Golpee de forma constante una tubería, una pared o cualquier superficie dura, para que los rescatadores puedan oírle. Grite solo como último recurso, para evitar respirar polvo. No encienda ninguna llama. Muévase lo menos posible y espere a que le encuentren.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","Estoy intentando contactar con un operador ahora. Por favor, permanezca en la línea y espere.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","Todavía no hay ningún operador libre. Me quedaré con usted. Volviendo a la orientación.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","Lo siento, no he entendido eso.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","No he oído ninguna opción.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","Ahora le permitiré dejar un mensaje para el equipo de respuesta. Después del tono, diga dónde está y qué está pasando.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","Orientación de primeros auxilios. Todavía se está avisando a un operador, que se unirá si puede. Quédese conmigo.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","Ha llamado a la línea de emergencias del campus. Su llamada está siendo grabada, y se está solicitando ayuda ahora. Permanezca en la línea. Si alguien necesita primeros auxilios ahora mismo, pulse uno en cualquier momento y yo le guiaré.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","Todavía le estamos conectando con un operador. Si necesita primeros auxilios ahora, pulse uno para una orientación paso a paso.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","Alerta de emergencia. Hay una llamada activa en la línea de emergencias del campus y ningún operador ha respondido. Por favor, póngase disponible ahora. Pulse uno para unirse a la cola de emergencias.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","Ahora está de turno. Recibirá llamadas de emergencia del campus hasta que salga de turno marcando estrella dos tres.","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","Ahora está fuera de turno. Ya no recibirá llamadas de emergencia del campus.","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Atención. Este es el Servicio de Alerta de Emergencias de UPES. Evacúe el edificio ahora. Salga de inmediato por la salida segura más cercana. No use los ascensores. Diríjase a su punto de encuentro y espere más instrucciones.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","Atención. Este es el Servicio de Alerta de Emergencias de UPES. Refúgiese en el lugar ahora. Métase en un interior, cierre o bloquee su puerta, aléjese de las ventanas y permanezca en silencio hasta que le digan que es seguro. Espere más instrucciones.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Atención. Este es el Servicio de Alerta de Emergencias de UPES. La emergencia ha terminado. Es seguro reanudar la actividad normal. Gracias por su colaboración.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Atención. Este es el Servicio de Alerta de Emergencias de UPES. Diríjase ahora a su punto de encuentro asignado. Camine con calma, ayude a los demás cuando pueda y espere a que le cuenten. Espere más instrucciones.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","Atención. Este es el Servicio de Alerta de Emergencias de UPES. Este es un recuento de seguridad. Si está a salvo y puede responder, pulse uno ahora.","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","Esta es una prueba del Servicio de Alerta de Emergencias de UPES. Es solo una prueba. No se requiere ninguna acción, y no se enviará ninguna respuesta de emergencia.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","Pulse uno si está a salvo.","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","Gracias. Ha quedado registrado como a salvo. Ya puede colgar.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","No se registró ninguna respuesta. Por favor, contacte con su responsable en cuanto pueda.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Atención. Este es el Servicio de Alerta de Emergencias de UPES. Evacúe el edificio ahora. Salga de inmediato por la salida segura más cercana. No use los ascensores. Diríjase a su punto de encuentro y espere más instrucciones.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","Atención. Este es el Servicio de Alerta de Emergencias de UPES. Hay un incidente en el campus. Manténgase alejado de la zona afectada, no se acerque y siga las instrucciones del personal de seguridad. Espere más instrucciones.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Atención. Este es el Servicio de Alerta de Emergencias de UPES. La emergencia ha terminado. Es seguro reanudar la actividad normal. Gracias por su colaboración.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Atención. Este es el Servicio de Alerta de Emergencias de UPES. Diríjase ahora a su punto de encuentro asignado. Camine con calma, ayude a los demás cuando pueda y espere a que le cuenten. Espere más instrucciones.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","Atención. Esta es una notificación del Servicio de Alerta de Emergencias de UPES. Por favor, escuche con atención y siga las instrucciones que vienen a continuación.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
