"id","category","file","max_seconds","en","ro","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Ați sunat la linia de îndrumare pentru urgențe a campusului. În acest moment niciun operator nu este liber, iar echipa de ajutor a fost alertată să vă sune înapoi. Rămâneți calm. Respirați rar și adânc. Vă voi îndruma ce să faceți. Dacă puteți, sunați acum și la numărul național de urgență.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Aceasta este linia de îndrumare pentru urgențe a campusului, în mod de testare. Niciun incident real nu este înregistrat. Vă voi îndruma ce să faceți într-o urgență.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Alegeți situația. Apăsați unu dacă cineva nu respiră sau nu are puls. Apăsați doi pentru sângerare gravă. Apăsați trei pentru sufocare. Apăsați patru pentru foc sau fum. Apăsați cinci pentru o amenințare, un atacator sau izolare. Apăsați șase dacă cineva este inconștient, dar respiră. Apăsați șapte dacă sunteți blocat. Apăsați nouă pentru a încerca din nou un operator. Apăsați opt pentru a lăsa un mesaj. Apăsați zero pentru a auzi din nou aceste opțiuni.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Așezați persoana pe spate, pe o suprafață tare, și îngenuncheați lângă ea. Puneți podul unei palme în centrul pieptului, iar cealaltă mână deasupra. Apăsați puternic și rapid, de aproximativ două ori pe secundă, lăsând pieptul să se ridice complet de fiecare dată. Continuați fără să vă opriți. Dacă este cineva în apropiere, trimiteți-l după cel mai apropiat defibrilator și porniți-l pentru a urma instrucțiunile lui vocale. Nu vă opriți până nu sosește ajutorul sau persoana nu se trezește.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Apăsați ferm și direct pe rană cu o cârpă sau cu mâna. Nu îndepărtați cârpa. Dacă sângele o îmbibă, adăugați alta deasupra și continuați să apăsați puternic. Dacă este un braț sau un picior și sângerarea nu se oprește, legați o bandă rezistentă strâns, la câțiva centimetri deasupra rănii, între rană și inimă, și notați ora. Țineți persoana la căldură și nemișcată.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Întrebați dacă poate vorbi sau tuși. Dacă nu poate respira, stați în spatele ei și dați cinci lovituri ferme între omoplați cu podul palmei. Dacă asta nu funcționează, cuprindeți-i talia cu brațele și dați cinci apăsări rapide spre interior și în sus, chiar deasupra buricului. Repetați loviturile pe spate și apăsările până când obiectul iese sau sosește ajutorul.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Scoateți pe toată lumea afară acum și nu vă opriți pentru lucruri. Stați aplecat sub fum, unde aerul este mai curat. Înainte de a deschide orice ușă, pipăiți-o cu dosul mâinii. Dacă este fierbinte, găsiți altă cale de ieșire. Nu folosiți lifturile. Odată ce sunteți afară, rămâneți afară și mergeți la punctul de adunare. Nu intrați înapoi.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Dacă puteți părăsi zona în siguranță, îndepărtați-vă de pericol în liniște și rapid. Dacă nu puteți, intrați într-o cameră, încuiați sau blocați ușa și stați aplecat, departe de ferestre și uși. Stingeți luminile și puneți telefonul pe silențios. Păstrați liniștea și rămâneți ascuns. Nu deschideți ușa până când paza sau poliția nu vă spun că este sigur.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Dacă persoana respiră, dar nu este conștientă, întoarceți-o ușor pe o parte. Înclinați-i ușor capul pe spate pentru a menține căile respiratorii deschise și ridicați-i bărbia. Rămâneți cu ea și continuați să verificați că încă respiră. Dacă se oprește din respirat, începeți compresiile toracice în centrul pieptului.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Rămâneți cât se poate de calm și nemișcat, pentru a economisi aer și energie. Acoperiți-vă nasul și gura cu o cârpă împotriva prafului. Bateți constant într-o țeavă, într-un perete sau în orice suprafață tare, ca salvatorii să vă poată auzi. Strigați doar ca ultimă soluție, pentru a evita să inhalați praf. Nu aprindeți nicio flacără. Mișcați-vă cât mai puțin posibil și așteptați să fiți găsit.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","Încerc acum să contactez un operator. Vă rog să rămâneți pe linie și să așteptați.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
