"id","category","file","max_seconds","en","ru","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Вы дозвонились на линию экстренной помощи кампуса. В данный момент нет свободного оператора, и служба помощи уже оповещена, чтобы перезвонить вам. Сохраняйте спокойствие. Сделайте медленный вдох. Я подскажу вам, что делать. Если можете, позвоните также сейчас на общенациональный номер экстренных служб.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Это линия экстренной помощи кампуса, в тестовом режиме. Никакое реальное происшествие не регистрируется. Я подскажу вам, что делать в чрезвычайной ситуации.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Выберите ситуацию. Нажмите один, если человек не дышит или у него нет пульса. Нажмите два при сильном кровотечении. Нажмите три, если человек подавился. Нажмите четыре при пожаре или задымлении. Нажмите пять при угрозе, нападении или блокировке. Нажмите шесть, если человек без сознания, но дышит. Нажмите семь, если вы в ловушке. Нажмите девять, чтобы снова попытаться вызвать оператора. Нажмите восемь, чтобы оставить сообщение. Нажмите ноль, чтобы прослушать эти варианты снова.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Положите человека на спину на твёрдую поверхность и встаньте на колени рядом с ним. Поместите основание одной ладони на центр грудной клетки, а другую руку сверху. Надавливайте сильно и часто, примерно два раза в секунду, позволяя грудной клетке полностью подниматься каждый раз. Продолжайте без остановки. Если рядом кто-то есть, отправьте его за ближайшим дефибриллятором, включите его и следуйте голосовым указаниям. Не останавливайтесь, пока не прибудет помощь или человек не придёт в себя.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Крепко и прямо надавите на рану тканью или рукой. Не убирайте ткань. Если кровь просачивается насквозь, добавьте сверху ещё ткани и продолжайте сильно давить. Если это рука или нога и кровотечение не останавливается, туго завяжите прочную повязку на несколько сантиметров выше раны, между раной и сердцем, и запомните время. Держите человека в тепле и неподвижности.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Спросите, может ли человек говорить или кашлять. Если он не может дышать, встаньте позади него и нанесите пять сильных ударов основанием ладони между лопаток. Если это не помогает, обхватите руками его живот и сделайте пять быстрых толчков внутрь и вверх чуть выше пупка. Продолжайте чередовать удары по спине и толчки, пока предмет не выйдет или не прибудет помощь.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Немедленно выведите всех наружу и не задерживайтесь ради вещей. Держитесь низко под дымом, где воздух чище. Прежде чем открыть любую дверь, потрогайте её тыльной стороной ладони. Если она горячая, найдите другой выход. Не пользуйтесь лифтами. Оказавшись снаружи, оставайтесь снаружи и двигайтесь к месту сбора. Не возвращайтесь внутрь.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Если вы можете безопасно покинуть зону, тихо и быстро уходите от опасности. Если не можете, зайдите в помещение, заприте или заблокируйте дверь и оставайтесь внизу, вдали от окон и дверей. Выключите свет и переведите телефон в беззвучный режим. Сохраняйте тишину и не показывайтесь. Не открывайте дверь, пока служба безопасности или полиция не скажут, что это безопасно.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Если человек дышит, но не в сознании, осторожно поверните его на бок. Слегка запрокиньте его голову назад, чтобы дыхательные пути оставались открытыми, и приподнимите подбородок. Оставайтесь с ним и продолжайте следить, чтобы он дышал. Если он перестанет дышать, начните надавливания на центр грудной клетки.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Оставайтесь как можно спокойнее и неподвижнее, чтобы беречь воздух и силы. Прикройте нос и рот тканью от пыли. Ровно стучите по трубе, стене или любой твёрдой поверхности, чтобы спасатели могли вас услышать. Кричите только в крайнем случае, чтобы не вдыхать пыль. Не зажигайте огонь. Двигайтесь как можно меньше и ждите, пока вас найдут.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
