"id","category","file","max_seconds","en","sk","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Dovolali ste sa na kampusovú núdzovú poradenskú linku. Momentálne nie je voľný žiadny záchranár a pomoc bola upozornená, aby vám zavolala späť. Zostaňte pokojní. Pomaly sa nadýchnite. Poradím vám, čo máte robiť. Ak môžete, zavolajte teraz aj na svoje národné tiesňové číslo.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Toto je kampusová núdzová poradenská linka v testovacom režime. Nezaznamenáva sa žiadna skutočná udalosť. Poradím vám, čo robiť v núdzovej situácii.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Vyberte situáciu. Ak niekto nedýcha alebo nemá pulz, stlačte jednotku. Pri silnom krvácaní stlačte dvojku. Pri dusení stlačte trojku. Pri požiari alebo dyme stlačte štvorku. Pri hrozbe, útočníkovi alebo výzve na uzamknutie stlačte päťku. Ak je niekto v bezvedomí, ale dýcha, stlačte šestku. Ak ste uväznení, stlačte sedmičku. Ak chcete znova skúsiť záchranára, stlačte deviatku. Ak chcete zanechať odkaz, stlačte osmičku. Ak si chcete tieto možnosti vypočuť znova, stlačte nulu.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Položte osobu na chrbát na pevnú podložku a kľaknite si vedľa nej. Položte spodnú časť dlane jednej ruky do stredu hrudníka a druhú ruku navrch. Tlačte silno a rýchlo, asi dvakrát za sekundu, a zakaždým nechajte hrudník úplne vystúpiť. Pokračujte bez zastavenia. Ak je niekto nablízku, pošlite ho po najbližší defibrilátor, zapnite ho a riaďte sa jeho hovorenými pokynmi. Neprestávajte, kým nepríde pomoc alebo kým sa osoba nepreberie.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Tlačte pevne a priamo na ranu handričkou alebo rukou. Handričku neodstraňujte. Ak krv presiakne, pridajte ďalšiu navrch a naďalej silno tlačte. Ak ide o ruku alebo nohu a krvácanie sa nedá zastaviť, uviažte pevný pás tesne niekoľko centimetrov nad ranou, medzi ranou a srdcom, a poznačte si čas. Udržujte osobu v teple a v pokoji.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Spýtajte sa, či dokáže hovoriť alebo kašľať. Ak nemôže dýchať, postavte sa za neho a dajte mu spodnou časťou dlane päť pevných úderov medzi lopatky. Ak to nepomôže, objímte ho rukami okolo pása a dajte mu päť rýchlych stlačení smerom dnu a nahor tesne nad pupkom. Opakujte údery do chrbta a stláčania, kým predmet nevyjde alebo nepríde pomoc.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Okamžite všetkých dostaňte von a nezdržiavajte sa kvôli veciam. Zostaňte nízko pod dymom, kde je vzduch čistejší. Pred otvorením akýchkoľvek dverí sa ich dotknite chrbtom ruky. Ak sú horúce, nájdite inú cestu von. Nepoužívajte výťahy. Keď ste vonku, zostaňte vonku a presuňte sa na zhromaždisko. Nevracajte sa dnu.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Ak môžete oblasť bezpečne opustiť, ticho a rýchlo sa vzdiaľte od nebezpečenstva. Ak nemôžete, choďte do miestnosti, zamknite alebo zablokujte dvere a zostaňte nízko, ďaleko od okien a dverí. Zhasnite svetlá a stíšte si telefón. Buďte ticho a mimo dohľadu. Neotvárajte dvere, kým vám ochranka alebo polícia nepovedia, že je bezpečne.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Ak osoba dýcha, ale nie je pri vedomí, jemne ju otočte na bok. Mierne jej zakloňte hlavu dozadu, aby ostali dýchacie cesty voľné, a nadvihnite jej bradu. Zostaňte pri nej a naďalej sledujte, či stále dýcha. Ak prestane dýchať, začnite stláčať stred hrudníka.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Zostaňte čo najpokojnejší a bez pohybu, aby ste šetrili vzduch a energiu. Prikryte si nos a ústa handričkou proti prachu. Pravidelne klopte na potrubie, stenu alebo akýkoľvek tvrdý povrch, aby vás záchranári počuli. Kričte len ako poslednú možnosť, aby ste nevdychovali prach. Nezapaľujte žiadny oheň. Hýbte sa čo najmenej a čakajte, kým vás nájdu.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
