"id","category","file","max_seconds","en","ne","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","तपाईं क्याम्पस आपतकालीन मार्गदर्शन लाइनमा पुग्नुभएको छ। यस समयमा कुनै रेस्पोन्डर उपलब्ध छैन, र तपाईंलाई फिर्ता कल गर्न सहायतालाई सूचित गरिएको छ। शान्त रहनुहोस्। बिस्तारै एक सास लिनुहोस्। के गर्ने भनेर म तपाईंलाई मार्गदर्शन गर्नेछु। सम्भव भए, अहिले नै आफ्नो राष्ट्रिय आपतकालीन नम्बरमा पनि कल गर्नुहोस्।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","यो क्याम्पस आपतकालीन मार्गदर्शन लाइन हो, परीक्षण मोडमा। कुनै वास्तविक घटना दर्ता गरिँदैन। आपतकालमा के गर्ने भनेर म तपाईंलाई मार्गदर्शन गर्नेछु।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","अवस्था छान्नुहोस्। यदि कसैले सास फेरिरहेको छैन वा नाडी छैन भने, एक थिच्नुहोस्। गम्भीर रक्तस्रावका लागि दुई थिच्नुहोस्। घाँटीमा केही अड्किएमा तीन थिच्नुहोस्। आगो वा धुवाँका लागि चार थिच्नुहोस्। खतरा, आक्रमणकारी, वा लकडाउनका लागि पाँच थिच्नुहोस्। यदि कोही बेहोस छ तर सास फेरिरहेको छ भने छ थिच्नुहोस्। यदि तपाईं फसेको हुनुहुन्छ भने सात थिच्नुहोस्। रेस्पोन्डरलाई फेरि प्रयास गर्न नौ थिच्नुहोस्। सन्देश छोड्न आठ थिच्नुहोस्। यी विकल्पहरू फेरि सुन्न शून्य थिच्नुहोस्।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","व्यक्तिलाई कुनै कडा सतहमा पिठ्यूँ पारेर सुताउनुहोस् र उनको छेउमा घुँडा टेकेर बस्नुहोस्। एउटा हातको कुर्कुच्चा छातीको बीचमा राख्नुहोस्, र अर्को हात त्यसमाथि। बलियो र छिटो थिच्नुहोस्, प्रत्येक सेकेन्डमा लगभग दुई पटक, र प्रत्येक पटक छाती पूरै माथि उठ्न दिनुहोस्। नरोकी जारी राख्नुहोस्। यदि कोही नजिक छ भने, उसलाई नजिकैको डिफिब्रिलेटर ल्याउन पठाउनुहोस्, र त्यसलाई सुरु गरेर त्यसले बोलेका निर्देशनहरू पालना गर्नुहोस्। सहायता नआएसम्म वा व्यक्ति नब्युँझेसम्म नरोक्नुहोस्।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","घाउमा कुनै कपडा वा आफ्नो हातले सीधा र बलियोसँग थिच्नुहोस्। कपडा नहटाउनुहोस्। यदि रगत चुहिएर बाहिर आयो भने, माथि थप कपडा राखेर बलियोसँग थिचिरहनुहोस्। यदि यो हात वा खुट्टा हो र रगत रोकिँदैन भने, घाउभन्दा केही सेन्टिमिटर माथि, घाउ र मुटुको बीचमा, एउटा बलियो पट्टी कसेर बाँध्नुहोस्, र समय टिप्नुहोस्। व्यक्तिलाई न्यानो र स्थिर राख्नुहोस्।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","उनीहरूले बोल्न वा खोक्न सक्छन् कि भनेर सोध्नुहोस्। यदि उनीहरूले सास फेर्न सक्दैनन् भने, उनीहरूको पछाडि उभिएर आफ्नो हातको कुर्कुच्चाले काँधका बीचमा पिठ्यूँमा पाँच पटक बलियो प्रहार गर्नुहोस्। यदि त्यसले काम गर्दैन भने, आफ्ना हातहरू उनीहरूको कम्मरको वरिपरि बेरेर, नाइटोभन्दा ठीक माथि पाँच पटक छिटो भित्र र माथितिर धकेल्नुहोस्। वस्तु बाहिर नआएसम्म वा सहायता नआएसम्म पिठ्यूँको प्रहार र धकेल्ने काम दोहोर्‍याइरहनुहोस्।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","अहिले नै सबैलाई बाहिर निकाल्नुहोस्, र सामानका लागि नरोक्नुहोस्। धुवाँमुनि निहुरिएर रहनुहोस्, जहाँ हावा सफा हुन्छ। कुनै पनि ढोका खोल्नुअघि, आफ्नो हातको पछाडिको भागले त्यसलाई छोएर हेर्नुहोस्। यदि त्यो तातो छ भने, बाहिर निस्कने अर्को बाटो खोज्नुहोस्। लिफ्ट प्रयोग नगर्नुहोस्। बाहिर निस्केपछि बाहिरै रहनुहोस्, र भेला हुने स्थलतिर जानुहोस्। फेरि भित्र नजानुहोस्।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","यदि तपाईं सुरक्षित रूपमा क्षेत्र छोड्न सक्नुहुन्छ भने, चुपचाप र छिटो खतराबाट टाढा जानुहोस्। सक्नुहुन्न भने, कुनै कोठामा जानुहोस्, ढोका बन्द गर्नुहोस् वा छेक्नुहोस्, र झ्याल तथा ढोकाबाट टाढा, निहुरिएर रहनुहोस्। बत्ती निभाउनुहोस् र आफ्नो फोन साइलेन्टमा राख्नुहोस्। चुप र नजरबाट ओझेल रहनुहोस्। सुरक्षा वा प्रहरीले सुरक्षित छ नभनेसम्म ढोका नखोल्नुहोस्।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","यदि व्यक्ति सास फेरिरहेको छ तर होसमा छैन भने, उसलाई बिस्तारै एक छेउतिर पल्टाउनुहोस्। सास फेर्ने बाटो खुला राख्न उसको टाउको अलिकति पछाडि झुकाउनुहोस्, र चिउँडो माथि उठाउनुहोस्। उसको साथमा रहनुहोस् र ऊ अझै सास फेरिरहेको छ कि भनेर हेरिरहनुहोस्। यदि उसले सास फेर्न रोक्यो भने, छातीको बीचमा थिच्न सुरु गर्नुहोस्।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","हावा र ऊर्जा बचाउन सकेसम्म शान्त र स्थिर रहनुहोस्। धूलोबाट जोगिन आफ्नो नाक र मुख कपडाले छोप्नुहोस्। उद्धारकर्ताहरूले तपाईंको आवाज सुन्न सकून् भनेर, कुनै पाइप, भित्ता, वा कुनै कडा सतहमा लगातार ठक्ठक्याउनुहोस्। धूलो भित्र नजाओस् भनेर, अन्तिम उपायका रूपमा मात्र चिच्याउनुहोस्। कुनै आगो नबाल्नुहोस्। सकेसम्म कम हलचल गर्नुहोस् र भेटिने प्रतीक्षा गर्नुहोस्।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
