"id","category","file","max_seconds","en","lb","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Dir hutt d'Noutfall-Guidance-Linn vum Campus erreecht. Am Moment ass kee Responder fräi, an d'Hëllef gouf alarméiert fir Iech zréckzeruffen. Bleift roueg. Otemt lues. Ech begleeden Iech duerch dat wat ze maachen ass. Wann Dir kënnt, rufft elo och Är national Noutrufnummer un.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Dëst ass d'Noutfall-Guidance-Linn vum Campus, am Testmodus. Et gëtt kee richtege Virfall registréiert. Ech begleeden Iech duerch dat wat an engem Noutfall ze maachen ass.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Wielt d'Situatioun. Dréckt eent wann een net otemt oder kee Puls huet. Dréckt zwee fir staark Bludden. Dréckt dräi fir Erstécken. Dréckt véier fir Feier oder Rauch. Dréckt fënnef fir eng Bedrohung, en Ugräifer, oder e Lockdown. Dréckt sechs wann een ohnmächteg ass awer otemt. Dréckt siwen wann Dir agespaart sidd. Dréckt néng fir nach eng Kéier e Responder ze probéieren. Dréckt aacht fir eng Noriicht ze hannerloossen. Dréckt null fir dës Wiel nach eng Kéier ze héieren.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Leet d'Persoun op de Réck op eng fest Ënnerlag a knéit niewent hinnen. Setzt d'Handballe vun enger Hand an d'Mëtt vun der Broscht, an är aner Hand uewendrop. Dréckt haart a séier no ënnen, ongeféier zweemol pro Sekonn, a loosst d'Broscht all Kéier komplett eropkommen. Maacht weider ouni ze stoppen. Wann een an der Noopschaft ass, schéckt en no deem nooste Defibrillator, a schalt en un fir seng geschwate Uweisungen ze befollegen. Stoppt net bis d'Hëllef ukomm ass oder d'Persoun erwächt.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Dréckt fest an direkt op d'Wonn mat engem Duch oder ärer Hand. Huelt d'Duch net ewech. Wann d'Blutt duerchsickert, leet méi uewendrop a dréckt weider haart. Wann et en Aarm oder e Been ass an d'Bludden net ophält, bind e staarke Band fest e puer Zentimeter iwwer der Wonn, tëscht der Wonn an dem Häerz, a notéiert d'Zäit. Haalt d'Persoun waarm a roueg.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Frot ob si schwätzen oder houschten kënnen. Wann si net otemen kënnen, stellt Iech hanner si a gitt fënnef fest Schléi tëscht de Schëllerblieder mat der Handball. Wann dat net funktionéiert, leet är Äerm ëm hir Taille a gitt fënnef séier Stéiss no bannen an no uewen, direkt iwwer dem Nuebel. Widderholl d'Schléi op de Réck an d'Stéiss bis den Objet erauskënnt oder d'Hëllef ukënnt.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Bréngt elo jiddereen eraus, a stoppt net fir Saachen. Bleift niddreg ënnert dem Rauch, wou d'Loft méi kloer ass. Ier Dir eng Dier opmaacht, spiert se mat dem Réck vun ärer Hand. Wann se waarm ass, sicht en anere Wee eraus. Benotzt d'Lifter net. Wann Dir eraus sidd, bleift baussen, a gitt bei de Sammelpunkt. Gitt net erëm eran.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Wann Dir d'Géigend sécher verloosse kënnt, réckelt roueg a séier vun der Gefor ewech. Wann Dir net kënnt, gitt an e Raum, spaart oder blockéiert d'Dier, a bleift niddreg, ewech vu Fënsteren an Dieren. Maacht d'Luuchten aus a stellt äre Telefon op roueg. Bleift roueg an aus der Siicht. Maacht d'Dier net op bis d'Sécherheet oder d'Police Iech seet datt et sécher ass.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Wann d'Persoun otemt awer net wakreg ass, rullt se sanft op d'Säit. Kippt hire Kapp e bëssen no hannen fir d'Loftweeër opzehalen, an hieft d'Kënn. Bleift bei hinnen a passt op datt si nach ëmmer otemen. Wann si ophalen ze otemen, fänkt un d'Broscht an der Mëtt ze drécken.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Bleift esou roueg an onbeweeglech wéi méiglech, fir Loft an Energie ze spueren. Deckt Nues a Mond mat engem Duch géint Stëbs. Klappt reegelméisseg op eng Päif, eng Mauer, oder eng aner haart Uewerfläch, esou datt d'Retter Iech héieren. Rufft nëmmen als läscht Léisung, fir keen Stëbs anzeotemen. Zünd keng Flam un. Beweegt Iech esou wéineg wéi méiglech a waart bis Dir fonnt gitt.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
