"id","category","file","max_seconds","en","no","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Du har kommet til campusets nødveiledningslinje. Ingen beredskapsperson er ledig akkurat nå, og hjelp er varslet om å ringe deg tilbake. Hold deg rolig. Ta et langsomt åndedrag. Jeg vil veilede deg gjennom hva du skal gjøre. Hvis du er i stand til det, ring også ditt nasjonale nødnummer nå.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Dette er campusets nødveiledningslinje, i testmodus. Ingen reell hendelse blir loggført. Jeg vil veilede deg gjennom hva du skal gjøre i en nødsituasjon.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Velg situasjonen. Trykk 1 hvis noen ikke puster eller ikke har puls. Trykk 2 for kraftig blødning. Trykk 3 for kvelning. Trykk 4 for brann eller røyk. Trykk 5 for en trussel, en angriper eller nedstenging. Trykk 6 hvis noen er bevisstløs, men puster. Trykk 7 hvis du er innesperret. Trykk 9 for å prøve en beredskapsperson igjen. Trykk 8 for å legge igjen en beskjed. Trykk 0 for å høre disse valgene igjen.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Legg personen på ryggen på et fast underlag og knel ved siden av dem. Plasser hælen av den ene hånden midt på brystet, og den andre hånden oppå. Trykk hardt og raskt ned, omtrent to ganger i sekundet, og la brystet heve seg helt hver gang. Fortsett uten å stoppe. Hvis noen er i nærheten, send dem etter nærmeste hjertestarter, og slå den på for å følge dens talte instruksjoner. Ikke stopp før hjelpen kommer eller personen våkner.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Trykk fast og direkte på såret med et tøystykke eller hånden din. Ikke fjern tøystykket. Hvis blod trenger gjennom, legg mer oppå og fortsett å trykke hardt. Hvis det er en arm eller et ben og blødningen ikke stopper, bind et sterkt bånd stramt noen centimeter ovenfor såret, mellom såret og hjertet, og noter tidspunktet. Hold personen varm og i ro.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Spør om de kan snakke eller hoste. Hvis de ikke kan puste, still deg bak dem og gi fem faste slag mellom skulderbladene med hælen av hånden din. Hvis det ikke virker, legg armene rundt livet deres og gi fem raske støt innover og oppover rett over navlen. Fortsett å gjenta ryggslagene og støtene til gjenstanden kommer ut eller hjelpen kommer.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Få alle ut nå, og ikke stopp for eiendeler. Hold deg lavt under røyken, der luften er klarere. Før du åpner en dør, kjenn på den med baksiden av hånden. Hvis den er varm, finn en annen vei ut. Ikke bruk heisene. Når du er ute, bli ute, og gå til oppmøteplassen. Ikke gå inn igjen.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Hvis du trygt kan forlate området, beveg deg bort fra faren stille og raskt. Hvis du ikke kan, gå inn i et rom, lås eller blokker døren, og hold deg lavt, borte fra vinduer og dører. Slå av lysene og sett telefonen på lydløs. Vær stille og skjult. Ikke åpne døren før vakthold eller politiet sier at det er trygt.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Hvis personen puster, men ikke er våken, rull dem forsiktig over på siden. Vipp hodet deres litt bakover for å holde luftveien åpen, og løft haken. Bli hos dem og fortsett å følge med på at de fortsatt puster. Hvis de slutter å puste, begynn med brystkompresjoner midt på brystet.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Hold deg så rolig og i ro som du kan, for å spare luft og energi. Dekk nese og munn med tøy mot støv. Bank jevnt på et rør, en vegg eller en hvilken som helst hard flate, slik at redningsmannskaper kan høre deg. Rop bare som en siste utvei, for å unngå å puste inn støv. Ikke tenn noen flamme. Beveg deg så lite som mulig og vent på å bli funnet.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
