"id","category","file","max_seconds","en","de","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Sie haben die Notfall-Beratungslinie des Campus erreicht. Im Moment ist kein Einsatzhelfer verfügbar, und die Hilfe wurde benachrichtigt, Sie zurückzurufen. Bleiben Sie ruhig. Atmen Sie langsam ein. Ich werde Sie anleiten, was zu tun ist. Wenn Sie können, rufen Sie jetzt auch Ihre nationale Notrufnummer an.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Dies ist die Notfall-Beratungslinie des Campus im Testmodus. Es wird kein echter Vorfall protokolliert. Ich werde Sie anleiten, was in einem Notfall zu tun ist.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Wählen Sie die Situation. Drücken Sie die Eins, wenn jemand nicht atmet oder keinen Puls hat. Drücken Sie die Zwei bei starker Blutung. Drücken Sie die Drei bei Ersticken. Drücken Sie die Vier bei Feuer oder Rauch. Drücken Sie die Fünf bei einer Bedrohung, einem Angreifer oder einer Abriegelung. Drücken Sie die Sechs, wenn jemand bewusstlos ist, aber atmet. Drücken Sie die Sieben, wenn Sie eingeschlossen sind. Drücken Sie die Neun, um es erneut mit einem Einsatzhelfer zu versuchen. Drücken Sie die Acht, um eine Nachricht zu hinterlassen. Drücken Sie die Null, um diese Auswahl erneut zu hören.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Legen Sie die Person auf den Rücken auf eine feste Unterlage und knien Sie sich neben sie. Legen Sie den Handballen einer Hand auf die Mitte des Brustkorbs und die andere Hand darüber. Drücken Sie fest und schnell nach unten, etwa zweimal pro Sekunde, und lassen Sie den Brustkorb jedes Mal vollständig zurückfedern. Machen Sie ohne Unterbrechung weiter. Wenn jemand in der Nähe ist, schicken Sie ihn zum nächsten Defibrillator, schalten Sie ihn ein und befolgen Sie seine gesprochenen Anweisungen. Hören Sie nicht auf, bis Hilfe eintrifft oder die Person erwacht.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Drücken Sie fest und direkt mit einem Tuch oder Ihrer Hand auf die Wunde. Entfernen Sie das Tuch nicht. Wenn Blut durchdringt, legen Sie mehr darüber und drücken Sie weiter fest. Wenn es ein Arm oder ein Bein ist und die Blutung nicht aufhört, binden Sie ein festes Band einige Zentimeter oberhalb der Wunde straff ab, zwischen der Wunde und dem Herzen, und notieren Sie die Uhrzeit. Halten Sie die Person warm und ruhig.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Fragen Sie, ob die Person sprechen oder husten kann. Wenn sie nicht atmen kann, stellen Sie sich hinter sie und geben Sie mit dem Handballen fünf feste Schläge zwischen die Schulterblätter. Wenn das nicht hilft, legen Sie Ihre Arme um ihre Taille und führen Sie fünf schnelle Stöße nach innen und oben aus, direkt oberhalb des Bauchnabels. Wiederholen Sie die Schläge auf den Rücken und die Stöße, bis der Gegenstand herauskommt oder Hilfe eintrifft.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Bringen Sie jetzt alle nach draußen und halten Sie nicht für Gegenstände an. Bleiben Sie tief unter dem Rauch, wo die Luft klarer ist. Bevor Sie eine Tür öffnen, fühlen Sie sie mit dem Handrücken. Wenn sie heiß ist, suchen Sie einen anderen Ausweg. Benutzen Sie nicht die Aufzüge. Wenn Sie draußen sind, bleiben Sie draußen und gehen Sie zum Sammelplatz. Gehen Sie nicht wieder hinein.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Wenn Sie den Bereich sicher verlassen können, entfernen Sie sich leise und schnell von der Gefahr. Wenn nicht, gehen Sie in einen Raum, verriegeln oder blockieren Sie die Tür und bleiben Sie tief, weg von Fenstern und Türen. Schalten Sie das Licht aus und stellen Sie Ihr Telefon auf lautlos. Bleiben Sie ruhig und außer Sichtweite. Öffnen Sie die Tür erst, wenn der Sicherheitsdienst oder die Polizei Ihnen sagt, dass es sicher ist.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Wenn die Person atmet, aber nicht bei Bewusstsein ist, drehen Sie sie sanft auf die Seite. Neigen Sie ihren Kopf leicht nach hinten, um die Atemwege offen zu halten, und heben Sie ihr Kinn an. Bleiben Sie bei ihr und achten Sie weiter darauf, dass sie noch atmet. Wenn sie aufhört zu atmen, beginnen Sie mit der Herzdruckmassage in der Mitte des Brustkorbs.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Bleiben Sie so ruhig und still wie möglich, um Luft und Energie zu sparen. Bedecken Sie Nase und Mund mit einem Tuch gegen Staub. Klopfen Sie gleichmäßig auf ein Rohr, eine Wand oder eine harte Oberfläche, damit die Retter Sie hören können. Rufen Sie nur als letztes Mittel, um keinen Staub einzuatmen. Zünden Sie keine Flamme an. Bewegen Sie sich so wenig wie möglich und warten Sie, bis Sie gefunden werden.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
