"id","category","file","max_seconds","en","ku","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Hûn gihîştin xeta rêberiya awarte ya kampusê. Di vê kêliyê de tu bersivder ne vala ye, û ji bo ku telefonê li we vegerîne alîkarî hat agahdarkirin. Aram bimînin. Hêdî hênaseyekê bistînin. Ez ê rê nîşanî we bidim ka çi bikin. Heke hûn dikarin, niha jî li jimareya awarte ya neteweyî ya xwe telefon bikin.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Ev xeta rêberiya awarte ya kampusê ye, di moda testê de. Tu bûyera rastîn nayê tomarkirin. Ez ê rê nîşanî we bidim ka di rewşeke awarte de çi bikin.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Rewşê hilbijêrin. Heke kesek hênase nagire an nabize, pêl yekê bikin. Ji bo xwînrijandina giran, pêl duyê bikin. Ji bo fetisandinê, pêl sêyê bikin. Ji bo agir an dû, pêl çarê bikin. Ji bo metirsî, êrişkar, an girtinê, pêl pêncê bikin. Heke kesek bêhiş e lê hênase digire, pêl şeşê bikin. Heke hûn asê mane, pêl heftê bikin. Ji bo dîsa ceribandina bersivderekê, pêl nehê bikin. Ji bo hiştina peyamekê, pêl heştê bikin. Ji bo dîsa bihîstina van hilbijartinan, pêl sifirê bikin.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Kesî li ser piştê deynin ser rûyekî hişk û li kêleka wî çok bidin. Bereka destekî xwe deynin ser navenda sîngê, û destê xwe yê din deynin ser wî. Bi hêz û bilez pêve bikin, nêzîkî du caran di her çirkeyê de, û bihêlin sîng her carê bi temamî rabe. Bêyî rawestanê berdewam bikin. Heke kesek nêzîk be, wî bişînin ku nêztirîn defibrilatorê bîne, û wî vekin da ku talîmatên wî yên devkî bişopînin. Heta alîkarî neyê an kes hişyar nebe, ranewestin.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Bi parçeyek qumaş an bi destê xwe, rasterast û bi hêz li ser birînê pêve bikin. Qumaş ranekin. Heke xwîn tê re derbas dibe, li jor hê zêdetir lê zêde bikin û bi hêz pêve bikin. Heke ew mil an ling e û xwîn nayê rawestandin, çend santîmetreyan li jorê birînê, di navbera birîn û dil de, bendeke bihêz teng girê bidin, û demê tomar bikin. Kesî germ û bêhereket bihêlin.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Ji wan bipirsin ka dikarin biaxivin an bikuxin. Heke nikarin hênase bigirin, li pişt wan rawestin û bi bereka destê xwe pênc lêdanên bihêz di navbera her du milan de li piştê bidin. Heke ev bi kêr neyê, milên xwe li dora nava wan bipêçin û tenê li jorê navikê pênc caran bi lez ber bi hundir û jor ve bitepisînin. Heta ku tişt derkeve an alîkarî bigihîje, lêdanên piştê û tepisandinan dubare bikin.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Niha herkesî derxînin, û ji bo tiştên xwe ranewestin. Li bin dûyê nizm bimînin, li cihê ku hewa paqijtir e. Berî ku hûn deriyekî vekin, bi paşila destê xwe wî hîs bikin. Heke germ be, rêyeke din a derketinê bibînin. Asansoran bikar neînin. Gava hûn derketin derve, li derve bimînin, û ber bi cihê civînê ve biçin. Venegerin hundir.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Heke hûn dikarin bi ewlehî ji herêmê derkevin, bêdeng û bilez ji metirsiyê dûr bikevin. Heke nikarin, biçin nav odeyekê, deriyê bigirin an asteng bikin, û nizm bimînin, dûrî pencere û deriyan. Ronahiyan vemirînin û telefona xwe deynin ser bêdeng. Bêdeng û ji ber çavan winda bimînin. Heta ku ewlehî an polîs nebêjin ku ewle ye, deriyê venekin.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Heke kes hênase digire lê hişyar nîne, wî hêdî hêdî li ser aliyê wî bizivirînin. Serê wî hinekî ber bi paş ve xwar bikin da ku rêya hewayê vekirî bimîne, û çenê wî rakin. Digel wî bimînin û temaşe bikin ku ew hê hênase digire. Heke ew hênase rawestîne, li navenda sîngê tepisandina sîngê dest pê bikin.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Ji bo ku hewa û enerjiyê biparêzin, bi qasî ku hûn dikarin aram û bêhereket bimînin. Poz û devê xwe bi qumaş li dijî tozê bigirin. Bi domdarî li ser boriyekê, dîwarekî, an her rûyekî hişk bixin, da ku rizgarkar bikaribin we bibihîzin. Tenê wek çareya dawî biqîrin, da ku toz nekeve hundir. Tu agir venexînin. Bi qasî ku dibe kêm bilivin û li bendê bimînin ku werin dîtin.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","Ez niha hewl didim ku bigihîjim bersivderekê. Ji kerema xwe li ser xetê bimînin û li bendê bin.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","Hê tu bersivder ne vala ye. Ez ê digel we bimînim. Vedigerim rêberiyê.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
