"id","category","file","max_seconds","en","fa","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","شما به خط راهنمای اضطراری پردیس رسیده‌اید. در این لحظه هیچ امدادگری آزاد نیست و به نیروهای کمکی اطلاع داده شده تا با شما تماس بگیرند. آرام باشید. یک نفس آهسته بکشید. من شما را در آنچه باید انجام دهید راهنمایی می‌کنم. اگر می‌توانید، همین حالا با شماره اضطراری ملی خود نیز تماس بگیرید.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","این خط راهنمای اضطراری پردیس است، در حالت آزمایشی. هیچ حادثه واقعی ثبت نمی‌شود. من شما را راهنمایی می‌کنم که در یک وضعیت اضطراری چه کاری انجام دهید.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","وضعیت را انتخاب کنید. اگر کسی نفس نمی‌کشد یا نبض ندارد، یک را فشار دهید. برای خونریزی شدید، دو را فشار دهید. برای خفگی، سه را فشار دهید. برای آتش یا دود، چهار را فشار دهید. برای تهدید، مهاجم یا منع تردد امنیتی، پنج را فشار دهید. اگر کسی بیهوش است اما نفس می‌کشد، شش را فشار دهید. اگر گیر افتاده‌اید، هفت را فشار دهید. برای تلاش دوباره برای دسترسی به امدادگر، نه را فشار دهید. برای گذاشتن پیام، هشت را فشار دهید. برای شنیدن دوباره این گزینه‌ها، صفر را فشار دهید.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","فرد را روی یک سطح سفت به پشت بخوابانید و کنار او زانو بزنید. کف یک دست را در وسط قفسه سینه قرار دهید و دست دیگر را روی آن بگذارید. محکم و سریع فشار دهید، حدود دو بار در هر ثانیه، و هر بار اجازه دهید قفسه سینه کاملاً بالا بیاید. بدون توقف ادامه دهید. اگر کسی نزدیک است، او را برای آوردن نزدیک‌ترین دستگاه شوک قلبی بفرستید، آن را روشن کنید و از دستورهای صوتی آن پیروی کنید. تا رسیدن کمک یا به هوش آمدن فرد متوقف نشوید.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","با یک پارچه یا دست خود، محکم و مستقیم روی زخم فشار دهید. پارچه را برندارید. اگر خون از آن نفوذ کرد، پارچه بیشتری روی آن بگذارید و محکم فشار دادن را ادامه دهید. اگر روی دست یا پا است و خونریزی بند نمی‌آید، یک نوار محکم را چند سانتی‌متر بالاتر از زخم، بین زخم و قلب، محکم ببندید و زمان را یادداشت کنید. فرد را گرم و بی‌حرکت نگه دارید.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","بپرسید آیا می‌توانند صحبت کنند یا سرفه کنند. اگر نمی‌توانند نفس بکشند، پشت سر آن‌ها بایستید و با کف دست خود پنج ضربه محکم بین دو کتف بزنید. اگر این کار مؤثر نبود، دست‌های خود را دور کمر آن‌ها حلقه کنید و درست بالای ناف، پنج بار سریع به سمت داخل و بالا فشار دهید. ضربه‌های پشت و فشارها را تکرار کنید تا زمانی که جسم بیرون بیاید یا کمک برسد.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","همین حالا همه را بیرون ببرید و برای برداشتن وسایل توقف نکنید. زیر دود پایین بمانید، جایی که هوا پاک‌تر است. پیش از باز کردن هر دری، آن را با پشت دست خود لمس کنید. اگر داغ بود، راه دیگری برای خروج پیدا کنید. از آسانسور استفاده نکنید. وقتی بیرون رفتید، بیرون بمانید و به سمت نقطه تجمع بروید. دوباره داخل نروید.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","اگر می‌توانید محل را به‌سلامت ترک کنید، بی‌سر و صدا و سریع از خطر دور شوید. اگر نمی‌توانید، وارد یک اتاق شوید، در را قفل کنید یا مسدود کنید و پایین بمانید، دور از پنجره‌ها و درها. چراغ‌ها را خاموش کنید و تلفن خود را روی حالت بی‌صدا بگذارید. ساکت و از دید پنهان بمانید. تا زمانی که نیروی امنیتی یا پلیس نگفته که امن است، در را باز نکنید.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","اگر فرد نفس می‌کشد اما به هوش نیست، به‌آرامی او را روی پهلو بچرخانید. سر او را کمی به عقب متمایل کنید تا مسیر هوا باز بماند و چانه‌اش را بالا بگیرید. کنار او بمانید و مدام بررسی کنید که هنوز نفس می‌کشد. اگر نفس کشیدن را متوقف کرد، فشردن قفسه سینه را در وسط قفسه سینه آغاز کنید.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","تا جایی که می‌توانید آرام و بی‌حرکت بمانید تا هوا و انرژی را حفظ کنید. برای محافظت در برابر گرد و غبار، بینی و دهان خود را با پارچه بپوشانید. به‌طور پیوسته روی یک لوله، دیوار یا هر سطح سختی ضربه بزنید تا نجات‌دهندگان صدای شما را بشنوند. فقط به‌عنوان آخرین راه‌حل فریاد بزنید تا از تنفس گرد و غبار جلوگیری شود. هیچ شعله‌ای روشن نکنید. تا حد امکان کم حرکت کنید و منتظر بمانید تا پیدا شوید.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
