"id","category","file","max_seconds","en","fr","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Vous avez joint la ligne de conseils d'urgence du campus. Aucun intervenant n'est disponible pour le moment, et les secours ont ete alertes pour vous rappeler. Restez calme. Respirez lentement. Je vais vous guider sur ce qu'il faut faire. Si vous le pouvez, appelez aussi maintenant votre numero national d'urgence.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Ceci est la ligne de conseils d'urgence du campus, en mode test. Aucun incident reel n'est enregistre. Je vais vous guider sur ce qu'il faut faire en cas d'urgence.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Choisissez la situation. Appuyez sur 1 si quelqu'un ne respire plus ou n'a pas de pouls. Appuyez sur 2 pour une hemorragie grave. Appuyez sur 3 pour un etouffement. Appuyez sur 4 pour un incendie ou de la fumee. Appuyez sur 5 pour une menace, un agresseur ou un confinement. Appuyez sur 6 si quelqu'un est inconscient mais respire. Appuyez sur 7 si vous etes pris au piege. Appuyez sur 9 pour essayer de nouveau de joindre un intervenant. Appuyez sur 8 pour laisser un message. Appuyez sur 0 pour entendre de nouveau ces choix.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Allongez la personne sur le dos sur une surface dure et agenouillez-vous a cote d'elle. Placez le talon d'une main au centre de la poitrine, et votre autre main par-dessus. Appuyez fort et vite, environ deux fois par seconde, en laissant la poitrine remonter completement a chaque fois. Continuez sans vous arreter. Si quelqu'un est a proximite, envoyez-le chercher le defibrillateur le plus proche, allumez-le et suivez ses instructions vocales. Ne vous arretez pas avant l'arrivee des secours ou le reveil de la personne.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Appuyez fermement et directement sur la plaie avec un tissu ou votre main. Ne retirez pas le tissu. Si le sang le traverse, ajoutez-en davantage par-dessus et continuez d'appuyer fort. S'il s'agit d'un bras ou d'une jambe et que le saignement ne s'arrete pas, nouez une bande solide et serree quelques centimetres au-dessus de la plaie, entre la plaie et le coeur, et notez l'heure. Gardez la personne au chaud et immobile.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Demandez-lui si elle peut parler ou tousser. Si elle ne peut pas respirer, placez-vous derriere elle et donnez cinq tapes fermes entre les omoplates avec le talon de votre main. Si cela ne fonctionne pas, entourez sa taille de vos bras et donnez cinq poussees rapides vers l'interieur et vers le haut juste au-dessus du nombril. Continuez d'alterner les tapes dans le dos et les poussees jusqu'a ce que l'objet sorte ou que les secours arrivent.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Faites sortir tout le monde immediatement, et ne vous arretez pas pour vos affaires. Restez bas sous la fumee, la ou l'air est plus clair. Avant d'ouvrir une porte, touchez-la avec le dos de votre main. Si elle est chaude, trouvez une autre sortie. N'utilisez pas les ascenseurs. Une fois dehors, restez dehors, et dirigez-vous vers le point de rassemblement. Ne retournez pas a l'interieur.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Si vous pouvez quitter la zone en toute securite, eloignez-vous du danger discretement et rapidement. Si vous ne le pouvez pas, entrez dans une piece, verrouillez ou bloquez la porte, et restez bas, loin des fenetres et des portes. Eteignez les lumieres et mettez votre telephone en silencieux. Restez silencieux et hors de vue. N'ouvrez pas la porte tant que la securite ou la police ne vous dit pas que c'est sur.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Si la personne respire mais n'est pas consciente, tournez-la doucement sur le cote. Inclinez legerement sa tete en arriere pour garder les voies respiratoires ouvertes, et relevez son menton. Restez avec elle et continuez de verifier qu'elle respire toujours. Si elle cesse de respirer, commencez les compressions thoraciques au centre de la poitrine.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Restez aussi calme et immobile que possible, pour economiser l'air et l'energie. Couvrez votre nez et votre bouche avec un tissu contre la poussiere. Tapez regulierement sur un tuyau, un mur ou toute surface dure, afin que les secours puissent vous entendre. Ne criez qu'en dernier recours, pour eviter d'inhaler la poussiere. N'allumez aucune flamme. Bougez le moins possible et attendez qu'on vous trouve.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
