"id","category","file","max_seconds","en","kk","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Сіз кампустың төтенше жағдай бойынша нұсқау беру желісіне қоңырау шалдыңыз. Қазір бос жауап беруші жоқ, ал көмек сізге кері қоңырау шалу үшін хабардар етілді. Сабыр сақтаңыз. Баяу дем алыңыз. Мен сізге не істеу керектігін айтып отырамын. Мүмкіндігіңіз болса, қазір ұлттық төтенше жағдай нөміріне де қоңырау шалыңыз.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Бұл кампустың төтенше жағдай бойынша нұсқау беру желісі, сынақ режимінде. Ешқандай нақты оқиға тіркелмейді. Мен сізге төтенше жағдайда не істеу керектігін айтып отырамын.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Жағдайды таңдаңыз. Егер біреу дем алмай жатса немесе тамыр соғысы болмаса, бірді басыңыз. Қатты қан кету үшін екіні басыңыз. Тұншығу үшін үшті басыңыз. Өрт немесе түтін үшін төртті басыңыз. Қауіп, шабуылшы немесе оқшаулау үшін бесті басыңыз. Егер біреу есінен танған, бірақ дем алып жатса, алтыны басыңыз. Егер сіз қыстырылып қалсаңыз, жетіні басыңыз. Жауап берушіге қайта қоңырау шалу үшін тоғызды басыңыз. Хабарлама қалдыру үшін сегізді басыңыз. Бұл таңдауларды қайта тыңдау үшін нөлді басыңыз.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Адамды қатты жерге шалқасынан жатқызып, қасына тізерлеп отырыңыз. Бір қолыңыздың алақан түбін кеуденің ортасына, екінші қолыңызды оның үстіне қойыңыз. Қатты әрі жылдам, шамамен әр секунд сайын екі рет басыңыз, әр басқан сайын кеуде толық көтерілуіне мүмкіндік беріңіз. Тоқтамай жалғастыра беріңіз. Егер жаныңызда біреу болса, оны ең жақын дефибрилляторды әкелуге жіберіңіз, оны қосып, айтылған нұсқауларды орындаңыз. Көмек келгенше немесе адам есіне келгенше тоқтамаңыз.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Жараға матамен немесе қолыңызбен тікелей әрі қатты басыңыз. Матаны алмаңыз. Егер қан сіңіп өтсе, үстіне тағы мата қосып, қатты баса беріңіз. Егер бұл қол немесе аяқ болса және қан тоқтамаса, жарадан бірнеше сантиметр жоғары, жара мен жүректің арасына мықты таңғышты қатты байлаңыз да, уақытты белгілеп қойыңыз. Адамды жылы әрі қозғалтпай ұстаңыз.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Олардан сөйлей немесе жөтеле алатынын сұраңыз. Егер олар дем ала алмаса, артында тұрып, қолыңыздың алақан түбімен жауырындарының арасына бес рет қатты соғыңыз. Егер бұл көмектеспесе, қолыңызбен олардың белін құшақтап, кіндіктің дәл жоғарысынан ішке және жоғары қарай бес рет жылдам итеріңіз. Зат шыққанша немесе көмек келгенше арқаға соғу мен итеруді қайталай беріңіз.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Қазір барлығын сыртқа шығарыңыз, заттарыңыз үшін тоқтамаңыз. Ауа тазарақ болатын түтіннің астында еңкейіп жүріңіз. Кез келген есікті ашпас бұрын, оны қолыңыздың сыртымен ұстап көріңіз. Егер ол ыстық болса, шығатын басқа жол іздеңіз. Лифтіні пайдаланбаңыз. Сыртқа шыққаннан кейін сыртта қалыңыз да, жиналу орнына барыңыз. Кері кірмеңіз.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Егер аймақтан қауіпсіз шыға алсаңыз, қауіптен тыныш әрі жылдам аулақ кетіңіз. Егер шыға алмасаңыз, бөлмеге кіріп, есікті құлыптаңыз немесе бөгеңіз, терезелер мен есіктерден аулақ, еңкейіп отырыңыз. Шамдарды өшіріп, телефоныңызды дыбыссыз режимге қойыңыз. Тыныш әрі көзге түспей отырыңыз. Күзет немесе полиция қауіпсіз деп айтқанша есікті ашпаңыз.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Егер адам дем алып жатса, бірақ есінде болмаса, оны абайлап бір бүйіріне аударыңыз. Тыныс жолын ашық ұстау үшін басын сәл артқа шалқайтып, иегін көтеріңіз. Қасында болып, оның дем алып жатқанын бақылай беріңіз. Егер ол дем алуды тоқтатса, кеуденің ортасынан кеудені басуды бастаңыз.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Ауа мен күш үнемдеу үшін мүмкіндігінше сабырлы әрі қозғалмай отырыңыз. Шаңнан қорғану үшін мұрныңыз бен аузыңызды матамен жабыңыз. Құтқарушылар сізді естуі үшін құбырға, қабырғаға немесе кез келген қатты бетке бір қалыпты қағыңыз. Шаңды жұтпау үшін тек ең соңғы амал ретінде айқайлаңыз. Ешқандай от жақпаңыз. Мүмкіндігінше аз қозғалып, табылуды күтіңіз.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
