"id","category","file","max_seconds","en","sr","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Pozvali ste kampusku liniju za hitne savete. Trenutno nijedan spasilac nije slobodan, a pomoć je obaveštena da vas pozove nazad. Ostanite mirni. Polako udahnite. Vodiću vas kroz to šta treba da uradite. Ako ste u mogućnosti, odmah pozovite i svoj nacionalni broj za hitne slučajeve.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Ovo je kampuska linija za hitne savete, u testnom režimu. Nijedan stvarni incident se ne beleži. Vodiću vas kroz to šta treba da uradite u hitnom slučaju.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Izaberite situaciju. Pritisnite jedan ako neko ne diše ili nema puls. Pritisnite dva za jako krvarenje. Pritisnite tri za gušenje. Pritisnite četiri za požar ili dim. Pritisnite pet za pretnju, napadača ili zaključavanje. Pritisnite šest ako je neko bez svesti ali diše. Pritisnite sedam ako ste zarobljeni. Pritisnite devet da ponovo pokušate da dobijete spasioca. Pritisnite osam da ostavite poruku. Pritisnite nula da ponovo čujete ove opcije.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Položite osobu na leđa na čvrstu podlogu i kleknite pored nje. Stavite koren jedne šake na sredinu grudnog koša, a drugu šaku preko nje. Pritiskajte snažno i brzo, otprilike dva puta u sekundi, puštajući da se grudni koš svaki put potpuno podigne. Nastavite bez zaustavljanja. Ako je neko u blizini, pošaljite ga po najbliži defibrilator, uključite ga i pratite njegova govorna uputstva. Ne prestajte dok pomoć ne stigne ili se osoba ne probudi.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Pritisnite čvrsto i direktno na ranu krpom ili rukom. Ne uklanjajte krpu. Ako krv probije, dodajte još odozgo i nastavite snažno da pritiskate. Ako je u pitanju ruka ili noga i krvarenje ne prestaje, čvrsto vežite jaku traku nekoliko centimetara iznad rane, između rane i srca, i zabeležite vreme. Držite osobu na toplom i nepomičnom.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Pitajte da li mogu da govore ili kašlju. Ako ne mogu da dišu, stanite iza njih i zadajte pet snažnih udaraca korenom šake između lopatica. Ako to ne pomogne, obavite ruke oko njihovog struka i zadajte pet brzih pritisaka ka unutra i nagore tik iznad pupka. Ponavljajte udarce po leđima i pritiske dok predmet ne izađe ili pomoć ne stigne.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Odmah izvedite sve napolje i ne zaustavljajte se zbog stvari. Ostanite nisko ispod dima, gde je vazduh čistiji. Pre nego što otvorite bilo koja vrata, opipajte ih nadlanicom. Ako su vrela, pronađite drugi izlaz. Ne koristite liftove. Kada izađete napolje, ostanite napolju i idite do zbornog mesta. Ne vraćajte se unutra.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Ako možete bezbedno da napustite područje, tiho i brzo se udaljite od opasnosti. Ako ne možete, uđite u prostoriju, zaključajte ili zabarikadirajte vrata, i ostanite nisko, dalje od prozora i vrata. Ugasite svetla i stavite telefon na nečujno. Budite tihi i van vidokruga. Ne otvarajte vrata dok vam obezbeđenje ili policija ne kažu da je bezbedno.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Ako osoba diše ali nije pri svesti, nežno je okrenite na bok. Blago joj zabacite glavu unazad da bi disajni put ostao otvoren i podignite joj bradu. Ostanite uz nju i nastavite da pratite da li i dalje diše. Ako prestane da diše, započnite kompresije na sredini grudnog koša.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Ostanite što mirniji i nepomičniji možete, da biste štedeli vazduh i energiju. Prekrijte nos i usta krpom zbog prašine. Ravnomerno kucajte po cevi, zidu ili bilo kojoj tvrdoj površini, da bi spasioci mogli da vas čuju. Vičite samo u krajnjoj nuždi, da ne biste udisali prašinu. Ne palite nikakav plamen. Krećite se što manje i sačekajte da vas pronađu.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
