"id","category","file","max_seconds","en","ur","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","آپ کیمپس ایمرجنسی رہنمائی لائن پر پہنچ گئے ہیں۔ اس وقت کوئی رسپانڈر دستیاب نہیں ہے، اور آپ کو واپس کال کرنے کے لیے مدد کو مطلع کر دیا گیا ہے۔ پرسکون رہیں۔ آہستہ سے ایک سانس لیں۔ میں آپ کو بتاؤں گا کہ کیا کرنا ہے۔ اگر ممکن ہو تو، ابھی اپنے قومی ایمرجنسی نمبر پر بھی کال کریں۔","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","یہ کیمپس ایمرجنسی رہنمائی لائن ہے، ٹیسٹ موڈ میں۔ کوئی حقیقی واقعہ درج نہیں کیا جا رہا۔ میں آپ کو بتاؤں گا کہ ایمرجنسی میں کیا کرنا ہے۔","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","صورتحال منتخب کریں۔ اگر کوئی سانس نہیں لے رہا یا نبض نہیں ہے، تو ایک دبائیں۔ شدید خون بہنے کے لیے دو دبائیں۔ گلے میں کچھ پھنسنے پر تین دبائیں۔ آگ یا دھوئیں کے لیے چار دبائیں۔ کسی خطرے، حملہ آور، یا لاک ڈاؤن کے لیے پانچ دبائیں۔ اگر کوئی بے ہوش ہے مگر سانس لے رہا ہے، تو چھ دبائیں۔ اگر آپ پھنس گئے ہیں تو سات دبائیں۔ رسپانڈر کو دوبارہ آزمانے کے لیے نو دبائیں۔ پیغام چھوڑنے کے لیے آٹھ دبائیں۔ یہ اختیارات دوبارہ سننے کے لیے صفر دبائیں۔","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","شخص کو کسی سخت سطح پر پیٹھ کے بل لٹائیں اور ان کے پاس گھٹنوں کے بل بیٹھ جائیں۔ ایک ہاتھ کی ایڑی سینے کے درمیان رکھیں، اور دوسرا ہاتھ اس کے اوپر۔ زور سے اور تیزی سے دبائیں، تقریباً ہر سیکنڈ میں دو بار، اور ہر بار سینے کو پوری طرح اوپر اٹھنے دیں۔ بغیر رکے جاری رکھیں۔ اگر کوئی قریب ہو، تو اسے قریبی ڈیفبریلیٹر لانے بھیجیں، اور اسے آن کر کے اس کی بولی گئی ہدایات پر عمل کریں۔ جب تک مدد نہ آ جائے یا شخص ہوش میں نہ آ جائے، تب تک نہ رکیں۔","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","زخم پر کسی کپڑے یا اپنے ہاتھ سے سیدھے اور مضبوطی سے دباؤ ڈالیں۔ کپڑا نہ ہٹائیں۔ اگر خون رس کر باہر آ جائے، تو اوپر مزید کپڑا رکھیں اور زور سے دباتے رہیں۔ اگر یہ بازو یا ٹانگ ہے اور خون نہیں رک رہا، تو زخم سے چند سینٹی میٹر اوپر، زخم اور دل کے درمیان، ایک مضبوط پٹی کس کر باندھیں، اور وقت نوٹ کریں۔ شخص کو گرم اور ساکن رکھیں۔","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","پوچھیں کہ کیا وہ بول یا کھانس سکتے ہیں۔ اگر وہ سانس نہیں لے پا رہے، تو ان کے پیچھے کھڑے ہو کر اپنے ہاتھ کی ایڑی سے کندھوں کے درمیان پیٹھ پر پانچ مضبوط ضربیں لگائیں۔ اگر اس سے کام نہ بنے، تو اپنے بازو ان کی کمر کے گرد لپیٹیں اور ناف کے بالکل اوپر پانچ بار تیزی سے اندر اور اوپر کی طرف دھکا دیں۔ جب تک چیز باہر نہ آ جائے یا مدد نہ آ جائے، تب تک پیٹھ کی ضربیں اور دھکے دہراتے رہیں۔","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","ابھی سب کو باہر نکالیں، اور سامان کے لیے نہ رکیں۔ دھوئیں کے نیچے جھک کر رہیں، جہاں ہوا صاف ہے۔ کوئی بھی دروازہ کھولنے سے پہلے، اسے اپنے ہاتھ کے پچھلے حصے سے چھو کر دیکھیں۔ اگر وہ گرم ہے، تو باہر نکلنے کا دوسرا راستہ تلاش کریں۔ لفٹ کا استعمال نہ کریں۔ باہر نکلنے کے بعد باہر ہی رہیں، اور اجتماع کی جگہ کی طرف جائیں۔ واپس اندر نہ جائیں۔","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","اگر آپ محفوظ طریقے سے علاقہ چھوڑ سکتے ہیں، تو خاموشی سے اور جلدی سے خطرے سے دور چلے جائیں۔ اگر نہیں، تو کسی کمرے میں جائیں، دروازہ بند کریں یا روکیں، اور کھڑکیوں اور دروازوں سے دور، جھک کر رہیں۔ روشنیاں بند کر دیں اور اپنا فون خاموش پر رکھیں۔ خاموش اور نظروں سے اوجھل رہیں۔ جب تک سیکیورٹی یا پولیس یہ نہ بتائے کہ محفوظ ہے، تب تک دروازہ نہ کھولیں۔","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","اگر شخص سانس لے رہا ہے مگر ہوش میں نہیں ہے، تو اسے آہستگی سے اس کے پہلو پر لٹا دیں۔ سانس کا راستہ کھلا رکھنے کے لیے ان کا سر تھوڑا پیچھے جھکائیں، اور ٹھوڑی اوپر اٹھائیں۔ ان کے ساتھ رہیں اور دیکھتے رہیں کہ وہ ابھی بھی سانس لے رہے ہیں۔ اگر وہ سانس لینا بند کر دیں، تو سینے کے درمیان دبانا شروع کریں۔","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","ہوا اور توانائی بچانے کے لیے جتنا ہو سکے پرسکون اور ساکن رہیں۔ دھول سے بچنے کے لیے اپنی ناک اور منہ کو کپڑے سے ڈھانپیں۔ کسی پائپ، دیوار، یا کسی سخت سطح پر مسلسل تھپتھپائیں، تاکہ بچانے والے آپ کی آواز سن سکیں۔ دھول اندر جانے سے بچنے کے لیے چلانا آخری حربہ رکھیں۔ کوئی شعلہ نہ جلائیں۔ جتنا ہو سکے کم حرکت کریں اور ملنے کا انتظار کریں۔","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
