"id","category","file","max_seconds","en","id","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Anda telah menghubungi saluran panduan darurat kampus. Saat ini tidak ada petugas yang tersedia, dan bantuan telah diberitahu untuk menelepon Anda kembali. Tetap tenang. Tarik napas perlahan. Saya akan memandu Anda tentang apa yang harus dilakukan. Jika Anda mampu, hubungi juga nomor darurat nasional Anda sekarang.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Ini adalah saluran panduan darurat kampus, dalam mode uji. Tidak ada kejadian nyata yang dicatat. Saya akan memandu Anda tentang apa yang harus dilakukan dalam keadaan darurat.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Pilih situasinya. Tekan satu jika seseorang tidak bernapas atau tidak berdenyut. Tekan dua untuk pendarahan hebat. Tekan tiga untuk tersedak. Tekan empat untuk kebakaran atau asap. Tekan lima untuk ancaman, penyerang, atau penguncian. Tekan enam jika seseorang tidak sadar tetapi bernapas. Tekan tujuh jika Anda terjebak. Tekan sembilan untuk mencoba menghubungi petugas lagi. Tekan delapan untuk meninggalkan pesan. Tekan nol untuk mendengar pilihan ini lagi.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Baringkan orang itu telentang di permukaan yang keras dan berlututlah di sampingnya. Letakkan pangkal telapak satu tangan di tengah dada, dan tangan lainnya di atasnya. Tekan ke bawah dengan kuat dan cepat, sekitar dua kali setiap detik, biarkan dada naik sepenuhnya setiap kali. Terus lakukan tanpa berhenti. Jika ada orang di dekat Anda, suruh dia mengambil defibrilator terdekat, lalu nyalakan dan ikuti instruksi suaranya. Jangan berhenti sampai bantuan datang atau orang itu sadar.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Tekan luka dengan kuat dan langsung menggunakan kain atau tangan Anda. Jangan lepaskan kainnya. Jika darah merembes, tambahkan kain lagi di atasnya dan terus tekan dengan kuat. Jika lukanya di lengan atau kaki dan pendarahan tidak berhenti, ikatkan kain yang kuat dengan erat beberapa sentimeter di atas luka, di antara luka dan jantung, lalu catat waktunya. Jaga orang itu tetap hangat dan diam.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Tanyakan apakah dia bisa berbicara atau batuk. Jika dia tidak bisa bernapas, berdirilah di belakangnya dan berikan lima pukulan kuat di antara tulang belikat dengan pangkal telapak tangan Anda. Jika itu tidak berhasil, lingkarkan lengan Anda di sekitar pinggangnya dan berikan lima dorongan cepat ke dalam dan ke atas tepat di atas pusar. Terus ulangi pukulan di punggung dan dorongan itu sampai benda keluar atau bantuan datang.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Keluarkan semua orang sekarang, dan jangan berhenti untuk mengambil barang. Tetap merunduk di bawah asap, tempat udara lebih bersih. Sebelum membuka pintu apa pun, rabalah dengan punggung tangan Anda. Jika terasa panas, cari jalan keluar lain. Jangan gunakan lift. Setelah Anda di luar, tetaplah di luar, dan menuju titik kumpul. Jangan masuk kembali.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Jika Anda dapat meninggalkan area dengan aman, menjauhlah dari bahaya dengan tenang dan cepat. Jika tidak bisa, masuklah ke sebuah ruangan, kunci atau halangi pintu, dan tetap merunduk, jauh dari jendela dan pintu. Matikan lampu dan atur ponsel Anda ke senyap. Tetap diam dan tidak terlihat. Jangan buka pintu sampai petugas keamanan atau polisi memberi tahu bahwa sudah aman.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Jika orang itu bernapas tetapi tidak sadar, miringkan tubuhnya perlahan ke samping. Dongakkan kepalanya sedikit ke belakang agar jalan napas tetap terbuka, dan angkat dagunya. Tetaplah bersamanya dan terus perhatikan bahwa dia masih bernapas. Jika dia berhenti bernapas, mulailah penekanan dada di tengah dada.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Tetaplah setenang dan sediam mungkin, untuk menghemat udara dan energi. Tutup hidung dan mulut Anda dengan kain agar terhindar dari debu. Ketuk secara teratur pada pipa, dinding, atau permukaan keras apa pun, agar penyelamat dapat mendengar Anda. Berteriaklah hanya sebagai upaya terakhir, agar tidak menghirup debu. Jangan menyalakan api apa pun. Bergeraklah sesedikit mungkin dan tunggu untuk ditemukan.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
